# INSTANCE: InstancesTDTSP/inst_100_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 1.06 52086 55139
* 1.34 51966 54700
* 1.62 51880 55103
* 1.63 51871 54027
* 1.64 51814 54027
* 1.69 51738 54027
* 1.7 51689 54027
* 1.74 51606 54027
* 1.75 51461 54138
* 1.76 51331 53209
* 1.78 51296 53792
* 1.78 51239 53338
* 1.79 51212 54379
* 1.8 51156 53434
* 1.81 50827 53142
* 1.81 50796 53142
* 1.84 50787 53142
* 1.86 50779 53142
* 1.87 50701 53142
* 1.87 50489 53142
* 1.87 50462 53142
* 1.88 50252 52971
* 1.88 50196 52991
* 1.89 50189 53041
* 1.93 50119 51959
* 1.93 49787 52394
* 2.02 49696 52287
* 2.02 49646 52209
* 2.1 49616 51959
* 2.11 49557 52113
* 2.15 49548 52113
* 2.18 49526 52113
* 2.19 49502 51965
* 2.2 49478 51965
* 2.2 49412 51965
* 2.23 49381 51965
* 2.23 49342 51617
* 2.27 49295 51617
* 2.31 49277 51617
* 2.31 49251 51617
* 2.32 49237 51617
* 2.33 49157 51617
* 2.34 49143 51617
* 2.35 49106 51617
* 2.35 49085 51617
* 2.38 48974 52013
* 2.42 48928 52013
* 2.48 48823 51944
* 2.48 48763 52207
* 2.49 48737 52207
* 2.5 48690 52183
* 9.35 48689 50900
* 9.36 48658 50900
* 10.17 48646 50900
* 10.22 48630 50900
* 10.47 48629 50900
* 10.5 48523 50900
* 11.33 48485 50900
* 12.03 48473 50900
* 13.41 48374 50000
* 13.41 48332 50000
* 13.42 48324 50000
* 13.46 48309 50000
* 13.46 48286 50000
* 13.49 48265 50763
* 13.56 48031 50738
* 13.56 48008 50694
* 13.57 47875 50291
* 13.59 47863 50291
* 13.67 47815 50291
* 13.68 47668 50291
* 13.72 47639 50291
* 13.84 47470 50291
* 14.26 47458 50291
* 14.94 47451 50291
* 14.99 47374 50291
* 15.34 47335 50291
* 15.64 47312 50291
* 15.65 47278 50291
* 15.66 47263 50536
* 15.66 46777 50287
* 16.54 46776 50234
* 16.55 46645 49989
* 16.56 46569 50206
* 16.59 46429 50206
* 16.59 45887 48129
* 16.65 45851 49392
* 16.65 45753 48488
* 16.65 45429 47547
* 16.66 45121 47547
* 17.12 45031 47164
* 17.27 44837 47164
* 17.35 44825 47164
* 17.36 44750 47164
* 18.53 44744 48056
* 18.79 44640 48056
* 18.95 44626 48032
* 21 44383 46800
* 26.58 44370 47236
* 26.62 44328 47236
* 26.72 44305 47236
* 26.75 44256 47236
* 26.79 44185 47236
* 26.8 44168 47236
* 26.8 44150 47236
* 26.84 44132 47236
* 26.86 44119 47236
* 27.16 43490 46473
* 27.21 43435 46456
* 27.24 43320 46580
* 27.31 43311 46665
* 27.38 43217 46516
* 27.42 43084 46219
* 27.44 42999 45879
* 27.47 42986 45873
* 27.49 42974 45873
* 27.5 42870 45839
* 27.67 42827 45692
* 27.72 42708 45456
* 27.77 42599 45343
* 27.81 42574 45313
* 28.14 42519 45313
* 28.56 42507 45313
* 29.47 42497 45313
* 29.49 42483 45114
* 29.5 42477 45114
* 29.54 42476 45114
* 29.59 42442 45114
* 29.69 42398 45084
* 35.31 42289 45048
* 35.34 42268 45140
* 35.94 42187 44912
* 36.13 42183 44869
* 37.05 42098 44676
* 40.49 42071 44558
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42071
# NUMBER OF BRANCHES: 190738508
# END TIME: 7200
## Solution with TDTSP times: 
100
78 0
204 238
206 453
211 833
85 1170
79 1431
80 1745
131 2081
168 2535
71 2833
183 3351
225 3875
177 4719
14 5510
178 6913
176 7047
172 7278
171 7690
185 8062
195 8624
161 9365
162 9723
150 10120
188 10433
160 10627
144 10896
32 11449
121 11959
46 12176
38 12549
122 12680
44 13108
54 13496
28 14014
30 14217
218 14529
252 14780
220 15065
119 15311
215 15733
25 16074
233 16200
244 16428
237 16545
236 16663
246 17018
29 17342
26 17657
200 17756
217 18150
19 18629
124 18925
36 19362
125 19618
248 19954
232 20284
33 20518
227 20998
41 21124
199 21391
100 21720
96 22204
98 22677
104 23085
94 23748
238 24164
92 24645
99 24995
97 25500
87 25840
88 26274
56 27224
159 27598
164 28083
143 28675
182 29477
11 29779
179 30375
3 30857
112 31224
10 31568
16 31935
108 32251
6 32639
239 33092
15 33526
0 33921
247 34173
109 34379
137 35405
223 36909
226 38284
222 38828
66 39443
241 40074
132 40363
201 41215
249 42093
207 43149
203 44075
# BEST TD SOLUTION: 44558
