# INSTANCE: InstancesTDTSP/inst_100_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 375846 46564
* 0.06 375672 46329
* 0.12 375359 46800
* 0.14 375006 47329
* 0.23 374969 46754
* 0.29 374766 47329
* 0.34 374574 49465
* 0.37 374560 51277
* 0.37 374454 51288
* 0.37 374378 51246
* 0.41 374254 51140
* 0.45 373901 51621
* 0.46 373781 52100
* 0.47 373690 50426
* 0.47 373479 47239
* 0.48 373429 47252
* 0.49 373299 46800
* 0.53 373183 49649
* 0.53 373140 47329
* 0.55 372703 50841
* 0.57 372554 50687
* 0.58 372449 50567
* 0.58 372229 50370
* 0.61 372117 51182
* 0.61 371749 52531
* 0.61 371742 51797
* 0.64 371509 51641
* 0.64 371483 51456
* 0.66 371001 49181
* 0.85 67908 52164
* 0.86 57941 49058
* 0.89 56853 49461
* 0.95 46118 50231
* 0.96 45510 49153
* 1.01 45403 49153
* 1.04 45063 48943
* 1.05 44663 48304
* 1.09 44269 46800
* 1.18 44214 46800
* 1.18 44180 46800
* 1.31 43961 46800
* 1.33 43946 46800
* 1.36 43798 46800
* 1.44 43710 46800
* 9.03 43597 46800
* 9.07 43501 46800
* 9.07 43341 46800
* 9.09 43217 46778
* 9.11 43002 46528
* 9.12 42869 46528
* 9.14 42809 46528
* 9.18 42602 46528
* 9.25 42518 46528
* 9.33 42476 46528
* 9.35 42413 46528
* 9.36 42374 46528
* 9.37 41907 46284
* 9.39 41905 46445
* 9.41 41880 46528
* 9.43 41869 46528
* 9.44 41861 46528
* 9.45 41811 46528
* 9.63 41767 46528
* 9.82 41765 46528
* 10.77 41734 46528
* 10.81 41685 46528
* 10.88 41641 46528
* 10.92 41637 46059
* 11.44 41635 46528
* 11.44 41329 45426
* 11.73 41303 45281
* 12.23 41170 45532
* 12.27 41157 45479
* 13.26 41115 45430
* 13.39 41067 45288
* 13.43 40967 45149
* 13.81 40734 43711
* 13.81 40699 43712
* 14.11 40650 43510
* 14.12 40636 43533
* 14.12 40632 43533
* 14.23 40074 42977
* 14.24 40024 42968
* 14.24 39975 42651
* 14.6 39961 42651
* 14.98 39955 42915
* 14.99 39921 42611
* 14.99 39892 42593
* 15 39326 41134
* 15.01 39220 41134
* 15.01 39212 41134
* 15.02 39137 40886
* 15.26 39132 40708
* 15.58 39091 40691
* 15.93 39087 40680
* 15.97 39044 40630
* 16.06 39037 40609
* 16.07 38945 40532
* 16.57 38918 40091
* 17.15 38830 39871
* 17.61 38799 39841
* 18.11 38779 39740
* 18.73 38770 40105
* 18.73 38758 40112
* 18.74 38746 40084
* 18.79 38701 39817
* 18.89 38552 39728
* 18.93 38539 39738
* 18.95 38417 39648
* 18.98 38386 39610
* 19.07 38339 39586
* 20.97 38318 39493
* 21.73 38308 39450
* 21.79 38234 39050
* 21.92 38142 38980
* 22.36 38106 38980
* 22.68 38090 38879
* 24.97 38065 39002
* 29.11 38047 38990
* 30.77 38013 38945
* 30.77 37968 38980
* 30.96 37953 38847
* 30.96 37908 38883
* 33.56 37903 38872
* 37.75 37813 39183
* 37.98 37783 39194
* 37.99 37746 39227
* 41.89 37539 38478
* 42.1 37520 38514
* 42.1 37495 38541
* 42.2 37468 38477
* 42.44 37440 38408
* 43.47 37427 38241
* 45.97 37399 38247
* 46.07 37393 38373
* 46.27 37347 38468
* 46.35 37333 38242
* 46.51 37331 38056
* 47.19 37327 37961
* 70.73 37319 38278
* 70.93 37281 38402
* 70.97 37253 38246
* 71.24 37239 38246
* 77.72 37235 38280
* 77.94 37146 37982
* 78.03 37136 37999
* 2673.29 37102 37910
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 37102
# NUMBER OF BRANCHES: 133622959
# END TIME: 7200
## Solution with TDTSP times: 
100
96 0
98 552
100 916
103 1339
227 1797
41 2184
133 3086
134 4008
105 4238
23 5290
60 5832
33 6641
248 7195
58 7919
231 8135
39 8454
42 8821
44 9092
126 9403
121 9709
46 9957
37 10136
43 10457
122 10624
47 10844
32 11231
166 11524
149 11902
158 12178
189 12511
155 12781
53 13165
63 13443
31 13823
86 13933
34 14273
27 14714
215 15104
245 15443
25 15677
201 16093
246 16340
237 16491
21 16602
203 17129
76 17372
211 17557
205 17828
82 18091
69 18344
221 18648
130 19081
81 19363
74 19683
77 19870
183 20334
225 20674
18 21078
177 21423
239 21870
12 22129
108 22216
8 22524
9 22735
10 22958
16 23259
2 23508
111 23991
15 24164
106 24501
138 25064
222 25936
241 26410
209 26687
202 26815
235 27283
78 27543
179 28317
193 28756
180 29120
178 29283
176 29400
186 29686
212 29884
153 30325
146 30565
144 30823
164 31159
159 31616
59 32098
62 32489
55 32637
135 32740
92 33120
238 33607
198 34433
196 34814
102 35824
94 36304
101 37441
# BEST TD SOLUTION: 37910
