# INSTANCE: InstancesTDTSP/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 409752 80826
* 0.01 409623 80688
* 0.02 409453 80796
* 0.03 409401 80481
* 0.03 409318 80636
* 0.05 409271 80690
* 0.1 409187 80623
* 0.12 409176 80667
* 0.13 409094 80444
* 0.13 409018 80394
* 0.63 408625 80849
* 1.11 408336 82868
* 1.15 408005 83840
* 1.17 407726 83515
* 1.18 407438 83169
* 1.21 407231 83012
* 1.22 406934 83450
* 1.24 406687 83663
* 1.25 406360 83914
* 1.27 406174 83812
* 1.3 405709 84093
* 1.31 404971 82623
* 1.32 57341 82836
* 1.33 56283 82832
* 1.34 50336 83284
* 1.34 49355 82789
* 1.4 49334 82764
* 1.41 48564 81963
* 1.44 48523 81982
* 1.44 48454 81605
* 1.44 47868 81605
* 1.45 47364 81151
* 1.51 47345 81089
* 1.53 47318 81053
* 1.53 47281 80991
* 1.53 47259 80876
* 1.56 47085 80878
* 1.56 46845 80878
* 1.57 46601 80364
* 1.58 46521 80400
* 1.59 46159 80205
* 1.62 46132 80169
* 1.62 46128 80119
* 1.64 46122 80119
* 1.67 46105 80119
* 1.7 46094 80119
* 1.72 46001 79817
* 1.72 45993 79817
* 1.76 45853 79588
* 1.76 45847 79588
* 1.81 45836 79588
* 1.82 45814 79801
* 1.84 45786 79801
* 1.85 45719 79396
* 1.86 45698 79145
* 1.89 45641 79440
* 1.92 45529 79440
* 1.94 45452 79115
* 1.94 45404 79003
* 2.03 45328 79003
* 2.07 45272 79012
* 2.19 45216 78544
* 2.29 45163 78866
* 2.29 45120 78866
* 2.34 45117 79156
* 2.34 45095 79156
* 3.25 44992 79156
* 3.25 44946 79316
* 3.27 44900 79316
* 3.27 44883 79316
* 3.28 44806 79316
* 3.28 44693 78407
* 3.28 44623 78398
* 3.29 44609 78875
* 3.3 44582 78875
* 3.32 44563 78875
* 3.4 44514 78875
* 3.5 44419 78443
* 3.5 44145 78209
* 3.57 44140 78173
* 3.58 44118 78386
* 3.58 43754 77994
* 3.6 43602 77779
* 3.61 43533 77750
* 3.67 43523 77750
* 3.69 43520 77720
* 3.69 43507 77720
* 8.2 43272 77040
* 8.57 43266 77223
* 8.67 43200 46800
* 8.68 43119 46800
* 8.73 43081 46800
* 8.75 43076 46800
* 8.75 43000 46800
* 8.81 42957 46800
* 8.85 42910 46788
* 8.94 42824 78706
* 9.13 42815 78543
* 9.14 42717 78441
* 9.15 42678 78441
* 9.19 42636 46553
* 9.45 42632 78091
* 9.52 42606 78091
* 9.88 42515 78091
* 9.89 42471 78091
* 9.89 42366 78091
* 9.9 42274 78091
* 9.93 42245 78091
* 9.94 41778 73943
* 9.97 41694 73943
* 10.17 41499 73801
* 10.57 41351 73730
* 10.58 41309 73854
* 10.77 41278 73915
* 10.79 41158 73731
* 10.92 41040 73593
* 10.93 41031 73442
* 11.33 41012 73695
* 11.39 41003 73695
* 11.42 40890 73742
* 11.57 40857 73742
* 11.58 40803 73298
* 11.58 40785 73298
* 11.66 40768 73298
* 11.7 40733 73298
* 11.89 40720 73298
* 11.98 40715 73298
* 12.22 40656 73298
* 12.98 40654 73298
* 13.13 40623 73298
* 13.83 40619 73045
* 19.05 40618 72552
* 21.43 40572 43271
* 21.55 40562 43162
* 21.56 40476 43162
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST TSP SOLUTION: 40476
# NUMBER OF BRANCHES: 486382
# END TIME: 21.56
## Solution with TDTSP times: 
100
231 0
230 267
140 513
126 943
121 1266
32 1501
158 1865
151 2342
141 2756
163 3064
165 3702
164 4171
162 4648
208 5569
83 5874
75 6257
81 6554
74 6858
214 7173
77 7369
213 7563
168 7739
183 8124
169 8762
178 9085
172 9385
171 9790
186 10372
173 10707
195 11042
181 11603
185 12160
180 12656
193 12957
212 13437
210 13872
84 14096
78 14461
72 14715
204 14982
73 15243
203 15720
132 16169
237 16660
21 16928
236 17017
233 17287
25 17464
26 17900
215 18327
119 18730
253 19115
252 19462
118 19916
27 20313
22 20662
254 21100
52 21240
46 21519
43 21858
123 22194
45 22311
19 22546
124 22809
60 23138
36 23404
64 23607
135 23865
58 24215
167 24552
159 25009
62 25458
92 25933
99 26181
134 26682
105 26796
88 27089
103 27396
227 27684
35 27985
55 28650
219 29129
23 29331
207 30491
223 31747
115 32648
16 32844
10 33178
14 33765
12 34092
6 34273
4 34463
1 34769
113 35438
194 35766
111 36560
0 37007
136 38077
201 40123
102 41571
# BEST TD SOLUTION: 43162
