1;23897;7239.44;
1_10p_ti;23005;7226;
1_20p_ti;22783;7231.26;
2;24785;7225.78;
2_10p_ti;23957;7226.15;
2_20p_ti;23432;7231.22;
3;24082;7223.81;
3_10p_ti;23305;7224.5;
3_20p_ti;22489;7229.61;
4;26590;7223.48;
4_10p_ti;25476;7224.81;
4_20p_ti;24453;7230.65;
5;22114;7225.09;
5_10p_ti;21681;7226.91;
5_20p_ti;21407;7230.06;
6;23380;7227.72;
6_10p_ti;22492;7227.11;
6_20p_ti;22081;7231.06;
7;23965;7224.04;
7_10p_ti;23372;7226.45;
7_20p_ti;22805;7231.34;
8;24084;7224.55;
8_10p_ti;23269;7226.05;
8_20p_ti;22654;7230.81;
9;23302;7225.88;
9_10p_ti;22825;7226.94;
9_20p_ti;22348;7231.34;
10;23587;7225.03;
10_10p_ti;22840;7226.05;
10_20p_ti;22262;7229.98;
11;25374;7225.53;
11_10p_ti;24425;7227.11;
11_20p_ti;23829;7231.39;
12;25182;7224.45;
12_10p_ti;24409;7225.96;
12_20p_ti;23752;7229.95;
13;33334 *;51.16;
13_10p_ti;32911 *;24.91;
13_20p_ti;32752 *;29.35;
14;24338;7223.71;
14_10p_ti;23620;7225.05;
14_20p_ti;22886;7229.85;
15;23253;7225.87;
15_10p_ti;22841;7228.45;
15_20p_ti;22239;7231.22;
16;24312;7225.8;
16_10p_ti;23589;7227.01;
16_20p_ti;23222;7230.84;
17;25475;7223.34;
17_10p_ti;24448;7226.07;
17_20p_ti;23683;7230.31;
18;22469;7222.8;
18_10p_ti;21877;7226.03;
18_20p_ti;21394;7229.91;
19;26160;7223.67;
19_10p_ti;25186;7225.56;
19_20p_ti;24761;7230.52;
20;24156;7222.83;
20_10p_ti;23474;7225.93;
20_20p_ti;23117;7229.82;
