# INSTANCE: InstancesTDTSP/inst_100_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 395199 52481
* 0.02 395115 53407
* 0.02 395081 53007
* 0.03 395046 52232
* 0.05 395027 52614
* 0.09 394919 52068
* 0.11 394691 52617
* 0.24 394497 52411
* 0.24 394489 52595
* 0.26 394454 52206
* 0.26 394402 52649
* 0.27 393505 53796
* 0.3 393396 52812
* 0.31 393221 52335
* 0.33 393159 52237
* 0.33 393025 52122
* 0.34 392973 52122
* 0.35 392859 51665
* 0.36 392525 53232
* 0.41 391862 50967
* 0.41 391692 50804
* 0.42 391516 51159
* 0.45 391260 50881
* 0.46 391208 50689
* 0.68 391197 49723
* 0.71 391178 49774
* 0.78 390913 50247
* 0.84 390845 50546
* 0.98 390557 50748
* 1.11 390549 50866
* 1.12 390454 50775
* 1.13 390451 50783
* 1.59 390357 51268
* 1.59 390328 51259
* 1.6 390170 51102
* 1.63 390117 51047
* 1.66 390109 51991
* 1.73 390030 51911
* 1.75 389676 52234
* 1.77 389296 52786
* 1.8 388744 53043
* 1.81 388487 52184
* 1.81 388434 52135
* 1.82 388431 52558
* 1.88 388010 53843
* 1.9 387649 54314
* 1.93 68808 54856
* 1.94 56868 53033
* 1.95 56251 51849
* 2.04 46397 50179
* 2.04 46367 50130
* 2.05 45601 48787
* 2.08 45485 48982
* 2.14 45337 48756
* 2.15 45263 48503
* 2.15 45210 48503
* 2.16 45115 48503
* 2.17 44894 48503
* 2.18 44617 48194
* 2.21 44504 47687
* 2.23 44454 47687
* 2.25 44425 48079
* 2.25 44421 48091
* 2.29 44198 48006
* 2.33 44156 48118
* 2.33 44057 48118
* 2.34 44007 48118
* 2.4 43893 47570
* 2.41 43390 47570
* 2.41 43259 47510
* 2.46 43219 47510
* 2.48 43193 47163
* 2.5 43143 47163
* 2.53 43098 47022
* 2.57 42960 46800
* 2.63 42947 46780
* 2.64 42878 46548
* 2.65 42844 46754
* 2.73 42788 46604
* 2.73 42761 46662
* 2.83 42603 46406
* 2.86 42560 46060
* 2.87 42520 46393
* 2.9 42483 46329
* 2.96 42344 46060
* 2.97 42339 46060
* 3.03 42301 46060
* 3.12 42257 45948
* 3.13 42241 45796
* 3.13 42180 45777
* 3.13 42147 45650
* 3.15 42071 45777
* 3.15 42015 45538
* 10.15 41955 44988
* 10.16 41757 44607
* 10.21 41741 44621
* 10.24 41687 44608
* 10.26 41636 44812
* 10.28 41613 44713
* 10.55 41607 44719
* 10.66 41544 44812
* 11.28 41540 44599
* 11.38 41523 44373
* 11.45 41466 44214
* 11.57 41421 44075
* 12.26 41370 44079
* 12.27 41364 44182
* 12.3 41227 44080
* 12.34 41224 44427
* 12.58 41207 44073
* 12.96 41185 44502
* 13.2 41160 44502
* 14.41 41043 44096
* 15.01 41034 43903
* 15.05 41005 43659
* 15.52 40995 43881
* 15.54 40942 43884
* 15.54 40867 43975
* 15.57 40863 43988
* 15.65 40846 44087
* 15.99 40823 44089
* 16 40806 44422
* 16.02 40776 43873
* 16.42 40752 44392
* 16.44 40697 43873
* 16.46 40630 43873
* 16.87 40610 43865
* 16.88 40487 43627
* 17 40469 43627
* 17.42 40399 43627
* 17.43 40396 43627
* 17.43 40375 43627
* 17.45 40357 43627
* 17.48 40354 43517
* 17.77 40353 43520
* 18.41 40348 43534
* 18.9 40304 43506
* 19.23 40295 43368
* 19.53 40256 43255
* 19.85 40242 43367
* 19.85 40199 43341
* 20.21 40192 42591
* 20.23 40156 42591
* 20.6 40155 42528
* 20.65 40120 42598
* 20.93 40118 42203
* 20.94 40081 42677
* 21.27 40069 42567
* 22.45 40061 42493
* 22.8 40052 41957
* 24.42 39966 41473
* 26.37 39902 41572
* 26.99 39900 41984
* 27.13 39899 41981
* 28.56 39787 41679
* 28.57 39783 41697
* 28.72 39764 41697
* 29.16 39740 41533
* 29.34 39719 41512
* 29.43 39690 41495
* 30.74 39670 41495
* 30.85 39529 41442
* 31.2 39502 41303
* 40.83 39269 40241
* 40.97 39255 40388
* 41.06 39222 40020
* 41.32 39218 40074
* 41.4 39210 40211
* 41.66 39208 40261
* 42.23 39205 40281
* 52.1 39162 40286
* 52.77 39149 40310
* 53.58 39107 40179
* 53.72 39090 40205
* 68.92 39085 40784
* 203.82 39083 40096
* 205.89 39079 40054
* 206.32 39074 40074
* 289.23 39045 40178
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39045
# NUMBER OF BRANCHES: 124533752
# END TIME: 7200
## Solution with TDTSP times: 
100
67 0
175 232
171 624
185 1030
173 1570
195 1814
212 2297
130 2857
79 3309
85 3555
84 3933
70 4269
128 4756
24 5240
54 5686
