# INSTANCE: InstancesTDTSP/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 390864 84619
* 0.02 390719 84177
* 0.03 389806 82253
* 0.04 389745 82248
* 0.12 389243 81734
* 0.18 388892 82984
* 0.23 388843 82345
* 0.29 388569 84055
* 0.35 388454 85413
* 0.53 388175 90269
* 0.54 387739 89209
* 0.55 387736 89006
* 0.55 387689 84344
* 0.55 387376 83443
* 0.56 387158 83360
* 0.56 386621 84020
* 0.57 70777 82998
* 0.57 70106 84469
* 0.58 57630 87094
* 0.59 51052 86755
* 0.62 48749 85421
* 0.64 48554 85298
* 0.66 47554 84290
* 0.69 47433 84020
* 0.71 47392 84381
* 0.73 47210 84301
* 0.73 46784 84142
* 0.74 46750 84071
* 0.76 46668 84074
* 0.76 46573 83338
* 0.77 46563 82789
* 0.83 46403 82793
* 0.84 46387 82793
* 0.85 46322 82793
* 0.87 46294 82793
* 0.88 46227 82659
* 0.88 46225 82659
* 0.88 46091 82659
* 0.89 46066 81859
* 0.89 45990 79868
* 0.99 45067 80196
* 1.02 44884 80196
* 1.02 44803 80196
* 1.03 44742 80153
* 1.03 44590 79477
* 1.03 44581 79477
* 1.04 44570 79475
* 1.04 44158 79040
* 1.06 44077 79008
* 1.07 44066 79030
* 1.08 44029 79065
* 1.09 44021 79065
* 1.1 43927 79013
* 1.13 43890 79013
* 1.16 43882 79013
* 1.16 43872 79013
* 1.17 43829 78202
* 1.17 43746 78504
* 1.18 43666 78420
* 1.22 43659 78420
* 1.22 43276 78747
* 1.24 42873 77830
* 1.25 42826 77764
* 1.25 42817 77706
* 1.31 42799 77706
* 1.32 42789 77684
* 1.32 42773 77634
* 1.33 42740 77618
* 1.35 42623 77912
* 1.38 42611 77912
* 1.38 42569 77912
* 1.41 42476 77895
* 1.41 42434 77895
* 1.42 42373 77895
* 1.43 42324 77895
* 1.46 42239 77923
* 1.46 42185 77923
* 1.5 42140 77923
* 1.51 42107 77923
* 1.55 42050 77923
* 1.58 42011 77863
* 1.67 41846 77863
* 1.69 41840 77863
* 1.74 41798 77863
* 1.78 41716 77794
* 1.87 41681 77794
* 1.99 41646 77212
* 2.02 41636 77190
* 2.04 41632 77190
* 2.04 41566 77102
* 2.05 41562 77102
* 2.06 41532 77003
* 2.06 41520 77003
* 2.07 41446 77003
* 2.08 41279 77003
* 2.92 41175 76760
* 2.93 41063 76760
* 3 41051 76760
* 8.17 41047 76760
* 8.21 40986 76760
* 8.24 40968 76760
* 8.31 40871 76760
* 10.49 40821 76777
* 10.49 40683 76777
* 10.51 40663 76923
* 10.52 40654 76923
* 10.55 40614 76923
* 10.62 40568 76923
* 10.65 40560 76922
* 10.76 40518 76922
* 10.85 40461 76784
* 10.91 40406 76751
* 10.92 40397 76751
* 10.92 40377 76751
* 10.94 40307 77028
* 10.94 40306 77028
* 11.11 40264 77001
* 11.4 40207 77040
* 11.58 40200 77040
* 11.59 40195 77040
* 16.26 40183 76698
* 16.28 40091 77029
* 16.29 40082 77029
* 16.5 40039 77029
* 16.56 39992 76870
* 16.65 39942 76789
* 16.77 39935 76789
* 16.77 39916 76789
* 17.3 39897 76789
* 17.68 39896 77001
* 17.68 39871 77001
* 18.23 39570 41256
* 18.24 39532 41256
* 18.25 39519 41256
* 18.26 39515 41256
* 18.26 39506 41256
* 18.39 39475 41256
* 18.42 39470 41256
* 19.7 39462 41256
* 20.31 39429 41076
* 5296.13 39426 40760
* 5296.14 39413 40762
* 5297.18 39406 40762
* 5298.89 39389 40762
* 5299.34 39361 40762
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39361
# NUMBER OF BRANCHES: 167466558
# END TIME: 7200
## Solution with TDTSP times: 
100
172 0
180 305
176 682
181 1129
195 1565
212 1920
208 2317
131 2623
80 2879
79 3188
74 3557
85 3910
210 4238
70 4897
128 5257
54 6043
53 6180
157 6376
149 6769
187 6929
155 7296
189 7686
162 8276
163 8902
142 9150
141 9393
152 9911
151 10197
46 10760
43 11155
49 11573
231 11868
127 12075
40 12572
47 12901
126 13256
121 13392
65 13694
34 14018
206 14523
202 14926
209 15060
211 15447
235 15619
129 15925
24 16376
254 16773
116 17004
120 17206
45 17710
123 17917
23 18161
124 18484
36 18826
125 19155
232 19349
248 19705
59 20123
62 20432
48 20709
57 21023
97 21526
105 21840
133 22396
88 22759
41 23385
227 23531
35 23799
50 24183
96 24846
20 25788
29 26067
28 26330
218 26485
253 26731
251 27078
25 27512
244 27683
237 27860
246 28207
201 28641
197 29431
102 29992
90 30284
56 30937
76 31798
207 32343
66 33017
224 33811
18 34607
14 35044
114 35279
12 35501
108 35825
5 36444
2 36889
1 37176
107 37653
17 38430
247 38983
# BEST TD SOLUTION: 40762
