// Time unit is 1mn

NbWorkers         = 11;
NbMaxShifts       = 5;
MinInterShiftRest = 720;
MaxIntraShiftWork = 480;
MaxShiftDuration  = 720;

Tasks = {
  <1, 696, 3720, 279>,
  <2, 1013, 3959, 178>,
  <3, 926, 3378, 184>,
  <4, 0, 2346, 139>,
  <5, 3057, 5591, 170>,
  <6, 9532, 10080, 216>,
  <7, 5406, 7958, 236>,
  <8, 7427, 9427, 321>,
  <9, 5658, 6296, 193>,
  <10, 0, 1759, 93>,
  <11, 8073, 9971, 165>,
  <12, 704, 3566, 138>,
  <13, 9319, 9875, 180>,
  <14, 0, 340, 67>,
  <15, 1309, 3629, 110>,
  <16, 6234, 8468, 60>,
  <17, 3190, 3976, 283>,
  <18, 6195, 8433, 59>,
  <19, 0, 384, 152>,
  <20, 7842, 9906, 172>,
  <21, 6635, 8143, 315>,
  <22, 7395, 7939, 169>,
  <23, 6217, 7855, 339>,
  <24, 8271, 10069, 245>,
  <25, 5759, 7199, 163>,
  <26, 8150, 10080, 342>,
  <27, 8952, 10080, 100>,
  <28, 5659, 6631, 257>,
  <29, 6393, 8161, 326>,
  <30, 2342, 4974, 130>,
  <31, 6672, 8700, 221>,
  <32, 5396, 6002, 172>,
  <33, 5674, 7470, 270>,
  <34, 2161, 4485, 347>,
  <35, 8010, 8586, 158>,
  <36, 7227, 9851, 212>,
  <37, 5791, 8725, 97>,
  <38, 8052, 8618, 259>,
  <39, 9069, 9307, 207>,
  <40, 6875, 9757, 141>,
  <41, 4841, 5367, 219>,
  <42, 2279, 4105, 161>,
  <43, 1240, 2508, 112>,
  <44, 2826, 3894, 125>,
  <45, 5174, 5482, 289>,
  <46, 5440, 8260, 212>,
  <47, 4443, 5767, 62>,
  <48, 1063, 3205, 325>,
  <49, 8343, 10080, 170>,
  <50, 3801, 5221, 175>,
  <51, 8281, 10080, 273>,
  <52, 3151, 5387, 211>,
  <53, 6740, 9818, 252>,
  <54, 5382, 6870, 196>,
  <55, 576, 1652, 127>,
  <56, 8748, 10080, 224>,
  <57, 6317, 8273, 53>,
  <58, 0, 1899, 272>,
  <59, 117, 737, 54>,
  <60, 4213, 6109, 157>,
  <61, 2389, 4665, 54>,
  <62, 6261, 8329, 175>,
  <63, 4191, 7169, 99>,
  <64, 7278, 7720, 216>,
  <65, 5797, 7159, 106>,
  <66, 8203, 10080, 285>,
  <67, 3263, 4309, 125>,
  <68, 7027, 9901, 155>,
  <69, 8195, 9289, 188>,
  <70, 6900, 7798, 338>,
  <71, 2888, 4720, 343>,
  <72, 7588, 9412, 124>,
  <73, 8531, 8731, 154>,
  <74, 2112, 3342, 182>,
  <75, 6620, 8674, 167>,
  <76, 9325, 9679, 229>,
  <77, 6215, 6923, 104>,
  <78, 9492, 10080, 234>,
  <79, 325, 1157, 288>,
  <80, 4631, 5537, 91>,
  <81, 7140, 8672, 79>,
  <82, 9159, 10069, 73>,
  <83, 5663, 7995, 260>,
  <84, 286, 1306, 125>,
  <85, 2144, 3048, 237>,
  <86, 1524, 1886, 247>,
  <87, 4300, 6760, 318>,
  <88, 6643, 8463, 299>,
  <89, 6612, 8940, 224>,
  <90, 7244, 8122, 83>,
  <91, 1558, 3412, 78>,
  <92, 8835, 10080, 127>,
  <93, 0, 500, 253>,
  <94, 8269, 10080, 159>,
  <95, 309, 427, 55>,
  <96, 4405, 6653, 160>,
  <97, 0, 1660, 262>,
  <98, 6322, 7038, 235>,
  <99, 6385, 7903, 236>,
  <100, 8361, 9789, 135>,
};

