10	10
4	65121	8	55237	6	149920	5	120849	1	49241	2	126198	9	26483	7	167634	0	69457	3	133484	
5	128185	3	53713	6	93436	4	47698	2	143573	8	50536	0	79565	1	71876	7	129514	9	33213	
9	97286	8	106405	0	144215	1	39189	6	53085	5	36579	7	38278	4	48284	2	43080	3	80274	
7	119551	2	76971	1	58356	4	143990	3	24591	6	70902	5	136781	0	24077	9	99105	8	37397	
3	65388	4	70232	9	140375	8	112489	0	176256	2	63337	6	93677	5	51558	7	44925	1	22431	
1	125133	4	118075	5	125731	6	79759	8	74713	2	93189	7	43470	9	33753	3	95459	0	158735	
7	2300	1	141344	4	196812	3	183475	0	128906	8	134208	2	96650	5	153590	6	88046	9	65653	
4	106382	6	82107	3	126216	2	50279	1	103238	5	105719	7	56248	0	102219	8	222760	9	81806	
0	106603	6	71275	3	80583	7	117865	1	71189	2	115147	4	41100	5	56127	8	99881	9	99556	
3	64500	0	49760	1	149956	8	94978	7	98399	9	120805	6	79365	4	27368	5	67869	2	128860	
