ILOG_CSV_FORMAT,1.1,,,,,,,,,,

GENERAL|NAMES,date,time,hostName,CPU,MHz,memory,search,comment,timeLimit,commandLine,
GENERAL|KEYS,0,0,0,0,0,0,0,0,0,0,
GENERAL,,,,,,,SchedulerLNS,,1,-search SchedulerLNS -timelimit 1 -scenarii X:\dev\scheduler-papers\mista-2007\scenarii\QMRCPSP\normalized.csv,

RESULT|NAMES, modeler, instance, modelParams, time, numberOfSolutions, acceptable, lb, ub, completion, objectiveSense, runId
RESULT|KEYS,1,1,1,0,0,0,0,0,0,0,0
RESULT, QMRCPSP, pwso/qosp32x3/psp1.qmrcp,3 25,0.03125,1,1,-7734,-4791,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp2.qmrcp,3 25,0.015625,1,1,-8101,-4661,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp3.qmrcp,3 25,0.03125,1,1,-6270,-3278,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp4.qmrcp,3 25,0.03125,1,1,-6101,-3530,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp5.qmrcp,3 25,0.015625,1,1,-6993,-3902,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp6.qmrcp,3 25,0.03125,1,1,-9388,-5097,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp7.qmrcp,3 25,0.03125,1,1,-8428,-3849,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp8.qmrcp,3 25,0.03125,1,1,-7178,-3770,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp9.qmrcp,3 25,0.015625,1,1,-8269,-3865,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp10.qmrcp,3 25,0.03125,1,1,-8933,-4854,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp12.qmrcp,3 25,0.03125,1,1,-8537,-4234,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp13.qmrcp,3 25,0.015625,1,1,-7114,-3860,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp15.qmrcp,3 25,0.03125,1,1,-6314,-3686,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp16.qmrcp,3 25,0.03125,1,1,-7455,-4270,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp17.qmrcp,3 25,0.03125,1,1,-6266,-3628,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp18.qmrcp,3 25,0.015625,1,1,-7833,-4786,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp19.qmrcp,3 25,0.015625,1,1,-7384,-4723,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp20.qmrcp,3 25,0,1,1,-5305,-3860,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp21.qmrcp,3 25,0.015625,1,1,-8200,-4397,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp22.qmrcp,3 25,0.015625,1,1,-8101,-4545,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp23.qmrcp,3 25,0.03125,1,1,-8155,-4233,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp24.qmrcp,3 25,0.03125,1,1,-7618,-4258,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp25.qmrcp,3 25,0.015625,1,1,-7119,-3684,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp26.qmrcp,3 25,0.015625,1,1,-9284,-5972,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp27.qmrcp,3 25,0.015625,1,1,-7685,-4262,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp28.qmrcp,3 25,0.03125,1,1,-7806,-4290,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp29.qmrcp,3 25,0.015625,1,1,-9166,-4690,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp30.qmrcp,3 25,0.015625,1,1,-7980,-4051,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp31.qmrcp,3 25,0.015625,1,1,-8040,-4486,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp32.qmrcp,3 25,0,1,1,-8022,-4466,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp33.qmrcp,3 25,0.015625,1,1,-8543,-4528,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp34.qmrcp,3 25,0.03125,1,1,-7780,-3738,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp35.qmrcp,3 25,0.015625,1,1,-7018,-3632,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp36.qmrcp,3 25,0.03125,1,1,-8548,-4590,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp37.qmrcp,3 25,0.015625,1,1,-8036,-4066,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp38.qmrcp,3 25,0.03125,1,1,-6583,-3869,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp39.qmrcp,3 25,0.03125,1,1,-6247,-3406,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp40.qmrcp,3 25,0.015625,1,1,-6841,-3948,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp41.qmrcp,3 25,0.015625,1,1,-4388,-2826,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp42.qmrcp,3 25,0.015625,1,1,-6709,-4258,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp43.qmrcp,3 25,0.03125,1,1,-6616,-3456,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp44.qmrcp,3 25,0.015625,1,1,-7119,-4079,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp45.qmrcp,3 25,0.03125,1,1,-7402,-3891,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp46.qmrcp,3 25,0.015625,1,1,-7008,-4405,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp47.qmrcp,3 25,0.015625,1,1,-6950,-3962,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp48.qmrcp,3 25,0.015625,1,1,-7659,-4286,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp49.qmrcp,3 25,0.015625,1,1,-7576,-4114,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp50.qmrcp,3 25,0.015625,1,1,-7867,-3868,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp51.qmrcp,3 25,0.015625,1,1,-8161,-4267,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp52.qmrcp,3 25,0.03125,1,1,-5120,-3403,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp53.qmrcp,3 25,0.015625,1,1,-7078,-4456,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp54.qmrcp,3 25,0.015625,1,1,-6728,-3961,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp55.qmrcp,3 25,0.015625,1,1,-7881,-4188,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp56.qmrcp,3 25,0.015625,1,1,-6190,-4483,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp57.qmrcp,3 25,0.015625,1,1,-7429,-3895,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp58.qmrcp,3 25,0.015625,1,1,-6920,-3477,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp59.qmrcp,3 25,0.03125,1,1,-6531,-3440,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp60.qmrcp,3 25,0.03125,1,1,-6274,-4104,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp61.qmrcp,3 25,0.015625,1,1,-5965,-3244,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp62.qmrcp,3 25,0.03125,1,1,-7190,-3958,100,-1,0
RESULT, QMRCPSP, pwso/qosp32x3/psp63.qmrcp,3 25,0.03125,1,1,-6560,-4029,100,-1,0
