Stations = {
  <"POGO", 1, 13>,  // station name, station id, number of antennas
  <"HULA", 2, 7>,
  <"COOK", 3, 12>,
  <"INDI", 4, 2>,
  <"BOSS", 5, 10>,
  <"LION", 6, 9>,
  <"GUAM", 7, 5>,
  <"PIKE", 8, 6>,
  <"REEF", 9, 1>,
  <"HAWK", 10, 10>,
  <"DICE", 11, 7>,
  <"EVCF", 12, 10>,
  <"SUN3", 13, 5>,
};

Alternatives = {
  <"1",6,1800,1422,3600>, // task id, station id, earliest start time, duration, latest end time
  <"2",1,1380,1558,3480>,
  <"3",2,2160,1372,4080>,
  <"4",3,3900,1171,6060>,
  <"5",6,3600,1638,5580>,
  <"6",9,5220,1291,7380>,
  <"7",1,7500,1154,9720>,
  <"8",7,6480,2057,8580>,
  <"9",1,6660,1841,8880>,
  <"10",5,8220,980,10140>,
  <"11",6,8760,1498,10800>,
  <"194A",1,92220,2108,94500>,
  <"194B",1,90360,1210,92640>,
  <"195",2,660,2029,30360>,
  <"195",2,29460,2029,35760>,
  <"195",3,660,2029,30360>,
  <"195",3,660,2029,35760>,
  <"195",3,29460,2029,35760>,
  <"195",10,660,2029,30360>,
  <"195",10,29460,2029,35760>,
  <"195",5,660,2029,30360>,
  <"195",5,29460,2029,35760>,
  <"195",8,660,2029,30360>,
  <"195",8,29460,2029,35760>,
  <"195A",2,2160,2657,31860>,
  <"195A",2,30960,2657,37260>,
  <"195A",3,2160,2657,31860>,
  <"195A",3,2160,2657,37260>,
  <"195A",3,30960,2657,37260>,
  <"195A",10,2160,2657,31860>,
  <"195A",10,30960,2657,37260>,
  <"195A",5,2160,2657,31860>,
  <"195A",5,30960,2657,37260>,
  <"195A",8,2160,2657,31860>,
  <"195A",8,30960,2657,37260>,
  <"195B",2,2220,2122,31920>,
  <"195B",2,31020,2122,37320>,
  <"195B",3,2220,2122,31920>,
  <"195B",3,2220,2122,37320>,
  <"195B",3,31020,2122,37320>,
  <"195B",10,2220,2122,31920>,
  <"195B",10,31020,2122,37320>,
  <"195B",5,2220,2122,31920>,
  <"195B",5,31020,2122,37320>,
  <"195B",8,2220,2122,31920>,
  <"195B",8,31020,2122,37320>,
  <"196",2,3360,1514,33060>,
  <"196",2,32160,1514,38460>,
  <"196",3,3360,1514,33060>,
  <"196",3,3360,1514,38460>,
  <"196",3,32160,1514,38460>,
  <"196",10,3360,1514,33060>,
  <"196",10,32160,1514,38460>,
  <"196",5,3360,1514,33060>,
  <"196",5,32160,1514,38460>,
  <"196",8,3360,1514,33060>,
  <"196",8,32160,1514,38460>,
  <"196A",2,5700,1779,35400>,
  <"196A",2,34500,1779,40800>,
  <"196A",3,5700,1779,35400>,
  <"196A",3,5700,1779,40800>,
  <"196A",3,34500,1779,40800>,
  <"196A",10,5700,1779,35400>,
  <"196A",10,34500,1779,40800>,
  <"196A",5,5700,1779,35400>,
  <"196A",5,34500,1779,40800>,
  <"196A",8,5700,1779,35400>,
  <"196A",8,34500,1779,40800>,
  <"196B",2,5520,1501,35220>,
  <"196B",2,34320,1501,40620>,
  <"196B",3,5520,1501,35220>,
  <"196B",3,5520,1501,40620>,
  <"196B",3,34320,1501,40620>,
  <"196B",10,5520,1501,35220>,
  <"196B",10,34320,1501,40620>,
  <"196B",5,5520,1501,35220>,
  <"196B",5,34320,1501,40620>,
  <"196B",8,5520,1501,35220>,
  <"196B",8,34320,1501,40620>,
  <"197",2,840,1811,30540>,
  <"197",2,29640,1811,35940>,
  <"197",3,840,1811,30540>,
  <"197",3,840,1811,35940>,
  <"197",3,29640,1811,35940>,
  <"197",10,840,1811,30540>,
  <"197",10,29640,1811,35940>,
  <"197",5,840,1811,30540>,
  <"197",5,29640,1811,35940>,
  <"197",8,840,1811,30540>,
  <"197",8,29640,1811,35940>,
  <"197A",2,4080,2379,33780>,
  <"197A",2,32880,2379,39180>,
  <"197A",3,4080,2379,33780>,
  <"197A",3,4080,2379,39180>,
  <"197A",3,32880,2379,39180>,
  <"197A",10,4080,2379,33780>,
  <"197A",10,32880,2379,39180>,
  <"197A",5,4080,2379,33780>,
  <"197A",5,32880,2379,39180>,
  <"197A",8,4080,2379,33780>,
  <"197A",8,32880,2379,39180>,
  <"197B",2,3360,1986,33060>,
  <"197B",2,32160,1986,38460>,
  <"197B",3,3360,1986,33060>,
  <"197B",3,3360,1986,38460>,
  <"197B",3,32160,1986,38460>,
  <"197B",10,3360,1986,33060>,
  <"197B",10,32160,1986,38460>,
  <"197B",5,3360,1986,33060>,
  <"197B",5,32160,1986,38460>,
  <"197B",8,3360,1986,33060>,
  <"197B",8,32160,1986,38460>,
  <"198",2,1380,1689,31080>,
  <"198",2,30180,1689,36480>,
  <"198",3,1380,1689,31080>,
  <"198",3,1380,1689,36480>,
  <"198",3,30180,1689,36480>,
  <"198",10,1380,1689,31080>,
  <"198",10,30180,1689,36480>,
  <"198",5,1380,1689,31080>,
  <"198",5,30180,1689,36480>,
  <"198",8,1380,1689,31080>,
  <"198",8,30180,1689,36480>,
  <"198A",2,4680,1760,34380>,
  <"198A",2,33480,1760,39780>,
  <"198A",3,4680,1760,34380>,
  <"198A",3,4680,1760,39780>,
  <"198A",3,33480,1760,39780>,
  <"198A",10,4680,1760,34380>,
  <"198A",10,33480,1760,39780>,
  <"198A",5,4680,1760,34380>,
  <"198A",5,33480,1760,39780>,
  <"198A",8,4680,1760,34380>,
  <"198A",8,33480,1760,39780>,
  <"198B",2,3420,1923,33120>,
  <"198B",2,32220,1923,38520>,
  <"198B",3,3420,1923,33120>,
