ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0
BESTSOFAR,FlowShop,Taillard/tail20_5_3.dat,,1083,Vaessens,1995,,1083,Taillard,1993,
BESTSOFAR,FlowShop,Taillard/tail20_5_4.dat,,1293,Vaessens,1995,,1293,Taillard,1993,

BESTSOFAR,FlowShop,Taillard/tail20_10_2.dat,,1659,Vaessens,1995,,1659,Taillard,1993,
BESTSOFAR,FlowShop,Taillard/tail20_10_3.dat,,1496,Vaessens,1995,,1496,Taillard,1993,

BESTSOFAR,FlowShop,Taillard/tail20_20_5.dat,,2291,Vaessens,1995,,2291,Taillard,1993,
BESTSOFAR,FlowShop,Taillard/tail20_20_10.dat,,2178,Vaessens,1995,,2178,Taillard,1993,

BESTSOFAR,FlowShop,Taillard/tail50_5_7.dat,,2725,Vaessens,1995,,2725,Taillard,1993,
BESTSOFAR,FlowShop,Taillard/tail50_5_9.dat,,2552,Vaessens,1995,,2552,Taillard,1993,

BESTSOFAR,FlowShop,Taillard/tail50_10_1.dat,,2991,Vaessens,1995,,2991,Vaessens,1995,
BESTSOFAR,FlowShop,Taillard/tail50_10_6.dat,,3006,Vaessens,1995,,3006,Nowicki-Smutnick,1996,

BESTSOFAR,FlowShop,Taillard/tail100_5_3.dat,,5175,Vaessens,1995,,5175,Taillard,1993,
BESTSOFAR,FlowShop,Taillard/tail100_5_9.dat,,5448,Vaessens,1995,,5448,Taillard,1993,
