Machines = {
  "M01",
  "M02",
  "M03",
  "M04",
  "M05",
  "M06",
  "M07",
  "M08",
  "M09",
  "M10",
  "M11",
  "M12",
  "M13",
  "M14",
  "M15",
};

MachinesTypes = {
  <"MachineT1", "M13">,
  <"MachineT2", "M02">,
  <"MachineT2", "M13">,
  <"MachineT2", "M15">,
  <"MachineT3", "M10">,
  <"MachineT4", "M10">,
  <"MachineT4", "M09">,
  <"MachineT4", "M06">,
  <"MachineT4", "M12">,
  <"MachineT5", "M14">,
  <"MachineT5", "M09">,
  <"MachineT6", "M12">,
  <"MachineT6", "M14">,
  <"MachineT6", "M03">,
  <"MachineT6", "M05">,
  <"MachineT6", "M10">,
  <"MachineT7", "M13">,
  <"MachineT7", "M15">,
  <"MachineT8", "M05">,
  <"MachineT8", "M03">,
  <"MachineT8", "M01">,
  <"MachineT9", "M08">,
  <"MachineT9", "M14">,
  <"MachineT9", "M15">,
  <"MachineT10", "M12">,
  <"MachineT10", "M14">,
  <"MachineT10", "M02">,
  <"MachineT10", "M10">,
  <"MachineT10", "M15">,
  <"MachineT10", "M04">,
};

Operators = {
  "Pierre",
  "Eva",
  "Paul"
};

Transitions = {
  <"Entry", "Entry", 0>,
  <"Entry", "Exit", 42>,
  <"Entry", "M01", 25>,
  <"Entry", "M02", 49>,
  <"Entry", "M03", 73>,
  <"Entry", "M04", 97>,
  <"Entry", "M05", 121>,
  <"Entry", "M06", 145>,
  <"Entry", "M07", 169>,
  <"Entry", "M08", 193>,
  <"Entry", "M09", 217>,
  <"Entry", "M10", 241>,
  <"Entry", "M11", 265>,
  <"Entry", "M12", 130>,
  <"Entry", "M13", 154>,
  <"Entry", "M14", 200>,
  <"Entry", "M15", 280>,
  <"Exit", "Entry", 42>,
  <"Exit", "Exit", 0>,
  <"Exit", "M01", 48>,
  <"Exit", "M02", 72>,
  <"Exit", "M03", 96>,
  <"Exit", "M04", 120>,
  <"Exit", "M05", 144>,
  <"Exit", "M06", 168>,
  <"Exit", "M07", 192>,
  <"Exit", "M08", 216>,
  <"Exit", "M09", 240>,
  <"Exit", "M10", 264>,
  <"Exit", "M11", 288>,
  <"Exit", "M12", 123>,
  <"Exit", "M13", 147>,
  <"Exit", "M14", 193>,
  <"Exit", "M15", 273>,
  <"M01", "Entry", 25>,
  <"M01", "Exit", 48>,
  <"M01", "M01", 0>,
  <"M01", "M02", 25>,
  <"M01", "M03", 49>,
  <"M01", "M04", 73>,
  <"M01", "M05", 97>,
  <"M01", "M06", 121>,
  <"M01", "M07", 144>,
  <"M01", "M08", 168>,
  <"M01", "M09", 192>,
  <"M01", "M10", 216>,
  <"M01", "M11", 240>,
  <"M01", "M12", 105>,
  <"M01", "M13", 130>,
  <"M01", "M14", 176>,
  <"M01", "M15", 256>,
  <"M02", "Entry", 49>,
  <"M02", "Exit", 72>,
  <"M02", "M01", 25>,
  <"M02", "M02", 0>,
  <"M02", "M03", 25>,
  <"M02", "M04", 49>,
  <"M02", "M05", 73>,
  <"M02", "M06", 97>,
  <"M02", "M07", 120>,
  <"M02", "M08", 144>,
  <"M02", "M09", 168>,
  <"M02", "M10", 192>,
  <"M02", "M11", 216>,
  <"M02", "M12", 81>,
  <"M02", "M13", 106>,
  <"M02", "M14", 152>,
  <"M02", "M15", 232>,
  <"M03", "Entry", 73>,
