50 0
131 178 0
18 191 0
189 124 0
154 267 0
194 235 0
25 111 0
69 122 0
26 200 0
28 221 0
23 177 0
49 105 0
134 279 0
204 121 0
205 243 0
73 115 0
74 189 0
4 273 0
217 62 0
120 171 0
91 125 0
51 109 0
56 107 0
104 164 0
145 155 0
216 124 0
244 72 0
227 247 0
90 164 0
231 255 0
34 155 0
70 145 0
0 189 0
135 178 0
236 295 0
151 75 0
211 281 0
95 156 0
75 109 0
87 239 0
63 207 0
218 202 0
53 148 0
68 199 0
157 123 0
183 151 0
161 251 0
155 231 0
248 116 0
162 78 0
253 79 0
