50 0
121 121 0
210 65 0
11 255 0
153 112 0
207 272 0
145 136 0
36 167 0
229 223 0
110 187 0
38 239 0
77 234 0
17 147 0
209 72 0
0 254 0
245 189 0
160 93 0
247 277 0
30 154 0
48 192 0
113 171 0
149 69 0
26 106 0
152 67 0
83 79 0
102 149 0
215 214 0
35 216 0
216 192 0
158 207 0
66 257 0
13 203 0
2 111 0
84 222 0
87 249 0
128 207 0
249 221 0
120 292 0
42 156 0
124 186 0
64 123 0
237 297 0
54 94 0
139 132 0
232 162 0
71 245 0
9 136 0
146 204 0
46 261 0
67 175 0
119 243 0
