50 0
102 70 0
134 117 0
7 148 0
90 189 0
173 197 0
78 280 0
93 63 0
127 121 0
22 283 0
239 176 0
252 111 0
135 200 0
114 108 0
9 233 0
230 73 0
122 211 0
35 153 0
183 152 0
254 151 0
192 194 0
101 219 0
150 276 0
17 232 0
18 174 0
56 69 0
15 152 0
47 92 0
54 121 0
205 229 0
14 150 0
206 120 0
199 109 0
175 235 0
223 62 0
229 145 0
91 211 0
157 157 0
207 271 0
208 103 0
29 181 0
72 266 0
57 205 0
194 63 0
168 70 0
247 93 0
24 244 0
228 102 0
198 144 0
152 293 0
64 76 0
