20	5
1	17700	0	63860	4	733	2	40529	3	33776	
3	68654	4	53889	1	38399	0	17514	2	20053	
4	15188	3	51031	1	72037	2	25116	0	54496	
1	64974	3	53304	4	39929	2	69520	0	55314	
3	79343	1	82197	2	26398	0	86143	4	27936	
1	51740	2	52381	3	16110	0	82021	4	78481	
1	78205	0	96528	3	15357	4	9570	2	29297	
3	5114	4	20647	2	76042	0	27334	1	119278	
0	9492	2	76604	1	66689	4	78146	3	38653	
0	6681	4	59171	3	5295	2	8251	1	97256	
0	79239	2	69070	3	121197	4	43514	1	7253	
1	51925	3	59524	4	16779	2	86530	0	57497	
1	56367	0	21457	3	57999	4	5096	2	96167	
2	32378	4	10081	0	93010	3	30835	1	19508	
1	21348	3	88378	4	9967	0	10229	2	15128	
3	18144	2	36859	0	70521	4	32327	1	57908	
2	39453	1	23798	0	63135	3	125729	4	49913	
1	28591	3	21825	0	39774	4	2292	2	3191	
2	87133	4	35719	0	81580	1	116565	3	85979	
2	18138	4	28745	3	11627	1	38977	0	9360	
