DETAILS|NAMES,modeler,instance,modelParams,timeRatio,lbRatio,ubRatio,completionRatio,feasibleRatio,evolution
DETAILS|KEYS,1,1,1,0,0,0,0,0,0
DETAILS,MultiProcessorTotalTardiness,200/inp200.14,1,1,1,1.00001,1,1,10
DETAILS,MultiProcessorTotalTardiness,200/inp200.22,1,1,1,1.00151,1,1,17
DETAILS,MultiProcessorTotalTardiness,200/inp200.43,1,1,1,1,1,1,0
DETAILS,MultiProcessorTotalTardiness,200/inp200.44,1,1,1,1,1,1,9
DETAILS,MultiProcessorTotalTardiness,200/inp200.50,1,1,1,1,1,1,3
DETAILS,MultiProcessorTotalTardiness,200/inp200.86,1,1,1,1,1,1,2
DETAILS,MultiProcessorTotalTardiness,200/inp200.119,1,1,5.07022e-007,1.00004,1,1,13
DETAILS,MultiProcessorTotalTardiness,200/inp200.133,1,1,1,1,1,1,6
DETAILS,MultiProcessorTotalTardiness,200/inp200.168,1,1,1,1,1,1,4
DETAILS,MultiProcessorTotalTardiness,200/inp200.199,1,1,9.79681e-008,1.00003,1,1,12
DETAILS,MultiProcessorTotalTardiness,500/inp500.2,1,1,1,1.02345,1,1,19
DETAILS,MultiProcessorTotalTardiness,500/inp500.3,1,1,1,1.02247,1,1,18
DETAILS,MultiProcessorTotalTardiness,500/inp500.43,1,1,1,1,1,1,8
DETAILS,MultiProcessorTotalTardiness,500/inp500.49,1,1,1,1,1,1,7
DETAILS,MultiProcessorTotalTardiness,500/inp500.72,1,1,4.1841e-005,1.00069,1,1,15
DETAILS,MultiProcessorTotalTardiness,500/inp500.146,1,1,0.000104167,1.0014,1,1,16
DETAILS,MultiProcessorTotalTardiness,500/inp500.177,1,1,1,1,1,1,1
DETAILS,MultiProcessorTotalTardiness,500/inp500.180,1,1,1,1,1,1,5
DETAILS,MultiProcessorTotalTardiness,500/inp500.191,1,1,1.65617e-008,1.00002,1,1,11
DETAILS,MultiProcessorTotalTardiness,500/inp500.198,1,1,1.54797e-008,1.00004,1,1,14

MODELS|NAMES,modeler,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
MODELS|KEYS,1,0,0,0,0,0,0,0,0,0,0,0,0
MODELS,MultiProcessorTotalTardiness,1,0,0,0.0137156,0,6,1.00246,10,0,10,10,0

GLOBAL|NAMES,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
GLOBAL|KEYS,0,0,0,0,0,0,0,0,0,0,0,0
GLOBAL,1,0,0,0.0137156,0,6,1.00246,10,0,10,10,0
