ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps01.dat,,798,ABF04,2004,,798,BT96,1996,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps02.dat,,784,ABF04,2004,,784,BT96,1996,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps03.dat,,749,ABF04,2004,,749,BT96,1996,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps04.dat,,730,ABF04,2004,,730,BT96,1996,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps05.dat,,691,ABF04,2004,,691,BT96,1996,

BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps06.dat,,1009,AF05,2005,,1009,AF05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps07.dat,,970,ABF04,2004,,970,ABF04,2004,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps08.dat,,958,AF05,2005,,966,AF05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps09.dat,,1051,AF05,2005,,1060,ABF04,2004,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps10.dat,,1018,ABF04,2004,,1018,ABF04,2004,

BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps11.dat,,1382,AF05,2005,,1470,BSV05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps12.dat,,1226,AF05,2005,,1305,BSV05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps13.dat,,1320,AF05,2005,,1439,BSV05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps14.dat,,1431,AF05,2005,,1483,AF05,2005,
BESTSOFAR,UnaryAlternativeTransitionTime,jodata/t2-ps15.dat,,1390,AF05,2005,,1527,BSV05,2005,


