# INSTANCE: InstancesTDTSP/inst_100_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 1.05 52086 -1
* 1.33 51966 -1
* 1.61 51880 -1
* 1.62 51871 -1
* 1.64 51814 -1
* 1.68 51738 -1
* 1.69 51689 -1
* 1.73 51606 -1
* 1.74 51461 -1
* 1.75 51331 -1
* 1.77 51296 -1
* 1.78 51239 -1
* 1.79 51212 -1
* 1.8 51156 -1
* 1.81 50827 -1
* 1.81 50796 -1
* 1.84 50787 -1
* 1.86 50779 -1
* 1.86 50701 -1
* 1.87 50489 -1
* 1.87 50462 -1
* 1.88 50252 -1
* 1.88 50196 -1
* 1.89 50189 -1
* 1.92 50119 -1
* 1.93 49787 -1
* 2.01 49696 -1
* 2.02 49646 -1
* 2.1 49616 -1
* 2.1 49557 -1
* 2.14 49548 -1
* 2.17 49526 -1
* 2.18 49502 -1
* 2.19 49478 -1
* 2.19 49412 -1
* 2.22 49381 -1
* 2.22 49342 -1
* 2.26 49295 -1
* 2.29 49277 -1
* 2.3 49251 -1
* 2.31 49237 -1
* 2.32 49157 -1
* 2.32 49143 -1
* 2.33 49106 -1
* 2.34 49085 -1
* 2.37 48974 -1
* 2.4 48928 -1
* 2.46 48823 -1
* 2.47 48763 -1
* 2.48 48737 -1
* 2.48 48690 -1
* 9.25 48689 -1
* 9.26 48658 -1
* 10.07 48646 -1
* 10.12 48630 -1
* 10.36 48629 -1
* 10.4 48523 -1
* 11.22 48485 -1
* 11.91 48473 -1
* 13.27 48374 -1
* 13.28 48332 -1
* 13.29 48324 -1
* 13.32 48309 -1
* 13.32 48286 -1
* 13.35 48265 -1
* 13.42 48031 -1
* 13.43 48008 -1
* 13.43 47875 -1
* 13.46 47863 -1
* 13.54 47815 -1
* 13.55 47668 -1
* 13.59 47639 -1
* 13.71 47470 -1
* 14.12 47458 -1
* 14.8 47451 -1
* 14.85 47374 -1
* 15.2 47335 -1
* 15.49 47312 -1
* 15.5 47278 -1
* 15.51 47263 -1
* 15.51 46777 -1
* 16.38 46776 -1
* 16.39 46645 -1
* 16.4 46569 -1
* 16.43 46429 -1
* 16.43 45887 -1
* 16.49 45851 -1
* 16.49 45753 -1
* 16.49 45429 -1
* 16.49 45121 -1
* 16.96 45031 -1
* 17.11 44837 -1
* 17.19 44825 -1
* 17.2 44750 -1
* 18.36 44744 -1
* 18.61 44640 -1
* 18.77 44626 -1
* 20.8 44383 -1
* 26.29 44370 -1
* 26.33 44328 -1
* 26.43 44305 -1
* 26.47 44256 -1
* 26.5 44185 -1
* 26.51 44168 -1
* 26.51 44150 -1
* 26.55 44132 -1
* 26.57 44119 -1
* 26.87 43490 -1
* 26.91 43435 -1
* 26.94 43320 -1
* 27 43311 -1
* 27.07 43217 -1
* 27.11 43084 -1
* 27.13 42999 -1
* 27.16 42986 -1
* 27.18 42974 -1
* 27.19 42870 -1
* 27.35 42827 -1
* 27.4 42708 -1
* 27.45 42599 -1
* 27.5 42574 -1
* 27.83 42519 -1
* 28.25 42507 -1
* 29.15 42497 -1
* 29.17 42483 -1
* 29.18 42477 -1
* 29.22 42476 -1
* 29.26 42442 -1
* 29.37 42398 -1
* 34.92 42289 -1
* 34.95 42268 -1
* 35.54 42187 -1
* 35.73 42183 -1
* 36.64 42098 -1
* 40.04 42071 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42071
# NUMBER OF BRANCHES: 193380286
# END TIME: 7200
## Solution with TDTSP times: 
100
78 0
204 238
206 453
211 833
85 1170
79 1431
80 1745
131 2081
168 2535
71 2833
183 3351
225 3875
177 4719
14 5510
