# INSTANCE: InstancesTDTSP/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 71295 51654
* 0.02 69628 51387
* 0.03 48862 50743
* 0.04 47694 49924
* 0.07 47627 49924
* 0.07 47566 49924
* 0.07 47536 49908
* 0.07 47506 48941
* 0.1 47378 48941
* 0.1 47339 48941
* 0.11 47328 48941
* 0.11 47214 49478
* 0.11 47040 49478
* 0.12 46970 48248
* 0.15 46952 49173
* 0.15 46684 49034
* 0.16 46350 48485
* 0.17 46161 48485
* 0.17 46003 48159
* 0.18 45673 47995
* 0.18 45620 47995
* 0.19 45544 47995
* 0.19 45532 47995
* 0.26 45527 47958
* 0.26 45514 47780
* 0.27 45392 47780
* 0.27 45367 47780
* 0.32 45280 47650
* 0.33 45268 47622
* 0.33 45230 47679
* 0.34 45148 47616
* 0.35 45102 47501
* 0.37 45052 47501
* 0.37 45049 46800
* 0.37 45023 46800
* 0.39 45002 46800
* 0.4 44955 46800
* 0.41 44931 47195
* 0.43 44789 46800
* 0.52 44736 46800
* 0.53 44695 47146
* 0.54 44656 46800
* 0.54 44625 47143
* 0.59 44589 47143
* 0.59 44586 47143
* 0.6 44568 47137
* 0.6 44486 46800
* 0.63 44443 46800
* 0.63 44438 46800
* 0.64 44427 46800
* 0.66 44409 46800
* 0.67 44378 46800
* 0.71 44321 46800
* 0.75 44199 46698
* 0.78 43946 46455
* 0.8 43905 46427
* 0.8 43876 46427
* 0.81 43768 46325
* 0.84 43647 46226
* 0.9 43571 46148
* 0.92 43541 46141
* 0.99 43498 46141
* 1.01 43497 46141
* 1.01 43494 46141
* 1.08 43485 46141
* 1.08 43032 45403
* 1.09 42911 45277
* 1.15 42894 45273
* 1.2 42792 45129
* 1.23 42762 45025
* 1.25 42749 45008
* 7.68 42718 44994
* 7.72 42695 44907
* 8.28 42692 44934
* 9.32 42688 44932
* 9.38 42648 44734
* 9.46 42641 44735
* 9.75 42621 44734
* 11.08 42579 44677
* 11.09 42538 44666
* 11.53 42525 44652
* 19.69 42456 44548
* 19.9 42450 44355
* 19.93 42430 44558
* 19.94 42366 44465
* 20.11 42315 44305
* 20.13 42301 44272
* 20.21 42298 44293
* 20.72 42255 44245
* 20.79 42254 44241
* 20.83 42253 44245
* 20.85 42250 44240
* 21.08 42234 44173
* 21.49 42221 44173
* 23.79 42070 44138
* 23.92 42037 44056
* 24.08 42030 44027
* 24.13 41999 43817
* 24.37 41914 43713
* 25.69 41907 43747
* 25.7 41903 43746
* 3264.83 41880 43702
* 3268.54 41862 43584
* 3269.4 41857 43611
* 3269.5 41846 43617
* 3270.35 41842 43617
* 3270.67 41828 43611
* 3284.42 41813 43585
* 3284.54 41778 43504
* 3290.44 41721 43401
* 3290.45 41691 43346
* 3290.47 41641 43346
* 3290.87 41633 43224
* 3290.88 41623 43224
* 3290.89 41608 43205
* 3290.97 41598 43227
* 3291 41557 43081
* 3291.2 41505 42807
* 3300.69 41503 43130
* 6479.39 41482 43071
* 6479.4 41440 43003
* 6479.4 41430 43005
* 6479.46 41428 43011
* 6479.47 41423 43007
* 6479.52 41356 42927
* 6479.53 41311 42920
* 6479.54 41301 42917
* 6479.7 41282 42887
* 6479.78 41279 42908
* 6480.59 41256 42848
* 6486.37 41228 42823
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41228
# NUMBER OF BRANCHES: 192998053
# END TIME: 7200
## Solution with TDTSP times: 
100
172 0
176 228
180 686
195 1341
212 1645
208 2007
131 2294
74 2557
80 2760
79 3060
85 3462
210 3781
70 4382
128 4710
24 5282
54 5678
53 5805
157 5991
149 6362
189 6567
155 6879
187 7200
151 7685
142 8168
141 8410
163 8778
152 9086
121 9541
46 9859
127 10249
43 10629
47 11022
126 11372
65 11506
40 11753
34 12164
76 12752
211 12944
206 13109
202 13579
207 14132
66 14926
209 15346
235 15806
129 16141
254 16816
116 17047
120 17254
45 17855
123 18063
23 18357
124 18703
36 19109
125 19446
248 19647
232 19915
59 20432
48 20770
57 21094
62 21511
97 21954
105 22295
88 22829
133 23293
35 23977
227 24261
41 24491
50 24824
96 25608
20 26802
29 27119
218 27498
253 27774
251 28170
28 28530
25 28828
244 29022
237 29199
201 29722
246 30149
197 30924
102 31634
90 31987
56 32769
231 33197
49 33398
162 33994
181 34742
18 35551
5 36048
14 36410
114 36641
2 36809
107 37118
1 37412
12 37890
108 38209
224 39269
17 40633
247 41161
# BEST TD SOLUTION: 42823
