# INSTANCE: InstancesTDTSP/inst_100_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 395199 84051
* 0.02 395115 84340
* 0.02 395081 84023
* 0.03 395046 83621
* 0.04 395027 84255
* 0.08 394919 83781
* 0.11 394691 83633
* 0.24 394497 85955
* 0.25 394489 85851
* 0.26 394454 85819
* 0.27 394402 85826
* 0.27 393505 83535
* 0.31 393396 83524
* 0.31 393221 83366
* 0.33 393159 83268
* 0.33 393025 83153
* 0.34 392973 83226
* 0.36 392859 82817
* 0.36 392525 84063
* 0.42 391862 83387
* 0.42 391692 83224
* 0.43 391516 82771
* 0.46 391260 82493
* 0.47 391208 82301
* 0.69 391197 82352
* 0.71 391178 82403
* 0.78 390913 82131
* 0.84 390845 82320
* 0.98 390557 82112
* 1.11 390549 82456
* 1.11 390454 82365
* 1.13 390451 82373
* 1.58 390357 82410
* 1.58 390328 82467
* 1.59 390170 83077
* 1.62 390117 82956
* 1.65 390109 83260
* 1.72 390030 83115
* 1.75 389676 82847
* 1.77 389296 83214
* 1.81 388744 83711
* 1.81 388487 83255
* 1.82 388434 83206
* 1.83 388431 82847
* 1.88 388010 84239
* 1.9 387649 85255
* 1.93 68808 85272
* 1.94 56868 84412
* 1.95 56251 82866
* 2.04 46397 80672
* 2.04 46367 80567
* 2.05 45601 79790
* 2.08 45485 79776
* 2.14 45337 79795
* 2.15 45263 79504
* 2.16 45210 79427
* 2.17 45115 79613
* 2.18 44894 79288
* 2.18 44617 78783
* 2.22 44504 78702
* 2.23 44454 78702
* 2.25 44425 78753
* 2.26 44421 78753
* 2.29 44198 78753
* 2.33 44156 78579
* 2.33 44057 78579
* 2.34 44007 78579
* 2.4 43893 78031
* 2.41 43390 78031
* 2.41 43259 78031
* 2.46 43219 78031
* 2.48 43193 78055
* 2.5 43143 78055
* 2.52 43098 78055
* 2.57 42960 78028
* 2.63 42947 78028
* 2.64 42878 77542
* 2.64 42844 77568
* 2.72 42788 77568
* 2.72 42761 77269
* 2.82 42603 76992
* 2.85 42560 77325
* 2.87 42520 77184
* 2.9 42483 77184
* 2.96 42344 76636
* 2.97 42339 76678
* 3.03 42301 76623
* 3.11 42257 76904
* 3.12 42241 76837
* 3.12 42180 76548
* 3.13 42147 76473
* 3.14 42071 76554
* 3.15 42015 76554
* 10.12 41955 76301
* 10.12 41757 76301
* 10.17 41741 76301
* 10.2 41687 76301
* 10.22 41636 75845
* 10.24 41613 75845
* 10.5 41607 75845
* 10.61 41544 75845
* 11.23 41540 75845
* 11.32 41523 75845
* 11.39 41466 75845
* 11.51 41421 75845
* 12.2 41370 75845
* 12.2 41364 75845
* 12.23 41227 75845
* 12.27 41224 75554
* 12.51 41207 75554
* 12.88 41185 75554
* 13.11 41160 75554
* 14.32 41043 75699
* 14.91 41034 75699
* 14.95 41005 75699
* 15.41 40995 75699
* 15.43 40942 75699
* 15.44 40867 75699
* 15.47 40863 75699
* 15.54 40846 75905
* 15.88 40823 75905
* 15.89 40806 75699
* 15.91 40776 75699
* 16.3 40752 75699
* 16.33 40697 75699
* 16.35 40630 75699
* 16.75 40610 75699
* 16.76 40487 75699
* 16.87 40469 75699
* 17.29 40399 75699
* 17.3 40396 75699
* 17.3 40375 75699
* 17.32 40357 75699
* 17.35 40354 75407
* 17.62 40353 75407
* 18.26 40348 75407
* 18.75 40304 75407
* 19.08 40295 75407
* 19.38 40256 75407
* 19.69 40242 75407
* 19.69 40199 75407
* 20.05 40192 74818
* 20.07 40156 74818
* 20.44 40155 74818
* 20.49 40120 75091
* 20.77 40118 74774
* 20.78 40081 74516
* 21.1 40069 74516
* 22.27 40061 74516
* 22.61 40052 74392
* 24.21 39966 74392
* 26.13 39902 74392
* 26.73 39900 74392
* 26.87 39899 74392
* 28.27 39787 74392
* 28.28 39783 74392
* 28.43 39764 74392
* 28.87 39740 41533
* 29.05 39719 41512
* 29.13 39690 41495
* 30.42 39670 41495
* 30.53 39529 41442
* 30.87 39502 41303
* 40.32 39269 40241
* 40.46 39255 40388
* 40.54 39222 40020
* 40.8 39218 40074
* 40.87 39210 40211
* 41.12 39208 40261
* 41.68 39205 40281
* 51.4 39162 40286
* 52.07 39149 40310
* 52.87 39107 40179
* 53.01 39090 40205
* 67.94 39085 40784
* 199.86 39083 40096
* 201.88 39079 40054
* 202.28 39074 40074
* 282.65 39045 40178
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39045
# NUMBER OF BRANCHES: 127663983
# END TIME: 7200.01
## Solution with TDTSP times: 
100
67 0
175 232
171 624
185 1030
173 1570
195 1814
212 2297
130 2857
79 3309
85 3555
84 3933
70 4269
128 4756
24 5240
54 5686
149 6197
158 6405
189 6623
148 7089
191 7397
65 7841
122 8260
52 8682
45 9183
123 9514
61 9879
242 9978
243 10282
49 10561
167 11056
152 11354
150 11673
163 11980
188 12127
160 12330
146 12774
153 13179
161 13376
190 13851
192 14217
208 14644
213 15001
221 15472
240 15898
226 16031
241 16584
132 16696
66 17098
205 17508
209 17803
211 18072
129 18357
34 18813
217 19192
254 19362
216 19670
220 19955
251 20046
119 20314
28 20683
25 20973
245 21294
244 21500
236 21728
246 21973
201 22244
198 22832
93 23480
90 23666
92 24028
99 24245
124 24604
60 25087
159 25569
228 26270
41 26862
50 27113
88 27851
96 28493
91 28985
89 29483
207 30617
68 31190
224 31912
8 32681
9 32953
115 33072
14 33347
12 33532
194 33903
239 34226
111 34717
106 35151
137 35725
6 36544
107 36919
1 37239
114 37741
18 38672
179 39394
# BEST TD SOLUTION: 40178
