# INSTANCE: InstancesTDTSP/inst_100_15_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.08 67472 -1
* 0.09 57118 -1
* 10.55 51480 -1
* 10.55 51343 -1
* 10.56 51302 -1
* 10.57 51186 -1
* 10.57 50951 -1
* 10.87 49757 -1
* 10.88 49374 -1
* 10.88 49273 -1
* 10.89 49117 -1
* 10.89 49037 -1
* 10.89 48742 -1
* 11.63 47954 -1
* 11.64 47930 -1
* 11.66 47928 -1
* 11.67 47826 -1
* 11.69 47704 -1
* 11.7 47682 -1
* 11.7 47435 -1
* 11.72 47416 -1
* 11.72 47407 -1
* 11.75 47065 -1
* 11.76 46880 -1
* 11.78 46821 -1
* 11.8 46776 -1
* 11.88 46666 -1
* 11.96 46559 -1
* 11.97 46553 -1
* 12.05 46470 -1
* 12.58 46381 -1
* 12.6 46342 -1
* 13.04 46326 -1
* 13.07 46254 -1
* 13.12 46196 -1
* 13.13 46083 -1
* 13.43 46078 -1
* 13.45 45815 -1
* 14.1 45750 -1
* 14.12 45725 -1
* 14.19 45644 -1
* 14.2 45613 -1
* 14.25 45539 -1
* 14.89 45538 -1
* 14.94 45531 -1
* 14.95 45477 -1
* 14.96 45456 -1
* 15.18 45438 -1
* 15.28 45350 -1
* 15.54 45335 -1
* 15.56 45294 -1
* 15.93 45273 -1
* 16.57 45140 -1
* 16.61 45129 -1
* 16.66 45106 -1
* 17.19 45007 -1
* 17.94 44609 -1
* 17.99 44373 -1
* 18.02 44338 -1
* 18.4 44325 -1
* 18.45 44296 -1
* 18.63 44291 -1
* 18.76 44260 -1
* 18.8 44240 -1
* 18.81 44180 -1
* 18.85 44167 -1
* 19.23 44121 -1
* 19.23 44088 -1
* 19.24 44070 -1
* 19.24 44067 -1
* 19.31 44020 -1
* 19.32 43947 -1
* 19.37 43822 -1
* 19.41 43679 -1
* 20.95 43626 -1
* 21.12 43489 -1
* 21.15 43408 -1
* 21.21 43360 -1
* 21.26 43187 -1
* 21.27 43148 -1
* 21.27 43128 -1
* 21.32 43123 -1
* 21.35 43090 -1
* 21.39 43083 -1
* 21.58 43013 -1
* 21.64 43011 -1
* 21.64 42998 -1
* 21.69 42996 -1
* 21.87 42900 -1
* 23.9 42886 -1
* 23.91 42826 -1
* 23.94 42703 -1
* 26.47 42684 -1
* 26.49 42602 -1
* 26.51 42474 -1
* 26.53 42469 -1
* 26.53 42440 -1
* 26.55 42413 -1
* 26.66 42370 -1
* 26.67 42326 -1
* 26.68 42308 -1
* 26.69 42295 -1
* 26.98 42271 -1
* 27 42249 -1
* 27.01 42243 -1
* 29.26 42128 -1** 86.84 41928 -1
* 94.27 41897 -1
* 94.28 41820 -1
* 94.31 41808 -1
* 94.61 41717 -* * 798.36 41700 -1
* 798.4 41694 -1
* 799.5 41687 -1
* 799.59 41677 -1
* 799.62 41674 -1
* 800.18 41671 -1
* 800.22 41634 -1
* 800.76 41631 -1
* 800.87 41627 -1
* 801.58 41625 -1
* 801.67 41623 -1
* 802.12 41620 -1
* 802.25 41613 -1
* 802.54 41599 -1
* 803.59 41591 -1
* 803.82 41589 -1
* 805.53 41586 -1
* 806.85 41531 -1
* 806.94 41509 -1
* 807.17 41502 -1
* 807.51 41501 -1
* 809.4 41498 -1
* 812.96 41484 -1
* 821.97 41481 -1
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST TSP SOLUTION: 41481
# NUMBER OF BRANCHES: 30230860
# END TIME: 821.98
## Solution with TDTSP times: 
100
209 0
205 331
202 679
82 1028
69 1324
70 1589
78 1972
206 2192
85 2602
81 2889
75 3239
131 3740
71 4278
183 4704
221 5188
240 5741
226 6051
68 6530
66 6880
241 7367
203 7871
211 8434
235 8832
22 9418
118 9742
25 10051
233 10358
119 10882
216 11278
30 11638
252 11838
220 12172
246 12727
29 13088
196 13471
117 14119
93 14655
238 14984
90 15068
97 15378
105 15657
91 16188
101 16674
98 16997
100 17205
88 17529
99 18007
57 18367
124 18623
36 18902
64 19099
61 19665
230 19783
39 19982
45 20397
19 20681
219 21067
123 21439
127 21870
121 22246
40 22526
34 22723
54 22971
166 23279
37 23614
167 23825
156 24119
163 24370
146 24798
147 25079
181 25569
186 25956
173 26317
182 26704
184 27178
178 27756
180 27954
179 28259
18 28653
113 28893
7 29179
12 29438
114 29632
108 29789
115 30065
4 30555
247 31218
109 31452
239 31994
138 32659
8 33318
250 33710
224 34660
31 36003
86 36158
59 37216
199 38456
35 39406
51 39834
227 40183
