# INSTANCE: InstancesTDTSP/inst_100_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 371469 51154
* 0.02 371388 49323
* 0.02 371247 50384
* 0.04 370780 51191
* 0.11 370778 51084
* 0.15 370656 51801
* 0.18 370423 53680
* 0.2 369643 54401
* 0.24 369622 55122
* 0.31 369054 51830
* 0.34 368971 52379
* 0.41 368869 51229
* 0.46 368750 51990
* 0.59 368509 49913
* 0.63 368400 49781
* 1.05 368136 54496
* 1.23 367531 57506
* 1.24 367493 53953
* 1.36 367379 52831
* 1.48 367282 49489
* 1.55 367225 47791
* 2.04 366896 51220
* 2.05 366863 51165
* 2.16 366563 55225
* 2.34 366201 55176
* 2.38 365852 55576
* 2.39 365713 54779
* 2.49 365681 46800
* 2.56 63089 49426
* 2.57 45389 49708
* 2.58 44820 49673
* 2.6 44799 49673
* 2.63 44757 48343
* 2.65 44727 48343
* 2.68 43797 48276
* 2.73 43719 48276
* 2.74 43475 47772
* 2.75 43241 47781
* 2.76 43090 47781
* 2.78 43079 47781
* 2.81 42588 46749
* 2.83 42518 46710
* 2.89 42443 46800
* 2.91 42434 46468
* 2.93 42413 46692
* 2.98 42411 46702
* 2.98 42267 46251
* 3 42108 46163
* 3.05 41435 45620
* 3.06 41420 45626
* 3.15 41335 45491
* 3.2 41322 45329
* 3.31 41296 45247
* 3.34 40692 44088
* 3.39 40594 43795
* 3.45 40587 43781
* 4.37 40508 43695
* 9.05 40426 43684
* 9.31 40361 43543
* 9.33 40286 43447
* 10.09 40285 43375
* 10.24 40239 43375
* 10.28 40213 43243
* 10.35 40196 43445
* 10.37 40154 43323
* 10.37 40124 43345
* 10.42 40052 43345
* 10.45 40037 43194
* 10.56 39984 43025
* 10.66 39905 42701
* 10.77 39824 42878
* 10.9 39808 42868
* 10.95 39798 42763
* 11.14 39757 42961
* 11.35 39731 42834
* 11.38 39680 42650
* 11.72 39678 42542
* 12.34 39666 42475
* 12.89 39639 42660
* 14.01 39611 42496
* 14.13 39608 42441
* 14.13 39592 42441
* 14.14 39590 42436
* 14.33 39562 42860
* 14.44 39559 42165
* 14.58 39541 42151
* 15.34 39504 42147
* 15.82 39457 42144
* 16.12 39414 43335
* 16.33 39387 43179
* 17.1 39337 43179
* 17.38 39321 43122
* 17.54 39317 41950
* 17.57 39301 42000
* 17.62 39275 41993
* 17.86 39266 42021
* 19.82 39191 42910
* 19.97 39147 42914
* 19.99 39101 42487
* 20.05 39051 42276
* 20.07 39046 42276
* 21.31 39039 42284
* 21.32 39029 42316
* 21.41 39027 42446
* 21.46 39015 42446
* 21.54 38988 42460
* 21.59 38983 42474
* 21.64 38872 42550
* 21.76 38855 42739
* 21.8 38831 42233
* 21.81 38808 41911
* 22.33 38755 41949
* 22.64 38709 39520
* 22.69 38678 39745
* 22.75 38662 39771
* 22.95 38633 39787
* 22.97 38586 40366
* 23.03 38574 39541
* 23.11 38520 39420
* 23.12 38496 39396
* 23.12 38472 39396
* 30.75 37875 39193
* 30.76 37859 39262
* 30.78 37847 39443
* 30.9 37811 39215
* 30.92 37778 39001
* 30.99 37757 39182
* 31.03 37753 39022
* 31.15 37731 39014
* 31.58 37708 39064
* 31.79 37681 39071
* 32 37665 38969
* 32.1 37613 39162
* 32.15 37587 39122
* 32.18 37570 39041
* 32.22 37565 39089
* 32.28 37560 39162
* 32.35 37530 39092
* 33.06 37525 39005
* 33.15 37509 38969
* 33.37 37504 38981
* 35.39 37499 38982
* 35.57 37481 38990
* 36.26 37427 38696
* 36.32 37424 38721
* 36.35 37397 38769
* 36.98 37376 38837
* 37.08 37330 38826
* 37.27 37325 38812
* 37.31 37317 38914
* 39.26 37241 38613
* 39.94 37220 38610
* 114.29 37218 38595
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 37218
# NUMBER OF BRANCHES: 126050008
# END TIME: 7200
## Solution with TDTSP times: 
100
32 0
65 254
40 550
52 891
123 1326
242 1764
243 1904
43 2281
229 2413
127 2667
44 3318
63 3878
209 4875
202 5152
70 5595
86 6485
120 7192
251 7740
216 8169
30 8361
218 8727
252 9128
253 9587
89 10619
105 11050
87 11234
55 11721
92 12156
99 12423
60 12884
64 13263
232 13528
228 13856
35 14324
51 14572
41 14808
199 15252
100 15647
96 16150
101 16375
102 17229
197 17989
196 18315
245 18961
26 19094
201 19545
246 19826
236 19988
244 20252
21 20456
22 20835
211 21181
73 21533
204 21638
241 21854
132 21946
72 22419
206 22618
78 22847
214 23222
168 23491
130 23745
83 24116
75 24383
53 24824
157 24978
167 25492
146 25846
192 26234
145 26488
190 26999
173 27604
11 27979
169 28163
178 28343
176 28473
172 28767
193 28971
194 29556
3 29927
113 30249
14 30717
12 30864
4 31092
1 31374
250 31793
10 32228
5 32372
16 32669
8 33161
9 33411
115 33653
114 33892
2 34005
17 34371
247 34735
111 35369
15 35713
68 36974
226 37570
# BEST TD SOLUTION: 38595
