1;41978;7423.76;
1_10p_ti;41008 *;398.9;
1_20p_ti;41101 *;284.44;
2;37463;7434.6;
2_10p_ti;36750;7449.9;
2_20p_ti;36634 *;449.61;
3;40893;7436.58;
3_10p_ti;39630;7439.59;
3_20p_ti;39211;7493.8;
4;42112;7430.19;
4_10p_ti;41933;7440.22;
4_20p_ti;41741;7481.18;
5;38752;7431.11;
5_10p_ti;37343;7433.58;
5_20p_ti;36268 *;2067.37;
6;40130;7425.3;
6_10p_ti;38541;7445.12;
6_20p_ti;37634;7488.27;
7;43470;7420.02;
7_10p_ti;42871;7434.46;
7_20p_ti;42251 *;672.19;
8;41613;7430.47;
8_10p_ti;41292;7444.82;
8_20p_ti;40889;7490.27;
9;41487;7434.43;
9_10p_ti;39759;7441.9;
9_20p_ti;38374;7485.49;
10;41274;7417.41;
10_10p_ti;41312;7439.82;
10_20p_ti;41081;7484.35;
11;45379;7438.4;
11_10p_ti;45351;7437.24;
11_20p_ti;45254 *;292.54;
12;44438;7409.81;
12_10p_ti;43982 *;856.06;
12_20p_ti;44160 *;288.2;
13;40892;7441.09;
13_10p_ti;39321;7448.17;
13_20p_ti;38901;7496.43;
14;38480;7422.7;
14_10p_ti;37073;7442.29;
14_20p_ti;36681 *;487.66;
15;43309;7424.06;
15_10p_ti;42579;7429.86;
15_20p_ti;42608 *;491.66;
16;43095;7420.8;
16_10p_ti;40741;7442.78;
16_20p_ti;39565;7484.81;
17;43717;7411.96;
17_10p_ti;42416;7440.49;
17_20p_ti;41855;7491.82;
18;41969;7414.11;
18_10p_ti;40561;7447.97;
18_20p_ti;40077;7488.58;
19;43499;7431.28;
19_10p_ti;42533;7450.17;
19_20p_ti;42275;7479.5;
20;40983;7410.09;
20_10p_ti;40953;7415.42;
20_20p_ti;47281;7449.11;
