# INSTANCE: InstancesTDTSP/inst_100_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 371469 54173
* 0.01 371388 53359
* 0.02 371247 53821
* 0.03 370780 53933
* 0.11 370778 53826
* 0.15 370656 78346
* 0.18 370423 76371
* 0.2 369643 84150
* 0.24 369622 83933
* 0.31 369054 81636
* 0.33 368971 82334
* 0.4 368869 81504
* 0.45 368750 81760
* 0.59 368509 79701
* 0.63 368400 79883
* 1.04 368136 84372
* 1.22 367531 87934
* 1.23 367493 84562
* 1.35 367379 82453
* 1.47 367282 80332
* 1.54 367225 77727
* 2.02 366896 81578
* 2.02 366863 81278
* 2.13 366563 83738
* 2.3 366201 84453
* 2.34 365852 85770
* 2.35 365713 84937
* 2.45 365681 76501
* 2.52 63089 79059
* 2.53 45389 79114
* 2.54 44820 78561
* 2.56 44799 78561
* 2.59 44757 78830
* 2.61 44727 78771
* 2.63 43797 77374
* 2.68 43719 77319
* 2.69 43475 76999
* 2.7 43241 79010
* 2.71 43090 79365
* 2.73 43079 78965
* 2.76 42588 78470
* 2.79 42518 78470
* 2.84 42443 78171
* 2.86 42434 46468
* 2.88 42413 46692
* 2.93 42411 46702
* 2.94 42267 46251
* 2.95 42108 46163
* 3 41435 45620
* 3.01 41420 45626
* 3.1 41335 45491
* 3.15 41322 45329
* 3.26 41296 45247
* 3.29 40692 44088
* 3.34 40594 43795
* 3.4 40587 43781
* 4.31 40508 43695
* 8.95 40426 43684
* 9.2 40361 73014
* 9.22 40286 43447
* 9.98 40285 43375
* 10.13 40239 43375
* 10.18 40213 43243
* 10.25 40196 43445
* 10.27 40154 43323
* 10.28 40124 43345
* 10.32 40052 43345
* 10.34 40037 43194
* 10.45 39984 72727
* 10.55 39905 72643
* 10.66 39824 72643
* 10.79 39808 72643
* 10.83 39798 42763
* 11.03 39757 42961
* 11.24 39731 72796
* 11.26 39680 42650
* 11.59 39678 42542
* 12.21 39666 42475
* 12.76 39639 42660
* 13.87 39611 72352
* 13.98 39608 72352
* 13.99 39592 72385
* 14 39590 72385
* 14.18 39562 72368
* 14.29 39559 42165
* 14.42 39541 42151
* 15.18 39504 42147
* 15.65 39457 42144
* 15.95 39414 75804
* 16.16 39387 75873
* 16.92 39337 75873
* 17.2 39321 75873
* 17.36 39317 75873
* 17.39 39301 75873
* 17.44 39275 75873
* 17.67 39266 75873
* 19.61 39191 75468
* 19.76 39147 75468
* 19.77 39101 75144
* 19.83 39051 75144
* 19.85 39046 75144
* 21.08 39039 75159
* 21.09 39029 75370
* 21.18 39027 75370
* 21.23 39015 75566
* 21.31 38988 75781
* 21.36 38983 75781
* 21.41 38872 76069
* 21.53 38855 76055
* 21.57 38831 75626
* 21.58 38808 75805
* 22.09 38755 76040
* 22.4 38709 39520
* 22.45 38678 39745
* 22.51 38662 39771
* 22.71 38633 76756
* 22.73 38586 76468
* 22.79 38574 39541
* 22.87 38520 76088
* 22.87 38496 75702
* 22.87 38472 75564
* 30.41 37875 69748
* 30.41 37859 69732
* 30.43 37847 69732
* 30.56 37811 73456
* 30.57 37778 73456
* 30.64 37757 73456
* 30.68 37753 69732
* 30.8 37731 69732
* 31.22 37708 69760
* 31.43 37681 73449
* 31.64 37665 69760
* 31.74 37613 69760
* 31.79 37587 69760
* 31.81 37570 69760
* 31.86 37565 69760
* 31.92 37560 69760
* 31.98 37530 69760
* 32.68 37525 69760
* 32.78 37509 69760
* 32.99 37504 73449
* 34.99 37499 73450
* 35.17 37481 70331
* 35.85 37427 70331
* 35.91 37424 38721
* 35.94 37397 38769
* 36.57 37376 38837
* 36.66 37330 38826
* 36.86 37325 38812
* 36.89 37317 38914
* 38.82 37241 38613
* 39.5 37220 38610
* 112.94 37218 38595
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 37218
# NUMBER OF BRANCHES: 128636862
# END TIME: 7200
## Solution with TDTSP times: 
100
32 0
65 254
40 550
52 891
123 1326
242 1764
243 1904
43 2281
229 2413
127 2667
44 3318
63 3878
209 4875
202 5152
70 5595
86 6485
120 7192
251 7740
216 8169
30 8361
218 8727
252 9128
253 9587
89 10619
105 11050
87 11234
55 11721
92 12156
99 12423
60 12884
64 13263
232 13528
228 13856
35 14324
51 14572
41 14808
199 15252
100 15647
96 16150
101 16375
102 17229
197 17989
196 18315
245 18961
26 19094
201 19545
246 19826
236 19988
244 20252
21 20456
22 20835
211 21181
73 21533
204 21638
241 21854
132 21946
72 22419
206 22618
78 22847
214 23222
168 23491
130 23745
83 24116
75 24383
53 24824
157 24978
167 25492
146 25846
192 26234
145 26488
190 26999
173 27604
11 27979
169 28163
178 28343
176 28473
172 28767
193 28971
194 29556
3 29927
113 30249
14 30717
12 30864
4 31092
1 31374
250 31793
10 32228
5 32372
16 32669
8 33161
9 33411
115 33653
114 33892
2 34005
17 34371
247 34735
111 35369
15 35713
68 36974
226 37570
# BEST TD SOLUTION: 38595
TION: 38595
