# INSTANCE: InstancesTDTSP/inst_100_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.03 56238 -1
* 0.03 48270 -1
* 0.04 48204 -1
* 0.04 48068 -1
* 0.05 47550 -1
* 0.09 47250 -1
* 0.11 46879 -1
* 0.11 46794 -1
* 0.12 46764 -1
* 0.13 46719 -1
* 0.14 46630 -1
* 0.15 46623 -1
* 0.17 46374 -1
* 0.24 46371 -1
* 0.26 46351 -1
* 0.27 46338 -1
* 0.27 46200 -1
* 0.36 46179 -1
* 0.39 45740 -1
* 0.43 45738 -1
* 0.46 45568 -1
* 0.46 45532 -1
* 0.48 45514 -1
* 0.48 45484 -1
* 0.49 45438 -1
* 0.51 45423 -1
* 0.53 45381 -1
* 0.54 45322 -1
* 0.54 45317 -1
* 0.55 45203 -1
* 0.58 45133 -1
* 0.58 45108 -1
* 0.59 45051 -1
* 0.62 44970 -1
* 0.64 44954 -1
* 0.66 44880 -1
* 0.67 44766 -1
* 0.73 44760 -1
* 0.73 44670 -1
* 0.74 44646 -1
* 0.74 44468 -1
* 0.74 44380 -1
* 0.78 44339 -1
* 0.79 44335 -1
* 0.83 44327 -1
* 0.87 44247 -1
* 0.89 44171 -1
* 0.96 44145 -1
* 0.97 44125 -1
* 1.04 44078 -1
* 1.05 44018 -1
* 9.14 42805 -1
* 9.2 42799 -1
* 9.28 42759 -1
* 9.36 42681 -1
* 9.45 42619 -1
* 9.53 42582 -1
* 9.84 42574 -1
* 9.91 42528 -1
* 10.3 42518 -1
* 10.34 42507 -1
* 10.58 42366 -1
* 13.18 42307 -1
* 13.38 42284 -1
* 14.67 42277 -1
* 15.08 42258 -1
* 15.39 42231 -1
* 17.06 42205 -1
* 17.08 42147 -1
* 17.17 42142 -1
* 17.33 42132 -1
* 17.41 42124 -1
* 17.6 42087 -1
* 17.71 42056 -1
* 18 42033 -1
* 18.12 42028 -1
* 18.27 42020 -1
* 21.18 41965 -1
* 26.1 41961 -1
* 26.13 41932 -1
* 26.14 41909 -1
* 26.58 41855 -1
* 26.61 41847 -1
* 26.67 41777 -1
* 26.68 41761 -1
* 26.73 41706 -1
* 26.83 41672 -1
* 26.85 41553 -1
* 26.92 41530 -1
* 26.92 41450 -1
* 26.92 41416 -1
* 28.53 41392 -1
* 28.87 41380 -1
* 28.87 41205 -1
* 31.57 41158 -1
* 32.09 41149 -1
* 33.65 41140 -1
* 33.81 41093 -1
* 34.34 41056 -1
* 34.4 41047 -1
* 34.56 41038 -1
* 36.65 40980 -1
* 43.48 40872 -1
* 43.53 40843 -1
* 43.56 40825 -1
* 43.6 40817 -1
* 43.73 40808 -1
* 43.74 40781 -1
* 43.81 40744 -1
* 43.83 40730 -1
* 43.92 40708 -1
* 43.93 40703 -1
* 43.97 40691 -1
* 44.06 40665 -1
* 44.08 40607 -1
* 44.19 40601 -1
* 44.2 40498 -1
* 44.21 40491 -1
* 44.27 40482 -1
* 44.31 40472 -1
* 44.31 40463 -1
* 44.32 40451 -1
* 44.4 40396 -1
* 44.42 40370 -1
* 44.54 40342 -1
* 45.2 40333 -1
* 46.68 40282 -1
* 46.95 40274 -1
* 59.64 40268 -1
* 59.67 40254 -1
* 59.89 40250 -1
* 61.65 40242 -1
* 61.66 40216 -1
* 281 40134 -1
* 282.03 40117 -1
* 284.11 40096 -1
* 469.97 40071 -1
* 469.99 40055 -1
* 476.94 39949 -1
* 477.09 39947 -1
* 477.09 39922 -1
* 969.04 39903 -1
* 969.05 39898 -1
* 969.09 39884 -1
* 1077.44 39878 -1
* 1077.44 39875 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39875
# NUMBER OF BRANCHES: 182671130
# END TIME: 7200
## Solution with TDTSP times: 
100
225 0
18 312
113 527
177 950
239 1325
6 1629
108 1855
250 2153
5 2612
112 2788
10 3155
114 3809
2 4134
0 4968
109 5369
111 5843
179 6960
183 7648
67 7911
71 8395
213 8606
168 8843
208 9086
75 9506
81 9854
85 10129
210 10300
69 10677
221 10914
226 11255
209 11798
241 12009
204 12589
129 13112
187 13526
166 13823
32 14155
148 14398
191 14672
47 14954
52 15148
123 15477
45 15612
58 16069
231 16204
61 16274
230 16429
49 16783
140 17046
229 17515
44 17805
86 18215
24 18526
63 18707
53 18907
217 19496
120 19778
220 20070
251 20169
233 20512
25 20707
200 20969
29 21460
246 21770
21 22156
22 22494
30 22764
252 34411
238 34790
57 54840
