# INSTANCE: InstancesTDTSP/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 390864 52789
* 0.02 390719 51021
* 0.03 389806 48983
* 0.03 389745 48983
* 0.12 389243 49803
* 0.18 388892 50748
* 0.23 388843 51651
* 0.3 388569 52825
* 0.35 388454 53424
* 0.54 388175 60199
* 0.54 387739 59637
* 0.55 387736 58232
* 0.56 387689 58782
* 0.56 387376 58268
* 0.56 387158 57766
* 0.57 386621 57955
* 0.58 70777 55992
* 0.58 70106 55564
* 0.6 57630 53395
* 0.61 51052 53659
* 0.64 48749 52461
* 0.66 48554 52391
* 0.68 47554 50992
* 0.71 47433 50965
* 0.73 47392 50573
* 0.75 47210 50573
* 0.76 46784 50372
* 0.77 46750 49889
* 0.78 46668 50333
* 0.78 46573 49386
* 0.79 46563 49386
* 0.85 46403 49386
* 0.87 46387 50294
* 0.88 46322 50241
* 0.9 46294 49386
* 0.9 46227 49386
* 0.91 46225 49386
* 0.91 46091 49386
* 0.92 46066 49386
* 0.92 45990 48745
* 1.02 45067 49442
* 1.05 44884 48602
* 1.05 44803 48602
* 1.06 44742 48588
* 1.07 44590 48602
* 1.07 44581 47631
* 1.08 44570 47631
* 1.09 44158 47631
* 1.11 44077 47631
* 1.12 44066 47631
* 1.13 44029 48291
* 1.14 44021 48291
* 1.15 43927 47631
* 1.18 43890 47631
* 1.2 43882 47631
* 1.21 43872 47631
* 1.21 43829 47631
* 1.22 43746 47897
* 1.23 43666 48201
* 1.27 43659 47433
* 1.27 43276 46800
* 1.29 42873 46800
* 1.29 42826 46800
* 1.3 42817 46713
* 1.36 42799 46712
* 1.37 42789 46651
* 1.37 42773 46657
* 1.38 42740 46651
* 1.41 42623 46651
* 1.43 42611 46651
* 1.44 42569 46651
* 1.46 42476 46651
* 1.47 42434 46651
* 1.48 42373 46651
* 1.48 42324 46651
* 1.52 42239 46540
* 1.52 42185 46540
* 1.56 42140 46421
* 1.57 42107 46417
* 1.6 42050 46149
* 1.64 42011 46149
* 1.73 41846 46149
* 1.75 41840 46149
* 1.8 41798 46149
* 1.84 41716 46149
* 1.93 41681 46149
* 2.05 41646 46149
* 2.09 41636 46149
* 2.11 41632 46149
* 2.11 41566 46149
* 2.12 41562 46149
* 2.14 41532 46149
* 2.14 41520 46149
* 2.15 41446 45966
* 2.16 41279 45407
* 3.01 41175 45331
* 3.02 41063 44518
* 3.08 41051 44518
* 8.3 41047 44348
* 8.34 40986 44034
* 8.37 40968 44034
* 8.44 40871 43765
* 10.65 40821 43651
* 10.65 40683 43651
* 10.66 40663 43566
* 10.68 40654 43244
* 10.71 40614 43244
* 10.78 40568 43244
* 10.81 40560 43244
* 10.92 40518 43080
* 11.01 40461 43381
* 11.08 40406 43114
* 11.09 40397 42433
* 11.09 40377 42428
* 11.1 40307 42197
* 11.1 40306 42197
* 11.28 40264 42877
* 11.57 40207 42878
* 11.76 40200 42878
* 11.76 40195 42878
* 16.5 40183 41831
* 16.52 40091 41831
* 16.53 40082 41831
* 16.74 40039 41583
* 16.8 39992 41348
* 16.9 39942 41256
* 17.02 39935 41486
* 17.02 39916 41486
* 17.56 39897 41512
* 17.94 39896 41436
* 17.95 39871 41429
* 18.51 39570 41256
* 18.51 39532 41256
* 18.52 39519 41256
* 18.53 39515 41256
* 18.53 39506 41256
* 18.66 39475 41256
* 18.69 39470 41256
* 19.99 39462 41256
* 20.6 39429 41076
* 5381.39 39426 40760
* 5381.41 39413 40762
* 5382.46 39406 40762
* 5384.2 39389 40762
* 5384.66 39361 40762
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 39361
# NUMBER OF BRANCHES: 165233227
# END TIME: 7200
## Solution with TDTSP times: 
100
172 0
180 305
176 682
181 1129
195 1565
212 1920
208 2317
131 2623
80 2879
79 3188
74 3557
85 3910
210 4238
70 4897
128 5257
54 6043
53 6180
157 6376
149 6769
187 6929
155 7296
189 7686
162 8276
163 8902
142 9150
141 9393
152 9911
151 10197
46 10760
43 11155
49 11573
231 11868
127 12075
40 12572
47 12901
126 13256
121 13392
65 13694
34 14018
206 14523
202 14926
209 15060
211 15447
235 15619
129 15925
24 16376
254 16773
116 17004
120 17206
45 17710
123 17917
23 18161
124 18484
36 18826
125 19155
232 19349
248 19705
59 20123
62 20432
48 20709
57 21023
97 21526
105 21840
133 22396
88 22759
41 23385
227 23531
35 23799
50 24183
96 24846
20 25788
29 26067
28 26330
218 26485
253 26731
251 27078
25 27512
244 27683
237 27860
246 28207
201 28641
197 29431
102 29992
90 30284
56 30937
76 31798
207 32343
66 33017
224 33811
18 34607
14 35044
114 35279
12 35501
108 35825
5 36444
2 36889
1 37176
107 37653
17 38430
247 38983
# BEST TD SOLUTION: 40762
