# INSTANCE: InstancesTDTSP/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 409752 52306
* 0.02 409623 52168
* 0.03 409453 52276
* 0.04 409401 51961
* 0.04 409318 52116
* 0.06 409271 52170
* 0.11 409187 52103
* 0.13 409176 52147
* 0.14 409094 51924
* 0.14 409018 51874
* 0.66 408625 52356
* 1.14 408336 54627
* 1.17 408005 55474
* 1.19 407726 55159
* 1.2 407438 54813
* 1.23 407231 55426
* 1.24 406934 55210
* 1.27 406687 55561
* 1.28 406360 56397
* 1.3 406174 56217
* 1.33 405709 56264
* 1.34 404971 54263
* 1.35 57341 55311
* 1.36 56283 53274
* 1.37 50336 54322
* 1.37 49355 52327
* 1.43 49334 53426
* 1.44 48564 52317
* 1.47 48523 52317
* 1.47 48454 52317
* 1.47 47868 52221
* 1.48 47364 51864
* 1.54 47345 51855
* 1.56 47318 51820
* 1.56 47281 50574
* 1.56 47259 50574
* 1.59 47085 50574
* 1.59 46845 50574
* 1.6 46601 50644
* 1.61 46521 50644
* 1.63 46159 50644
* 1.65 46132 50650
* 1.65 46128 50600
* 1.67 46122 50600
* 1.71 46105 50600
* 1.74 46094 50600
* 1.75 46001 50600
* 1.76 45993 50600
* 1.79 45853 50600
* 1.8 45847 50600
* 1.85 45836 50600
* 1.86 45814 50582
* 1.88 45786 50548
* 1.89 45719 49798
* 1.9 45698 49798
* 1.93 45641 50137
* 1.96 45529 50137
* 1.98 45452 49676
* 1.98 45404 49676
* 2.07 45328 49676
* 2.11 45272 49635
* 2.23 45216 49550
* 2.33 45163 49405
* 2.34 45120 49405
* 2.39 45117 49405
* 2.39 45095 49405
* 3.31 44992 49405
* 3.31 44946 49565
* 3.33 44900 49565
* 3.33 44883 49465
* 3.34 44806 48532
* 3.34 44693 49133
* 3.34 44623 49133
* 3.35 44609 49133
* 3.36 44582 49133
* 3.38 44563 49133
* 3.46 44514 49133
* 3.56 44419 48523
* 3.56 44145 48450
* 3.63 44140 48450
* 3.64 44118 48374
* 3.64 43754 47648
* 3.66 43602 47648
* 3.67 43533 47648
* 3.73 43523 47648
* 3.75 43520 47648
* 3.75 43507 47648
* 8.31 43272 47491
* 8.68 43266 47491
* 8.78 43200 46800
* 8.79 43119 46800
* 8.84 43081 46800
* 8.86 43076 46800
* 8.86 43000 46800
* 8.93 42957 46800
* 8.97 42910 46788
* 9.07 42824 46553
* 9.26 42815 46553
* 9.26 42717 46553
* 9.27 42678 46553
* 9.32 42636 46553
* 9.59 42632 46553
* 9.66 42606 46553
* 10.02 42515 46499
* 10.03 42471 46499
* 10.03 42366 46447
* 10.04 42274 46221
* 10.07 42245 46205
* 10.08 41778 45412
* 10.11 41694 45412
* 10.32 41499 44843
* 10.72 41351 45300
* 10.73 41309 45412
* 10.92 41278 45441
* 10.94 41158 45412
* 11.08 41040 45333
* 11.09 41031 45145
* 11.49 41012 45016
* 11.55 41003 44978
* 11.58 40890 44639
* 11.74 40857 44675
* 11.74 40803 44675
* 11.74 40785 44671
* 11.83 40768 44646
* 11.88 40733 44085
* 12.07 40720 44087
* 12.16 40715 44095
* 12.4 40656 44095
* 13.16 40654 44037
* 13.32 40623 43812
* 14.03 40619 43798
* 19.34 40618 43724
* 21.76 40572 43271
* 21.88 40562 43162
* 21.89 40476 43162
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST TSP SOLUTION: 40476
# NUMBER OF BRANCHES: 486382
# END TIME: 21.89
## Solution with TDTSP times: 
100
231 0
230 267
140 513
126 943
121 1266
32 1501
158 1865
151 2342
141 2756
163 3064
165 3702
164 4171
162 4648
208 5569
83 5874
75 6257
81 6554
74 6858
214 7173
77 7369
213 7563
168 7739
183 8124
169 8762
178 9085
172 9385
171 9790
186 10372
173 10707
195 11042
181 11603
185 12160
180 12656
193 12957
212 13437
210 13872
84 14096
78 14461
72 14715
204 14982
73 15243
203 15720
132 16169
237 16660
21 16928
236 17017
233 17287
25 17464
26 17900
215 18327
119 18730
253 19115
252 19462
118 19916
27 20313
22 20662
254 21100
52 21240
46 21519
43 21858
123 22194
45 22311
19 22546
124 22809
60 23138
36 23404
64 23607
135 23865
58 24215
167 24552
159 25009
62 25458
92 25933
99 26181
134 26682
105 26796
88 27089
103 27396
227 27684
35 27985
55 28650
219 29129
23 29331
207 30491
223 31747
115 32648
16 32844
10 33178
14 33765
12 34092
6 34273
4 34463
1 34769
113 35438
194 35766
111 36560
0 37007
136 38077
201 40123
102 41571
# BEST TD SOLUTION: 43162
