# INSTANCE: InstancesTDTSP/inst_100_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 394269 83261
* 0.02 393723 82683
* 0.02 393690 82656
* 0.03 393477 81566
* 0.04 393422 82032
* 0.08 393301 81790
* 0.1 393158 81317
* 0.11 393041 81232
* 0.26 392797 81018
* 0.26 392398 80403
* 0.27 392050 81899
* 0.27 391700 81703
* 0.28 391364 80809
* 0.32 391059 77815
* 0.38 390720 82906
* 0.39 390687 84616
* 0.4 389842 83578
* 0.41 70149 75067
* 0.41 69508 78893
* 0.41 57690 81627
* 0.42 57204 81440
* 0.43 51581 80719
* 0.45 45180 79121
* 0.47 45103 79050
* 0.48 45085 79021
* 0.5 44992 79353
* 0.51 44868 79768
* 0.59 44734 79742
* 0.59 44719 79742
* 0.61 44519 80672
* 0.62 44507 80672
* 0.67 44430 80639
* 0.68 44383 80639
* 0.73 44382 80639
* 1.64 44346 80639
* 1.66 44313 80639
* 1.68 44292 80639
* 1.71 44272 80493
* 9.07 44181 80467
* 9.09 44179 80467
* 9.09 44104 80467
* 9.09 44062 80467
* 9.13 44003 80467
* 9.25 43910 80096
* 9.28 43830 80041
* 9.36 43771 80041
* 9.46 43723 80238
* 9.47 43678 80092
* 9.49 43635 80073
* 9.53 43634 80073
* 9.53 43347 79352
* 9.54 43122 79209
* 9.55 43078 79212
* 9.57 43012 79212
* 9.62 42982 79212
* 9.62 42835 79053
* 9.63 42784 79053
* 9.71 42750 79053
* 9.76 42685 78907
* 10.27 42594 78907
* 10.97 42589 78907
* 11 42535 78907
* 11.03 42533 78907
* 11.39 42468 78907
* 12.08 42421 78907
* 12.51 42394 78635
* 12.85 42366 78635
* 12.96 42350 78635
* 14.04 42285 78641
* 14.1 42257 78641
* 14.44 42162 78641
* 14.67 42143 78385
* 15.36 42131 78385
* 15.94 42122 78387
* 16.42 42081 78387
* 17.05 42034 78379
* 17.07 42000 78379
* 17.1 41968 78335
* 17.1 41948 78323
* 17.72 41943 78394
* 17.81 41938 78394
* 19.78 41890 78377
* 19.81 41877 78377
* 20.75 41850 78377
* 20.87 41831 78377
* 58.95 41774 78309
* 58.99 41556 78072
* 58.99 41505 78072
* 59.06 41465 78072
* 59.08 41462 78072
* 59.12 41450 78001
* 59.15 41440 78001
* 59.41 41428 78072
* 65.59 41426 78072
* 83.87 41415 78072
* 91.39 41327 78052
* 91.43 41223 77978
* 92.32 41220 77978
* 92.99 41161 77978
* 96.53 41065 77978
* 98.3 41064 44730
* 98.66 41048 44468
* 111.2 41010 77583
* 111.24 40929 77841
* 111.27 40905 77841
* 112.41 40898 77736
* 126.53 40868 77736
* 126.6 40866 77736
* 126.61 40761 77346
* 126.62 40725 77346
* 126.67 40720 77346
* 126.69 40718 77458
* 126.7 40708 77265
* 126.7 40681 77265
* 126.71 40645 77265
* 126.8 40637 77265
* 126.84 40602 77265
* 126.85 40590 77265
* 127.16 40540 77265
* 127.26 40521 77265
* 127.31 40490 77265
* 127.45 40470 77265
* 127.99 40465 77265
* 128.04 40463 77265
* 128.14 40462 77265
* 128.15 40412 77265
* 132.25 40345 77118
* 132.27 40340 77118
* 132.28 40299 77118
* 132.34 40283 76863
* 132.36 40266 76863
* 132.37 40259 77130
* 132.38 40256 77133
* 132.4 40238 77133
* 132.53 40236 77133
* 132.57 40235 77133
* 132.6 40219 77133
* 132.64 40205 77133
* 132.71 40203 77133
* 132.96 40200 77133
* 133.14 40199 77133
* 133.15 40198 77133
* 133.21 40158 77133
* 133.35 40103 77133
* 133.93 40069 76906
* 134.27 40059 77016
* 134.53 40027 77089
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40027
# NUMBER OF BRANCHES: 191254441
# END TIME: 7200
## Solution with TDTSP times: 
100
108 0
9 249
250 618
16 1019
112 1250
7 1596
13 1876
3 2137
114 2667
239 3291
4 3766
109 5078
17 6017
136 7084
139 7740
132 8950
241 9254
225 10193
193 10919
175 11491
84 11997
78 12459
206 21004
76 21217
203 38161
69 38808
70 39066
79 39555
210 39942
77 40316
170 41983
208 42292
83 42631
158 43376
189 43655
155 44066
191 44688
32 44965
151 45336
153 45578
161 45908
162 46251
146 46572
163 46800
160 46930
37 47252
38 47523
127 47648
58 48084
231 48300
243 48474
49 48677
140 48866
121 49188
46 49371
34 49873
54 50087
157 50437
27 50892
217 51278
220 51718
251 51941
25 56186
237 56494
236 56836
246 57066
196 57619
29 58245
245 58524
26 58763
253 59173
45 59722
123 59918
99 60286
134 60699
234 61059
135 61367
48 61732
59 62245
248 62642
227 63124
50 67902
199 68383
95 68867
101 69370
96 69702
89 70189
102 70628
20 71117
201 71591
209 72259
73 72594
129 73013
171 73605
11 73936
182 74238
181 74654
67 75141
226 75603
224 76302
# BEST TD SOLUTION: 77089
