ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,FlowShopBuffers,taillard_b0/ta002b0.dat,1,0,,,,1451,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta003b0.dat,1,0,,,,1353,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta015b0.dat,1,0,,,,1678,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta020b0.dat,1,0,,,,1806,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta037b0.dat,1,0,,,,3166,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta039b0.dat,1,0,,,,3045,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta021b0.dat,1,0,,,,2512,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta026b0.dat,1,0,,,,2414,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta043b0.dat,1,0,,,,3658,,,
BESTSOFAR,FlowShopBuffers,taillard_b0/ta049b0.dat,1,0,,,,3771,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta001b1.dat,1,0,,,,1287,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta010b1.dat,1,0,,,,1134,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta013b1.dat,1,0,,,,1565,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta018b1.dat,1,0,,,,1582,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta034b1.dat,1,0,,,,2888,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta038b1.dat,1,0,,,,2769,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta021b1.dat,1,0,,,,2428,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta029b1.dat,1,0,,,,2310,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta067b1.dat,1,0,,,,5526,,,
BESTSOFAR,FlowShopBuffers,taillard_b1/ta068b1.dat,1,0,,,,5393,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta007b2.dat,1,0,,,,1251,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta010b2.dat,1,0,,,,1115,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta017b2.dat,1,0,,,,1521,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta020b2.dat,1,0,,,,1642,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta034b2.dat,1,0,,,,2764,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta038b2.dat,1,0,,,,2697,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta024b2.dat,1,0,,,,2242,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta028b2.dat,1,0,,,,2249,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta047b2.dat,1,0,,,,3234,,,
BESTSOFAR,FlowShopBuffers,taillard_b2/ta044b2.dat,1,0,,,,3129,,,
