10	10
0	88103	1	74581	2	43593	3	1399	4	47299	5	13732	6	47896	7	18894	8	32919	9	100512	
0	8311	1	54331	2	91911	3	33925	4	7820	7	15054	6	43449	5	32659	9	101826	8	88317	
2	1198	1	70870	0	151932	4	60915	3	22026	5	56024	6	76521	7	120633	8	126652	9	15397	
2	24804	1	40021	0	36323	4	131548	3	71008	7	101992	6	18631	5	68852	9	18530	8	46641	
1	51409	0	53253	4	69985	3	33195	2	38906	6	43196	5	7785	9	143623	8	41074	7	32679	
1	8510	0	38664	4	61191	3	65124	2	146746	6	56520	5	144297	9	36054	8	16722	7	105073	
1	18056	2	46629	4	7435	0	50745	3	69589	6	43139	7	58497	9	58243	5	27204	8	59103	
1	38975	2	81769	4	47117	0	14235	3	11486	5	115819	7	24573	8	54835	9	16710	6	105551	
0	18959	2	90254	3	82072	4	16414	1	65214	6	105174	7	7247	9	91940	5	24106	8	14684	
0	34840	2	17476	3	148198	4	117434	1	32604	5	14311	7	116413	8	136536	9	24905	6	75452	
