tour,start,end,startPos,endPos
1,217,254,0,2
1,268,298,2,9
1,305,349,9,2
1,363,393,2,9
1,400,444,9,2
1,458,478,2,0
2,332,386,0,6
2,402,446,6,4
2,468,512,4,4
2,531,575,4,4
2,594,638,4,4
2,657,701,4,4
2,720,764,4,4
2,783,827,4,4
2,846,890,4,4
2,909,953,4,4
2,957,999,4,6
2,1027,1069,6,6
2,1097,1139,6,6
2,1167,1209,6,6
2,1237,1294,6,0
3,350,392,0,8
3,427,463,8,3
3,495,529,3,0
4,352,374,0,5
4,404,437,5,5
4,461,486,5,5
4,516,549,5,5
4,573,598,5,5
4,628,661,5,5
4,685,710,5,5
4,740,773,5,5
4,797,822,5,5
4,852,885,5,5
4,890,915,5,5
4,945,978,5,5
4,983,1008,5,5
4,1038,1060,5,5
4,1094,1119,5,5
4,1130,1152,5,5
4,1186,1211,5,5
4,1222,1244,5,5
4,1278,1303,5,5
4,1314,1349,5,0
5,363,403,0,6
5,436,481,6,7
5,493,520,7,4
5,547,597,4,6
5,630,671,6,5
5,685,712,5,4
5,739,789,4,6
5,822,863,6,5
5,877,904,5,4
5,931,981,4,6
5,1014,1055,6,5
5,1069,1096,5,4
5,1123,1173,4,6
5,1206,1264,6,0
6,373,413,0,7
6,433,467,7,0
7,407,449,0,9
7,478,526,9,4
7,552,583,4,9
7,612,660,9,4
7,686,736,4,5
7,757,805,5,4
7,831,881,4,5
7,902,950,5,4
7,976,1026,4,5
7,1047,1095,5,4
7,1121,1171,4,5
7,1192,1238,5,0
8,1024,1055,0,1
8,1072,1132,1,6
8,1137,1171,6,4
8,1184,1204,4,0
