tour,start,end,startPos,endPos
1,202,256,0,8
1,260,289,8,6
1,302,349,6,4
1,352,399,4,8
1,403,432,8,6
1,445,500,6,0
2,203,253,0,2
2,286,320,2,1
2,334,363,1,2
2,396,430,2,1
2,444,473,1,2
2,506,540,2,1
2,554,583,1,2
2,616,650,2,1
2,664,694,1,7
2,711,745,7,1
2,759,789,1,7
2,806,840,7,1
2,854,884,1,9
2,912,946,9,1
2,960,990,1,9
2,1018,1052,9,1
2,1066,1096,1,9
2,1124,1158,9,1
2,1172,1192,1,0
3,217,265,0,4
3,273,313,4,7
3,332,387,7,9
3,419,445,9,4
3,453,493,4,7
3,512,542,7,8
3,550,576,8,4
3,610,650,4,7
3,677,707,7,8
3,715,741,8,4
3,775,815,4,7
3,830,860,7,8
3,868,894,8,4
3,928,968,4,7
3,983,1013,7,8
3,1021,1047,8,4
3,1081,1121,4,7
3,1138,1158,7,0
4,261,314,0,2
4,344,396,2,2
4,426,478,2,2
4,508,560,2,2
4,590,642,2,2
4,672,724,2,2
4,754,806,2,2
4,836,888,2,2
4,918,970,2,2
4,1000,1052,2,2
4,1082,1134,2,2
4,1164,1203,2,6
4,1221,1260,6,6
4,1278,1317,6,6
4,1335,1374,6,6
4,1392,1431,6,6
4,1449,1496,6,0
5,317,357,0,8
5,376,415,8,3
5,426,473,3,8
5,492,535,8,0
6,319,352,0,7
6,357,416,7,6
6,428,452,6,7
6,471,530,7,6
6,542,566,6,7
6,585,644,7,6
6,656,680,6,7
6,699,758,7,6
6,770,794,6,7
6,806,865,7,6
6,877,901,6,7
6,913,972,7,6
6,995,1018,6,5
6,1036,1095,5,6
6,1118,1141,6,5
6,1159,1218,5,6
6,1241,1264,6,5
6,1282,1319,5,0
7,324,367,0,4
7,396,439,4,7
7,449,495,7,4
7,511,554,4,7
7,564,610,7,4
7,626,669,4,7
7,679,725,7,4
7,744,795,4,9
7,817,863,9,4
7,882,933,4,9
7,950,996,9,4
7,1015,1066,4,9
7,1083,1129,9,4
7,1148,1199,4,9
7,1216,1252,9,0
8,326,372,0,9
8,397,452,9,9
8,482,502,9,0
9,329,364,0,4
9,372,424,4,7
9,454,490,7,3
9,520,577,3,4
9,585,637,4,7
9,667,703,7,3
9,733,790,3,4
9,798,850,4,7
9,880,916,7,3
9,946,1003,3,4
9,1011,1063,4,7
9,1093,1129,7,3
9,1159,1216,3,4
9,1224,1276,4,7
9,1306,1342,7,3
9,1372,1421,3,0
10,330,363,0,3
10,367,422,3,3
10,435,465,3,8
10,468,527,8,3
10,531,586,3,3
10,599,629,3,8
10,632,677,8,6
10,694,749,6,3
10,779,833,3,6
10,860,905,6,6
10,922,981,6,6
10,1013,1067,6,6
10,1094,1139,6,6
10,1156,1206,6,0
11,340,368,0,4
11,392,413,4,9
11,419,469,9,0
12,343,382,0,7
12,414,455,7,7
12,483,512,7,7
12,544,585,7,7
12,613,642,7,7
12,674,727,7,6
12,750,779,6,7
12,811,864,7,6
12,887,916,6,7
12,948,1001,7,6
12,1024,1053,6,7
12,1085,1138,7,6
12,1161,1190,6,7
12,1222,1252,7,0
13,343,375,0,7
13,386,436,7,7
13,447,497,7,7
13,508,558,7,7
13,578,630,7,6
13,644,696,6,6
13,712,764,6,6
13,780,832,6,6
13,848,900,6,6
13,916,968,6,6
13,984,1036,6,6
13,1052,1104,6,6
13,1120,1172,6,6
13,1188,1240,6,6
13,1256,1308,6,6
13,1311,1363,6,0
