tour,start,end,startPos,endPos
1,206,234,0,1
1,248,275,1,7
1,283,338,7,3
1,372,411,3,6
1,420,475,6,3
1,509,548,3,6
1,557,612,6,3
1,646,685,3,6
1,694,743,6,2
1,770,799,2,4
1,823,872,4,2
1,899,928,2,4
1,952,1001,4,2
1,1018,1047,2,4
1,1071,1120,4,2
1,1138,1187,2,8
1,1194,1243,8,2
1,1261,1310,2,8
1,1317,1358,8,0
2,225,255,0,9
2,270,304,9,9
2,319,353,9,9
2,368,402,9,9
2,417,451,9,9
2,466,500,9,9
2,515,549,9,9
2,564,598,9,9
2,613,647,9,9
2,662,696,9,9
2,731,765,9,9
2,800,834,9,9
2,869,903,9,9
2,936,970,9,9
2,1003,1037,9,9
2,1070,1109,9,9
2,1116,1155,9,9
2,1162,1201,9,9
2,1208,1247,9,9
2,1254,1293,9,9
2,1300,1339,9,9
2,1346,1385,9,9
2,1392,1425,9,0
3,277,315,0,6
3,328,357,6,9
3,384,441,9,0
4,316,336,0,2
4,354,405,2,8
4,416,447,8,0
5,319,345,0,6
5,355,413,6,3
5,430,462,3,9
5,486,526,9,0
6,319,363,0,4
6,369,408,4,4
6,423,466,4,4
6,472,511,4,4
6,526,569,4,4
6,575,614,4,4
6,629,672,4,4
6,678,717,4,4
6,732,775,4,4
6,781,820,4,4
6,835,891,4,4
6,906,945,4,4
6,960,1016,4,4
6,1031,1070,4,4
6,1085,1141,4,4
6,1156,1195,4,4
6,1212,1268,4,4
6,1283,1303,4,0
7,320,354,0,3
7,370,399,3,9
7,434,481,9,3
7,497,526,3,9
7,561,608,9,3
7,624,653,3,9
7,688,735,9,3
7,751,780,3,9
7,815,862,9,3
7,873,902,3,9
7,918,965,9,3
7,976,1005,3,9
7,1021,1068,9,3
7,1079,1108,3,9
7,1126,1173,9,3
7,1184,1213,3,9
7,1231,1278,9,3
7,1289,1313,3,0
8,323,361,0,8
8,387,445,8,8
8,471,497,8,0
9,326,376,0,7
9,379,408,7,7
9,411,440,7,7
9,443,472,7,7
9,475,505,7,0
10,330,361,0,2
10,382,423,2,0
11,336,393,0,5
11,412,472,5,0
12,342,398,0,4
12,423,478,4,1
12,496,525,1,3
12,542,571,3,4
12,580,635,4,1
12,653,682,1,3
12,699,743,3,7
12,753,808,7,1
12,826,886,1,9
12,909,953,9,7
12,963,1018,7,1
12,1036,1096,1,9
12,1119,1163,9,7
12,1173,1193,7,0
13,345,379,0,7
13,394,446,7,7
13,461,481,7,0
14,348,386,0,3
14,401,446,3,3
14,449,477,3,1
14,488,533,1,3
14,536,564,3,1
14,575,620,1,3
14,639,667,3,1
14,678,723,1,3
14,742,770,3,1
14,781,826,1,3
14,845,900,3,7
14,912,957,7,3
14,976,1031,3,7
14,1043,1088,7,3
14,1107,1162,3,7
14,1174,1219,7,3
14,1238,1266,3,1
14,1287,1321,1,0
15,356,414,0,6
15,422,468,6,5
15,481,515,5,6
15,523,569,6,5
15,582,616,5,6
15,624,670,6,5
15,683,717,5,6
15,725,768,6,5
15,787,821,5,6
15,829,872,6,5
15,905,939,5,6
15,947,990,6,5
15,1023,1057,5,6
15,1065,1108,6,5
15,1141,1166,5,4
15,1183,1237,4,0
16,358,406,0,5
16,414,470,5,5
16,478,534,5,5
16,542,598,5,5
16,606,662,5,5
16,670,726,5,5
16,734,790,5,5
16,800,856,5,5
16,866,892,5,8
16,910,936,8,8
16,954,980,8,8
16,998,1024,8,8
16,1042,1068,8,8
16,1086,1112,8,8
16,1130,1156,8,8
16,1174,1200,8,8
16,1218,1244,8,8
16,1262,1292,8,0
17,359,417,0,7
17,444,495,7,9
17,523,572,9,1
17,586,637,1,9
17,665,714,9,1
17,728,779,1,9
17,807,848,9,7
17,855,906,7,9
17,934,975,9,7
17,1007,1058,7,9
17,1086,1127,9,7
17,1159,1210,7,9
17,1238,1279,9,0
18,363,406,0,1
18,414,469,1,0
19,363,401,0,7
19,414,461,7,7
19,474,521,7,7
19,534,581,7,7
19,594,624,7,3
19,629,659,3,3
19,664,694,3,3
19,699,729,3,3
19,734,764,3,3
19,769,799,3,3
19,804,834,3,3
19,839,870,3,1
19,903,934,1,1
19,967,998,1,1
19,1031,1062,1,1
19,1095,1135,1,6
19,1154,1194,6,6
19,1213,1256,6,0
20,364,389,0,6
20,399,455,6,9
20,474,530,9,9
20,547,583,9,1
20,596,632,1,1
20,645,681,1,1
20,694,730,1,1
20,743,779,1,1
20,792,828,1,1
20,841,877,1,1
20,890,926,1,1
20,936,972,1,1
20,982,1020,1,7
20,1055,1093,7,7
20,1128,1166,7,7
20,1201,1239,7,7
20,1274,1307,7,0
21,366,397,0,7
21,418,463,7,8
21,467,507,8,0
22,368,418,0,7
22,441,464,7,3
22,474,518,3,9
22,546,598,9,1
22,632,655,1,3
22,665,709,3,9
22,737,789,9,1
22,823,846,1,3
22,856,900,3,9
22,928,980,9,1
22,1014,1037,1,3
22,1047,1091,3,9
22,1119,1173,9,6
22,1179,1202,6,3
22,1212,1256,3,9
22,1284,1314,9,3
22,1318,1345,3,0
23,368,404,0,4
23,425,445,4,0
24,370,425,0,4
24,447,478,4,5
24,507,558,5,4
24,580,611,4,5
24,640,691,5,4
24,713,744,4,5
24,773,793,5,0
25,375,409,0,2
25,424,476,2,4
25,506,542,4,2
25,557,586,2,4
25,616,652,4,2
25,667,696,2,4
25,726,762,4,2
25,777,806,2,4
25,836,872,4,2
25,887,928,2,2
25,938,974,2,2
25,979,1020,2,2
25,1030,1089,2,3
25,1120,1169,3,0
26,375,399,0,2
26,432,480,2,2
26,513,561,2,2
26,594,642,2,2
26,675,723,2,2
26,756,804,2,2
26,837,885,2,2
26,918,966,2,2
26,981,1029,2,2
26,1044,1092,2,2
26,1124,1172,2,2
26,1204,1258,2,0
27,376,428,0,1
27,441,486,1,4
27,518,562,4,1
27,575,620,1,4
27,652,696,4,1
27,709,754,1,4
27,786,830,4,1
27,843,888,1,4
27,920,964,4,1
27,977,1022,1,4
27,1054,1098,4,1
