tour,start,end,startPos,endPos
1,202,250,0,4
1,276,318,4,4
1,352,394,4,4
1,428,470,4,4
1,504,546,4,4
1,580,622,4,4
1,656,689,4,9
1,723,756,9,9
1,790,843,9,6
1,868,921,6,6
1,946,999,6,6
1,1024,1077,6,6
1,1102,1155,6,6
1,1180,1233,6,6
1,1258,1313,6,0
2,267,304,0,6
2,319,354,6,3
2,386,411,3,5
2,423,473,5,6
2,488,512,6,0
3,272,313,0,6
3,346,398,6,6
3,408,455,6,7
3,464,514,7,6
3,547,599,6,6
3,609,656,6,7
3,665,715,7,6
3,748,800,6,6
3,810,857,6,7
3,866,916,7,6
3,949,1001,6,6
3,1006,1053,6,7
3,1062,1112,7,6
3,1145,1197,6,6
3,1208,1265,6,0
4,275,326,0,5
4,343,394,5,9
4,424,446,9,4
4,473,495,4,5
4,512,563,5,9
4,593,615,9,4
4,642,664,4,5
4,689,740,5,9
4,770,792,9,4
4,795,817,4,5
4,842,865,5,0
5,280,300,0,2
5,319,377,2,5
5,398,454,5,7
5,489,531,7,2
5,550,593,2,8
5,618,674,8,7
5,709,751,7,2
5,770,813,2,8
5,838,894,8,7
5,929,971,7,2
5,990,1044,2,5
5,1071,1127,5,7
5,1150,1192,7,2
5,1211,1264,2,0
6,287,320,0,6
6,325,350,6,5
6,360,387,5,1
6,403,456,1,6
6,461,505,6,0
7,288,333,0,9
7,368,394,9,9
7,428,476,9,0
8,302,359,0,2
8,383,432,2,5
8,438,490,5,0
9,308,331,0,8
9,357,394,8,7
9,399,436,7,8
9,462,499,8,7
9,511,548,7,8
9,574,611,8,7
9,623,660,7,8
9,686,723,8,7
9,735,772,7,8
9,798,835,8,7
9,847,884,7,8
9,910,947,8,7
9,959,1008,7,7
9,1011,1048,7,7
9,1052,1101,7,7
9,1104,1157,7,6
9,1164,1213,6,7
9,1216,1269,7,6
9,1276,1309,6,0
10,314,357,0,6
10,363,412,6,8
10,423,447,8,6
10,470,490,6,0
11,319,359,0,1
11,389,444,1,1
11,474,494,1,0
12,319,357,0,6
12,375,416,6,8
12,428,448,8,0
13,323,376,0,8
13,408,440,8,9
13,460,502,9,5
13,533,582,5,8
13,614,668,8,7
13,675,717,7,5
13,748,797,5,8
13,829,883,8,7
13,890,932,7,5
13,963,1012,5,8
13,1044,1098,8,7
13,1105,1147,7,5
13,1178,1227,5,8
13,1259,1295,8,0
14,325,353,0,1
14,372,411,1,1
14,439,461,1,3
14,468,514,3,1
14,533,572,1,1
14,600,622,1,3
14,629,675,3,1
14,694,733,1,1
14,746,768,1,3
14,775,821,3,1
14,840,879,1,1
14,892,914,1,3
14,921,950,3,1
14,974,1013,1,1
14,1039,1061,1,3
14,1068,1097,3,1
14,1121,1160,1,1
14,1186,1208,1,3
14,1215,1244,3,1
14,1268,1307,1,1
14,1333,1358,1,0
15,326,367,0,8
15,370,396,8,8
15,422,457,8,2
15,478,534,2,8
15,537,563,8,8
15,589,624,8,2
15,645,701,2,8
15,704,730,8,8
15,756,802,8,3
15,807,863,3,8
15,866,892,8,8
15,918,948,8,4
15,977,1033,4,8
15,1036,1062,8,8
15,1088,1118,8,4
15,1147,1203,4,8
15,1206,1232,8,8
15,1258,1290,8,0
16,326,374,0,2
16,385,442,2,0
17,328,349,0,6
17,360,404,6,6
17,414,438,6,8
17,466,514,8,6
17,525,569,6,6
17,579,603,6,8
17,631,679,8,6
17,690,734,6,6
17,744,768,6,8
17,796,850,8,6
17,853,897,6,6
17,907,931,6,8
17,959,1013,8,6
17,1016,1060,6,6
17,1070,1094,6,8
17,1122,1176,8,6
17,1179,1223,6,6
17,1233,1257,6,8
17,1285,1339,8,6
17,1342,1386,6,6
17,1403,1423,6,0
18,328,365,0,8
18,381,428,8,8
18,444,491,8,8
18,507,554,8,8
18,564,611,8,8
18,621,668,8,8
18,678,725,8,8
18,735,782,8,8
18,792,839,8,8
18,849,896,8,8
18,906,953,8,8
18,963,1010,8,8
18,1020,1067,8,8
18,1102,1149,8,8
18,1184,1230,8,0
19,330,354,0,6
19,372,408,6,9
19,441,494,9,4
19,528,564,4,9
19,597,650,9,4
19,684,704,4,7
19,731,784,7,4
19,818,838,4,7
19,865,918,7,4
19,952,972,4,7
19,999,1052,7,4
19,1086,1106,4,7
19,1133,1186,7,4
19,1220,1249,4,1
19,1275,1329,1,4
19,1335,1364,4,1
19,1390,1412,1,0
20,330,352,0,9
20,373,405,9,9
20,426,459,9,0
21,331,367,0,6
21,392,432,6,2
21,435,491,2,4
21,495,530,4,6
21,536,576,6,2
21,579,635,2,4
21,639,674,4,6
21,680,720,6,2
21,723,779,2,4
21,783,818,4,6
21,824,864,6,2
21,867,923,2,4
21,927,984,4,9
21,994,1034,9,2
21,1037,1093,2,4
21,1097,1154,4,9
21,1164,1204,9,2
21,1207,1263,2,4
21,1267,1324,4,9
21,1334,1374,9,2
21,1377,1433,2,4
21,1437,1461,4,0
22,332,363,0,8
22,373,419,8,5
22,444,475,5,3
22,499,527,3,8
22,537,583,8,5
22,608,661,5,6
22,670,698,6,8
22,708,754,8,5
22,779,832,5,6
22,841,869,6,8
22,879,925,8,5
22,950,1003,5,6
22,1012,1040,6,8
22,1050,1096,8,5
22,1121,1150,5,0
23,333,375,0,8
23,395,449,8,4
23,467,499,4,8
23,515,571,8,8
23,591,645,8,4
23,663,695,4,8
23,711,767,8,8
23,787,841,8,4
23,859,891,4,8
23,907,963,8,8
23,983,1037,8,4
23,1055,1087,4,8
23,1103,1159,8,8
23,1179,1199,8,0
24,333,385,0,2
24,400,450,2,9
24,470,514,9,1
24,520,570,1,9
24,575,619,9,1
24,625,675,1,9
24,680,724,9,1
24,730,780,1,9
24,785,829,9,1
24,835,885,1,9
24,890,934,9,1
24,940,990,1,9
24,995,1039,9,1
