RCPSP LB is the makespan lower-bound from the PSP Lib (http://www.om-db.wi.tum.de/psplib/files/j60lb.sm)

"INSTANCE","CRITICAL PATH LB","RCPSP LB","DEVIATION"

"KSD/j60_1_1.rcp",77,77,0.000000
"KSD/j60_1_2.rcp",65,68,0.046154
"KSD/j60_1_3.rcp",67,68,0.014925
"KSD/j60_1_4.rcp",79,91,0.151899
"KSD/j60_1_5.rcp",68,73,0.073529
"KSD/j60_1_6.rcp",52,66,0.269231
"KSD/j60_1_7.rcp",60,72,0.200000
"KSD/j60_1_8.rcp",71,75,0.056338
"KSD/j60_1_9.rcp",75,85,0.133333
"KSD/j60_1_10.rcp",76,80,0.052632
"KSD/j60_2_1.rcp",65,65,0.000000
"KSD/j60_2_2.rcp",82,82,0.000000
"KSD/j60_2_3.rcp",77,78,0.012987
"KSD/j60_2_4.rcp",78,78,0.000000
"KSD/j60_2_5.rcp",53,54,0.018868
"KSD/j60_2_6.rcp",61,64,0.049180
"KSD/j60_2_7.rcp",49,53,0.081633
"KSD/j60_2_8.rcp",66,66,0.000000
"KSD/j60_2_9.rcp",65,65,0.000000
"KSD/j60_2_10.rcp",64,69,0.078125
"KSD/j60_3_1.rcp",60,60,0.000000
"KSD/j60_3_2.rcp",69,69,0.000000
"KSD/j60_3_3.rcp",102,105,0.029412
"KSD/j60_3_4.rcp",81,81,0.000000
"KSD/j60_3_5.rcp",83,83,0.000000
"KSD/j60_3_6.rcp",57,57,0.000000
"KSD/j60_3_7.rcp",58,59,0.017241
"KSD/j60_3_8.rcp",52,55,0.057692
"KSD/j60_3_9.rcp",63,67,0.063492
"KSD/j60_3_10.rcp",67,69,0.029851
"KSD/j60_4_1.rcp",84,84,0.000000
"KSD/j60_4_2.rcp",60,60,0.000000
"KSD/j60_4_3.rcp",58,58,0.000000
"KSD/j60_4_4.rcp",65,65,0.000000
"KSD/j60_4_5.rcp",75,75,0.000000
"KSD/j60_4_6.rcp",71,71,0.000000
"KSD/j60_4_7.rcp",67,67,0.000000
"KSD/j60_4_8.rcp",65,65,0.000000
"KSD/j60_4_9.rcp",75,75,0.000000
"KSD/j60_4_10.rcp",77,77,0.000000
"KSD/j60_5_1.rcp",59,76,0.288136
"KSD/j60_5_2.rcp",76,106,0.394737
"KSD/j60_5_3.rcp",59,80,0.355932
"KSD/j60_5_4.rcp",53,72,0.358491
"KSD/j60_5_5.rcp",79,108,0.367089
"KSD/j60_5_6.rcp",64,74,0.156250
"KSD/j60_5_7.rcp",51,75,0.470588
"KSD/j60_5_8.rcp",65,78,0.200000
"KSD/j60_5_9.rcp",82,83,0.012195
"KSD/j60_5_10.rcp",68,81,0.191176
"KSD/j60_6_1.rcp",60,60,0.000000
"KSD/j60_6_2.rcp",66,67,0.015152
"KSD/j60_6_3.rcp",72,72,0.000000
"KSD/j60_6_4.rcp",67,67,0.000000
"KSD/j60_6_5.rcp",78,78,0.000000
"KSD/j60_6_6.rcp",53,55,0.037736
"KSD/j60_6_7.rcp",60,61,0.016667
"KSD/j60_6_8.rcp",72,72,0.000000
"KSD/j60_6_9.rcp",64,64,0.000000
"KSD/j60_6_10.rcp",74,74,0.000000
"KSD/j60_7_1.rcp",77,77,0.000000
"KSD/j60_7_2.rcp",85,85,0.000000
"KSD/j60_7_3.rcp",62,62,0.000000
"KSD/j60_7_4.rcp",63,63,0.000000
"KSD/j60_7_5.rcp",71,71,0.000000
"KSD/j60_7_6.rcp",65,65,0.000000
"KSD/j60_7_7.rcp",89,89,0.000000
"KSD/j60_7_8.rcp",66,66,0.000000
"KSD/j60_7_9.rcp",44,44,0.000000
"KSD/j60_7_10.rcp",82,82,0.000000
"KSD/j60_8_1.rcp",64,64,0.000000
"KSD/j60_8_2.rcp",61,61,0.000000
"KSD/j60_8_3.rcp",79,79,0.000000
"KSD/j60_8_4.rcp",64,64,0.000000
"KSD/j60_8_5.rcp",83,83,0.000000
"KSD/j60_8_6.rcp",56,56,0.000000
"KSD/j60_8_7.rcp",62,62,0.000000
"KSD/j60_8_8.rcp",66,66,0.000000
"KSD/j60_8_9.rcp",58,58,0.000000
"KSD/j60_8_10.rcp",97,97,0.000000
"KSD/j60_9_1.rcp",59,82,0.389831
"KSD/j60_9_2.rcp",71,82,0.154930
"KSD/j60_9_3.rcp",65,99,0.523077
"KSD/j60_9_4.rcp",65,87,0.338462
"KSD/j60_9_5.rcp",52,80,0.538462
"KSD/j60_9_6.rcp",90,105,0.166667
"KSD/j60_9_7.rcp",74,100,0.351351
"KSD/j60_9_8.rcp",65,94,0.446154
"KSD/j60_9_9.rcp",80,98,0.225000
"KSD/j60_9_10.rcp",65,88,0.353846
"KSD/j60_10_1.rcp",85,85,0.000000
"KSD/j60_10_2.rcp",62,62,0.000000
"KSD/j60_10_3.rcp",72,72,0.000000
"KSD/j60_10_4.rcp",80,80,0.000000
"KSD/j60_10_5.rcp",79,79,0.000000
"KSD/j60_10_6.rcp",67,67,0.000000
"KSD/j60_10_7.rcp",69,69,0.000000
"KSD/j60_10_8.rcp",64,65,0.015625
"KSD/j60_10_9.rcp",73,73,0.000000
"KSD/j60_10_10.rcp",73,73,0.000000
"KSD/j60_11_1.rcp",71,71,0.000000
"KSD/j60_11_2.rcp",61,61,0.000000
"KSD/j60_11_3.rcp",76,76,0.000000
"KSD/j60_11_4.rcp",69,69,0.000000
"KSD/j60_11_5.rcp",65,65,0.000000
"KSD/j60_11_6.rcp",70,70,0.000000
"KSD/j60_11_7.rcp",70,70,0.000000
"KSD/j60_11_8.rcp",69,69,0.000000
"KSD/j60_11_9.rcp",62,62,0.000000
"KSD/j60_11_10.rcp",58,58,0.000000
"KSD/j60_12_1.rcp",59,59,0.000000
"KSD/j60_12_2.rcp",58,58,0.000000
"KSD/j60_12_3.rcp",75,75,0.000000
"KSD/j60_12_4.rcp",69,69,0.000000
"KSD/j60_12_5.rcp",63,63,0.000000
"KSD/j60_12_6.rcp",54,54,0.000000
"KSD/j60_12_7.rcp",71,71,0.000000
"KSD/j60_12_8.rcp",60,60,0.000000
"KSD/j60_12_9.rcp",59,59,0.000000
"KSD/j60_12_10.rcp",79,79,0.000000
"KSD/j60_13_1.rcp",69,104,0.507246
"KSD/j60_13_2.rcp",66,101,0.530303
"KSD/j60_13_3.rcp",57,82,0.438596
"KSD/j60_13_4.rcp",62,97,0.564516
"KSD/j60_13_5.rcp",53,91,0.716981
"KSD/j60_13_6.rcp",61,90,0.475410
"KSD/j60_13_7.rcp",54,80,0.481481
"KSD/j60_13_8.rcp",69,112,0.623188
"KSD/j60_13_9.rcp",67,95,0.417910
"KSD/j60_13_10.rcp",63,112,0.777778
"KSD/j60_14_1.rcp",59,61,0.033898
"KSD/j60_14_2.rcp",65,65,0.000000
"KSD/j60_14_3.rcp",61,61,0.000000
