n= 10;
m= 40;
sizeOfTimeStep= 6;
costMatrix=[	[	[35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 ]
	[30 32 34 35 37 38 40 42 43 45 47 48 50 52 53 55 55 54 54 54 54 54 54 54 53 53 53 53 53 53 53 53 52 52 52 52 52 52 52 51 ]
	[6 6 6 7 7 7 8 8 9 9 9 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 ]
	[20 21 22 23 25 26 27 28 29 30 31 32 34 35 36 37 37 37 37 37 37 36 36 36 36 36 36 36 36 36 36 36 35 35 35 35 35 35 35 35 ]
	[29 30 31 32 34 35 36 37 39 40 41 42 43 45 46 47 47 47 47 47 47 46 46 46 46 46 46 46 46 46 46 45 45 45 45 45 45 45 45 45 ]
	[11 12 13 13 14 15 15 16 17 17 18 19 19 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 20 20 20 20 20 20 ]
	[20 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 37 37 37 37 36 36 36 36 36 36 36 36 36 36 36 36 35 35 35 35 35 35 35 35 ]
	[23 24 25 26 27 28 30 31 32 33 34 35 37 38 39 40 40 40 40 40 40 39 39 39 39 39 39 39 39 39 39 39 38 38 38 38 38 38 38 38 ]
	[42 43 44 46 47 48 49 51 52 53 54 56 57 58 59 60 60 60 60 60 60 60 60 59 59 59 59 59 59 59 59 58 58 58 58 58 58 58 58 57 ]
	[40 41 43 44 45 46 48 49 50 51 53 54 55 56 58 59 59 59 58 58 58 58 58 58 58 58 58 57 57 57 57 57 57 57 57 56 56 56 56 56 ]
]
	[	[30 31 33 34 36 37 38 40 41 43 44 46 47 49 50 52 52 52 52 51 51 51 51 51 51 51 51 51 50 50 50 50 50 50 50 50 49 49 49 49 ]
	[35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 ]
	[31 32 34 35 36 38 39 41 42 43 45 46 48 49 50 52 52 52 52 51 51 51 51 51 51 51 51 50 50 50 50 50 50 50 50 49 49 49 49 49 ]
	[17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 33 33 33 33 32 32 32 32 32 32 32 32 32 32 32 32 32 31 31 31 31 31 31 31 ]
	[8 9 9 10 11 12 12 13 14 14 15 16 17 17 18 19 19 19 19 19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 ]
	[28 29 31 32 34 35 37 38 40 41 43 45 46 48 49 51 51 50 50 50 50 50 50 50 50 49 49 49 49 49 49 49 49 48 48 48 48 48 48 48 ]
	[12 12 13 14 15 16 17 17 18 19 20 21 22 22 23 24 24 24 24 24 24 24 24 24 24 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 ]
	[8 9 9 10 11 12 12 13 14 14 15 16 17 17 18 19 19 19 19 19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 ]
	[26 28 29 30 32 33 34 36 37 38 40 41 42 44 45 46 46 46 46 46 46 46 45 45 45 45 45 45 45 45 45 44 44 44 44 44 44 44 44 44 ]
	[24 25 27 28 29 31 32 33 35 36 37 39 40 41 43 44 44 44 44 43 43 43 43 43 43 43 43 43 42 42 42 42 42 42 42 42 42 42 41 41 ]
]
	[	[6 6 7 7 8 8 9 9 9 10 10 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 ]
	[32 33 34 36 37 39 40 42 43 45 46 48 49 51 52 53 53 53 53 53 53 53 53 52 52 52 52 52 52 52 52 51 51 51 51 51 51 51 50 50 ]
	[35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 35791394 ]
	[16 17 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 29 29 29 29 29 29 29 29 29 28 28 28 28 28 28 28 28 28 28 28 28 28 ]
