50 0
75 140 0
63 234 0
138 92 0
145 68 0
89 290 0
251 243 0
18 238 0
46 120 0
163 208 0
3 164 0
235 290 0
78 102 0
106 205 0
82 81 0
29 284 0
93 76 0
108 70 0
116 283 0
74 150 0
16 228 0
72 200 0
26 291 0
133 173 0
65 108 0
219 173 0
35 113 0
156 239 0
141 134 0
76 267 0
43 81 0
99 83 0
68 193 0
34 201 0
124 237 0
114 234 0
252 71 0
49 115 0
157 81 0
179 276 0
224 168 0
174 192 0
165 250 0
10 86 0
189 248 0
13 83 0
151 128 0
9 187 0
125 116 0
176 79 0
239 151 0
