50 0
18 289 0
31 247 0
143 275 0
37 259 0
92 246 0
184 184 0
169 82 0
124 243 0
157 211 0
214 268 0
142 160 0
90 201 0
134 188 0
212 285 0
252 192 0
63 209 0
233 161 0
153 290 0
162 254 0
148 82 0
129 222 0
130 177 0
209 231 0
159 134 0
218 226 0
0 260 0
111 92 0
191 157 0
15 254 0
202 111 0
172 131 0
87 242 0
91 209 0
66 208 0
48 175 0
100 126 0
99 257 0
181 280 0
199 273 0
165 187 0
163 284 0
182 169 0
14 223 0
250 203 0
13 176 0
117 97 0
88 227 0
85 267 0
78 216 0
105 70 0
