50 0
44 164 0
73 190 0
30 228 0
251 148 0
223 141 0
212 185 0
200 92 0
165 193 0
99 152 0
77 94 0
225 96 0
195 126 0
131 136 0
192 192 0
230 69 0
164 60 0
61 194 0
2 159 0
94 283 0
159 271 0
90 81 0
214 189 0
243 79 0
123 105 0
24 265 0
0 205 0
253 196 0
146 70 0
248 235 0
36 269 0
178 84 0
242 106 0
1 153 0
252 294 0
254 129 0
74 120 0
14 75 0
59 273 0
21 289 0
72 261 0
135 272 0
155 268 0
173 298 0
18 171 0
70 168 0
8 286 0
163 250 0
103 162 0
17 114 0
100 199 0
