100 0
146 172 0
230 222 0
246 261 0
227 192 0
103 126 0
202 291 0
11 70 0
109 138 0
241 82 0
61 64 0
247 217 0
198 294 0
187 210 0
45 292 0
5 62 0
132 81 0
47 118 0
22 120 0
12 221 0
217 194 0
114 233 0
131 192 0
14 217 0
204 80 0
180 151 0
4 240 0
174 118 0
233 129 0
169 234 0
144 225 0
8 169 0
140 278 0
65 261 0
50 132 0
205 95 0
115 117 0
120 256 0
81 135 0
79 289 0
153 151 0
234 277 0
2 149 0
245 118 0
218 68 0
80 219 0
21 66 0
133 169 0
221 283 0
228 193 0
70 232 0
62 157 0
248 247 0
31 285 0
108 267 0
254 254 0
96 222 0
29 278 0
147 132 0
15 89 0
44 219 0
16 286 0
51 92 0
89 239 0
122 143 0
101 100 0
63 215 0
161 119 0
214 131 0
200 233 0
75 131 0
7 146 0
35 161 0
138 162 0
139 225 0
1 274 0
235 228 0
20 269 0
60 195 0
201 61 0
110 253 0
6 279 0
0 263 0
170 238 0
123 88 0
23 109 0
244 227 0
177 189 0
193 78 0
155 66 0
34 81 0
172 80 0
46 75 0
164 113 0
142 253 0
24 194 0
83 131 0
94 291 0
32 61 0
189 131 0
84 65 0
