1;44741;7425.77;
1_10p_ti;43005;7428.01;
1_20p_ti;40905;7473.93;
2;-1;7473.93;
2_10p_ti;38464;7442.77;
2_20p_ti;36200;7471.68;
3;45308;7433.83;
3_10p_ti;46961;7438.84;
3_20p_ti;46286;7476.73;
4;50124;7421.69;
4_10p_ti;50691;7433.82;
4_20p_ti;48187;7465.4;
5;41815;7431.55;
5_10p_ti;41662;7422.11;
5_20p_ti;40333;7462.9;
6;40051;7425.43;
6_10p_ti;39133;7436.99;
6_20p_ti;38950;7475.65;
7;47074;7425.14;
7_10p_ti;40493;7435.49;
7_20p_ti;43886;7474.98;
8;-1;7474.98;
8_10p_ti;47085;7449.31;
8_20p_ti;45176;7495.43;
9;-1;7495.43;
9_10p_ti;-1;7495.43;
9_20p_ti;38530;7469.15;
10;45161;7421.77;
10_10p_ti;42963;7448.46;
10_20p_ti;44197;7486.79;
11;45656;7419.28;
11_10p_ti;44187;7427.64;
11_20p_ti;42466;7470.94;
12;45499;7416.75;
12_10p_ti;44249;7445.29;
12_20p_ti;42414;7477.71;
13;43734;7425.83;
13_10p_ti;41741;7438.95;
13_20p_ti;39955;7476.25;
14;40888;7433.44;
14_10p_ti;39623;7446.89;
14_20p_ti;39198;7490.93;
15;45146;7417.37;
15_10p_ti;43086;7430.07;
15_20p_ti;40351;7461.59;
16;49901;7425.21;
16_10p_ti;41802;7434.85;
16_20p_ti;40780;7471.87;
17;45122;7409.04;
17_10p_ti;45037;7429.46;
17_20p_ti;45107;7469.31;
18;44802;7418.41;
18_10p_ti;44499;7443.97;
18_20p_ti;43910;7484.39;
19;44638;7422.05;
19_10p_ti;44603;7429.63;
19_20p_ti;47371;7469.88;
20;-1;7469.88;
20_10p_ti;41699;7431.65;
20_20p_ti;-1;7431.65;
