50 0
163 259 0
206 227 0
97 73 0
217 101 0
162 107 0
194 235 0
56 132 0
197 175 0
245 200 0
213 272 0
249 191 0
106 175 0
61 260 0
5 133 0
19 68 0
231 247 0
251 235 0
235 103 0
149 152 0
77 214 0
100 269 0
254 150 0
42 208 0
23 255 0
31 163 0
10 213 0
109 67 0
157 185 0
160 100 0
205 205 0
183 130 0
138 232 0
232 138 0
85 231 0
107 133 0
122 236 0
24 273 0
110 281 0
227 248 0
104 296 0
113 80 0
169 239 0
93 167 0
253 117 0
252 92 0
49 158 0
21 149 0
118 232 0
189 233 0
2 278 0
