10	5	3	5	31820712.1695827	962.2942
61908	14537	94014	21302	84137	
100369	81982	64409	41216	57620	
39778	5502	28494	42133	121889	
20315	12979	14579	88863	39150	
25478	123099	83139	48985	80093	
32695	11062	80986	58554	74522	
39293	10959	105131	77001	90590	
79148	44814	48822	34802	1269	
89097	23368	125748	109849	81033	
102025	4204	74969	67577	136043	
29673	118770	971815	109234	1761475	135155	2503811	161145	3423349	137375	4290602	134046	5073612	141750	5933573	112640	6769578	105585	7634281	127566	8633766	141107	9429558	127460	10509369	159269	11324238	152480	12374817	154488	
128755	177470	984287	190320	1767981	196872	2449314	129567	3082680	221383	3930130	136725	4591106	203992	5189050	193011	5986125	192574	6917281	169562	7855303	147229	8616925	181983	9312838	186834	9977044	210454	10805301	152897	11496815	91855	12106588	156612	
27002	63845	423873	69493	951250	57662	1450444	49815	1910635	41711	2390224	70204	3040565	60187	3423913	68481	4048148	54424	4551353	67935	5135083	43169	5547460	45150	5905555	57925	6214173	48809	6709761	69231	7128316	39733	7672478	50557	8100281	69407	8553919	58145	9093797	69154	9711355	42426	10158645	24563	10679852	71798	11149430	62604	11661727	49113	12210049	69156	
0	55063	715682	132283	1508558	175737	2500921	170976	3440071	138450	4409224	169110	5192242	159454	6269371	163817	7074440	126979	7826041	159466	8915014	176723	9807783	207832	10715395	199850	11731148	168840	12443788	168222	
593959	172998	1257049	139397	2096824	152028	2833590	161855	3431563	189931	4288789	161532	4954117	158869	5808715	185613	6629537	154682	7464175	187641	8276208	146918	9030744	168507	10076818	175865	10608170	138987	11087079	163898	11664580	159847	12236022	127808	
