STATION|NAMES, name, id, nbAntennas
STATION|KEYS, 0, 1, 0
STATION, POGO, 1, 13
STATION, HULA, 2, 7
STATION, COOK, 3, 12
STATION, INDI, 4, 2
STATION, BOSS, 5, 10
STATION, LION, 6, 9
STATION, GUAM, 7, 5
STATION, PIKE, 8, 6
STATION, REEF, 9, 1
STATION, HAWK, 10, 10
STATION, DICE, 11, 7
STATION, EVCF, 12, 10
STATION, SUN3, 13, 5

ALTERNATIVE|NAMES, taskName, stationId, startMin, duration, endMax
ALTERNATIVE|KEYS, 1, 0, 0, 0, 0
ALTERNATIVE, 1, 6, 1800, 1422, 3600
ALTERNATIVE, 1A, 6, 3960, 976, 5760
ALTERNATIVE, 1B, 6, 4500, 1382, 6300
ALTERNATIVE, 2, 1, 1380, 1558, 3480
ALTERNATIVE, 2A, 1, 3780, 1367, 5880
ALTERNATIVE, 2B, 1, 1800, 1531, 3900
ALTERNATIVE, 3, 2, 2160, 1372, 4080
ALTERNATIVE, 3A, 2, 4860, 1071, 6780
ALTERNATIVE, 3B, 2, 2940, 1215, 4860
ALTERNATIVE, 4, 3, 3900, 1171, 6060
ALTERNATIVE, 4A, 3, 6600, 1382, 8760
ALTERNATIVE, 4B, 3, 6360, 1432, 8520
ALTERNATIVE, 5, 6, 3600, 1638, 5580
ALTERNATIVE, 5A, 6, 7140, 1520, 9120
ALTERNATIVE, 5B, 6, 6240, 1312, 8220
ALTERNATIVE, 6, 9, 5220, 1291, 7380
ALTERNATIVE, 6A, 9, 5700, 1593, 7860
ALTERNATIVE, 6B, 9, 6840, 1896, 9000
ALTERNATIVE, 7, 1, 7500, 1154, 9720
ALTERNATIVE, 7A, 1, 9240, 2050, 11460
ALTERNATIVE, 7B, 1, 9240, 1954, 11460
ALTERNATIVE, 8, 7, 6480, 2057, 8580
ALTERNATIVE, 8A, 7, 8100, 1115, 10200
ALTERNATIVE, 8B, 7, 9840, 1448, 11940
ALTERNATIVE, 9, 1, 6660, 1841, 8880
ALTERNATIVE, 9A, 1, 7920, 2101, 10140
ALTERNATIVE, 9B, 1, 7800, 1458, 10020
ALTERNATIVE, 10, 5, 8220, 980, 10140
ALTERNATIVE, 10A, 5, 10680, 1558, 12600
ALTERNATIVE, 10B, 5, 10260, 1715, 12180
ALTERNATIVE, 11, 6, 8760, 1498, 10800
ALTERNATIVE, 11A, 6, 9780, 1021, 11820
ALTERNATIVE, 11B, 6, 10740, 1603, 12780
ALTERNATIVE, 12, 1, 8940, 1164, 11160
ALTERNATIVE, 12A, 1, 11820, 1367, 14040
ALTERNATIVE, 12B, 1, 11700, 2151, 13920
ALTERNATIVE, 13, 5, 5700, 1591, 7500
ALTERNATIVE, 13A, 5, 7140, 1329, 8940
ALTERNATIVE, 13B, 5, 7980, 1588, 9780
ALTERNATIVE, 14, 1, 7740, 1392, 9600
ALTERNATIVE, 14A, 1, 8880, 1592, 10740
ALTERNATIVE, 14B, 1, 9360, 1224, 11220
ALTERNATIVE, 15, 1, 8640, 1580, 10860
ALTERNATIVE, 15A, 1, 9960, 2070, 12180
ALTERNATIVE, 15B, 1, 8760, 1379, 10980
ALTERNATIVE, 16, 6, 8580, 1049, 10620
ALTERNATIVE, 16A, 6, 8820, 1834, 10860
ALTERNATIVE, 16B, 6, 11100, 1866, 13140
ALTERNATIVE, 17, 2, 10260, 1532, 12120
ALTERNATIVE, 17A, 2, 12360, 1325, 14220
ALTERNATIVE, 17B, 2, 13740, 1843, 15600
ALTERNATIVE, 18, 2, 8940, 1468, 10980
ALTERNATIVE, 18A, 2, 10920, 1246, 12960
ALTERNATIVE, 18B, 2, 9720, 1211, 11760
ALTERNATIVE, 19, 1, 11520, 1174, 13680
ALTERNATIVE, 19A, 1, 13620, 1949, 15780
ALTERNATIVE, 19B, 1, 15060, 1796, 17220
ALTERNATIVE, 20, 1, 12060, 1466, 13980
ALTERNATIVE, 20A, 1, 12360, 1219, 14280
ALTERNATIVE, 20B, 1, 13380, 1225, 15300
ALTERNATIVE, 21, 1, 10860, 2050, 13020
ALTERNATIVE, 21A, 1, 14100, 1281, 16260
ALTERNATIVE, 21B, 1, 11760, 1517, 13920
ALTERNATIVE, 22, 8, 13200, 1035, 15000
ALTERNATIVE, 22A, 8, 14700, 1072, 16500
ALTERNATIVE, 22B, 8, 13800, 1477, 15600
ALTERNATIVE, 23, 6, 12720, 1300, 14640
ALTERNATIVE, 23A, 6, 14160, 1914, 16080
ALTERNATIVE, 23B, 6, 15180, 1190, 17100
ALTERNATIVE, 24, 1, 13680, 1268, 15900
ALTERNATIVE, 24A, 1, 13920, 1883, 16140
ALTERNATIVE, 24B, 1, 17160, 2193, 19380
ALTERNATIVE, 25, 6, 12360, 1290, 14280
ALTERNATIVE, 25A, 6, 14280, 1769, 16200
ALTERNATIVE, 25B, 6, 15180, 1445, 17100
ALTERNATIVE, 26, 1, 13740, 1720, 16080
ALTERNATIVE, 26A, 1, 16800, 1538, 19140
ALTERNATIVE, 26B, 1, 15420, 2138, 17760
ALTERNATIVE, 27, 8, 14580, 1610, 16560
ALTERNATIVE, 27A, 8, 18000, 1588, 19980
ALTERNATIVE, 27B, 8, 16140, 1348, 18120
ALTERNATIVE, 28, 5, 13440, 1918, 15540
ALTERNATIVE, 28A, 5, 15840, 2071, 17940
ALTERNATIVE, 28B, 5, 14280, 1404, 16380
ALTERNATIVE, 29, 1, 13620, 1911, 15840
ALTERNATIVE, 29A, 1, 15180, 1925, 17400
ALTERNATIVE, 29B, 1, 15060, 1690, 17280
