# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_12_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.01 55529 -1
* 0.013 55042 -1
* 0.016 54922 -1
* 0.035 54621 -1
* 0.047 54569 -1
* 0.186 54344 -1
* 0.265 53946 -1
* 0.268 53477 -1
* 0.271 53332 -1
* 0.274 53116 -1
* 0.286 52890 -1
* 0.332 52497 -1
* 0.366 52408 -1
* 0.371 51502 -1
* 0.385 50737 -1
* 0.393 50595 -1
* 0.402 50135 -1
* 0.461 50015 -1
* 0.59 49807 -1
* 0.612 49801 -1
* 0.693 49491 -1
* 0.723 49394 -1
* 1.759 49362 -1
* 1.804 48854 -1
* 1.812 48801 -1
* 1.83 48649 -1
* 1.985 48327 -1
* 1.988 48120 -1
* 2.074 47886 -1
* 2.134 47704 -1
* 2.136 47597 -1
* 2.14 47531 -1
* 2.144 47524 -1
* 2.249 47437 -1
* 2.252 47358 -1
* 2.255 47050 -1
* 2.267 47024 -1
* 2.272 47000 -1
* 2.314 46889 -1
* 2.316 46841 -1
* 2.326 46740 -1
* 2.336 46667 -1
* 2.34 46657 -1
* 2.345 46580 -1
* 2.35 46546 -1
* 2.363 46543 -1
* 2.375 46493 -1
* 2.38 46377 -1
* 2.387 46364 -1
* 2.401 46343 -1
* 2.403 46281 -1
* 2.405 46158 -1
* 2.43 46085 -1
* 2.455 46064 -1
* 2.467 46009 -1
* 2.47 45914 -1
* 2.479 45871 -1
* 2.574 45848 -1
* 2.635 45761 -1
* 2.701 45610 -1
* 2.781 45506 -1
* 2.958 45455 -1
* 9.011 45405 -1
* 9.013 45381 -1
* 9.949 45054 -1
* 9.957 45009 -1
* 10.134 44951 -1
* 10.251 44729 -1
* 10.893 44632 -1
* 10.928 44621 -1
* 11.065 44495 -1
* 11.079 44486 -1
* 11.449 44485 -1
* 11.476 44454 -1
* 12.096 44367 -1
* 12.127 44303 -1
* 12.185 44297 -1
* 12.187 44291 -1
* 12.24 44281 -1
* 12.285 44276 -1
* 12.288 44266 -1
* 12.36 44265 -1
* 13.647 44247 -1
* 13.985 44241 -1
* 14.091 44231 -1
* 14.184 44225 -1
* 14.226 44218 -1
* 14.459 44205 -1
* 15.221 44072 -1
* 16.114 44056 -1
* 16.303 43967 -1
* 16.31 43963 -1
* 16.36 43934 -1
* 18.855 43929 -1
* 19.099 43923 -1
* 19.338 43879 -1
* 19.479 43869 -1
* 19.945 43867 -1
* 20.348 43639 -1
* 20.521 43584 -1
* 21.012 43550 -1
* 21.082 43531 -1
* 21.137 43520 -1
* 23.279 43516 -1
* 23.354 43414 -1
* 23.372 43387 -1
* 23.388 43372 -1
* 23.4 43364 -1
* 23.459 43363 -1
* 23.511 43352 -1
* 23.551 43346 -1
* 23.689 43265 -1
* 23.872 43196 -1
* 23.874 43150 -1
* 23.914 43129 -1
* 24.002 43110 -1
* 24.169 43090 -1
* 24.265 43022 -1
* 29.238 43021 -1
* 31.745 42911 -1
* 32.066 42903 -1
* 32.462 42832 -1
* 34.516 42810 -1
* 35.583 42799 -1
* 35.819 42792 -1
* 40.35 42699 -1
* 40.609 42658 -1
* 40.688 42591 -1
* 40.701 42584 -1
* 40.881 42581 -1
* 41.973 42558 -1
* 42.231 42532 -1
* 42.259 42515 -1
* 42.336 42506 -1
* 42.566 42505 -1
* 44.651 42474 -1
* 44.758 42457 -1
* 45.033 42449 -1
* 45.896 42441 -1
* 46.369 42436 -1
* 46.815 42406 -1
* 46.862 42263 -1
* 46.884 42238 -1
* 46.891 42233 -1
* 46.944 42214 -1
* 48.142 42206 -1
* 48.348 42189 -1
* 48.682 42166 -1
* 50.62 42147 -1
* 52.364 42134 -1
* 52.428 42020 -1
* 52.631 41997 -1
* 53.465 41975 -1
* 53.655 41967 -1
* 54.375 41928 -1
* 60.294 41923 -1
* 61.259 41915 -1
* 66.294 41897 -1
* 72.728 41884 -1
* 83.143 41864 -1
* 83.446 41857 -1
* 92.919 41855 -1
* 94.676 41854 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 41854
# NUMBER OF BRANCHES: 7502583
# END TIME: 300.024
## Solution with TDTSP times: 
100
235 0
72 321
206 546
82 766
128 1119
83 1565
32 1995
166 2274
212 2948
168 3661
71 3932
67 4488
175 4930
176 5681
172 5864
171 6110
11 6384
180 7002
184 7694
195 8446
190 9402
145 10007
