# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.016 41623 -1
* 0.016 41058 -1
* 0.016 40695 -1
* 0.109 40643 -1
* 0.109 40551 -1
* 0.109 40536 -1
* 0.125 40504 -1
* 0.125 40494 -1
* 0.203 40454 -1
* 0.219 40439 -1
* 0.234 40387 -1
* 0.265 40341 -1
* 0.281 40300 -1
* 0.312 40273 -1
* 0.312 40243 -1
* 1.186 40224 -1
* 1.342 40211 -1
* 1.342 40200 -1
* 7.02 40150 -1
* 9.501 39734 -1
* 9.501 39696 -1
* 9.516 39692 -1
* 9.563 39664 -1
* 9.594 39631 -1
