100 0
241 213 0
74 77 0
20 254 0
229 108 0
154 99 0
119 281 0
92 106 0
212 232 0
127 217 0
214 280 0
184 150 0
94 220 0
224 152 0
97 92 0
202 220 0
123 294 0
116 183 0
141 138 0
115 156 0
186 232 0
36 141 0
128 208 0
199 283 0
117 96 0
80 258 0
235 218 0
245 283 0
166 171 0
52 97 0
251 192 0
243 61 0
172 150 0
95 176 0
177 147 0
161 100 0
33 101 0
242 163 0
82 104 0
101 268 0
113 183 0
64 270 0
12 67 0
191 203 0
72 138 0
175 73 0
236 168 0
234 231 0
70 187 0
50 201 0
7 109 0
152 88 0
138 177 0
230 204 0
61 260 0
25 78 0
165 299 0
206 213 0
162 88 0
136 198 0
110 118 0
84 250 0
194 70 0
238 186 0
65 163 0
137 170 0
11 191 0
219 279 0
4 121 0
14 274 0
142 170 0
86 131 0
38 199 0
160 98 0
51 191 0
253 238 0
198 285 0
247 156 0
189 193 0
32 280 0
151 283 0
42 188 0
39 252 0
173 228 0
45 169 0
167 94 0
221 159 0
22 139 0
6 265 0
91 220 0
187 91 0
26 212 0
143 218 0
19 263 0
100 94 0
102 162 0
89 79 0
218 169 0
155 217 0
174 62 0
215 223 0
