# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_11_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.01 57172 -1
* 0.014 56699 -1
* 0.02 56448 -1
* 0.026 56417 -1
* 0.106 55753 -1
* 0.115 55718 -1
* 0.162 55527 -1
* 0.164 55287 -1
* 0.168 54929 -1
* 0.17 54917 -1
* 0.178 54780 -1
* 0.185 54229 -1
* 0.187 54195 -1
* 0.192 53932 -1
* 0.226 53915 -1
* 0.236 53912 -1
* 0.273 53734 -1
* 0.275 53306 -1
* 0.311 53207 -1
* 0.316 53153 -1
* 0.328 53065 -1
* 0.381 53011 -1
* 0.399 52972 -1
* 0.405 52947 -1
* 0.425 52883 -1
* 0.497 52507 -1
* 0.499 51627 -1
* 0.501 51112 -1
* 0.516 51010 -1
* 9.363 50931 -1
* 9.368 50889 -1
* 9.415 50843 -1
* 9.445 50809 -1
* 9.447 50763 -1
* 10.822 50547 -1
* 12.409 50504 -1
* 12.427 49998 -1
* 12.601 49942 -1
* 12.606 49875 -1
* 13.068 49720 -1
* 13.162 49566 -1
* 13.222 49533 -1
* 13.296 49444 -1
* 13.299 49419 -1
* 13.313 49395 -1
* 13.347 49363 -1
* 13.377 49315 -1
* 13.413 49231 -1
* 13.498 49152 -1
* 13.566 48987 -1
* 13.572 48955 -1
* 13.781 48784 -1
* 13.793 48775 -1
* 13.819 48734 -1
* 13.922 48544 -1
* 13.963 48489 -1
* 14.093 48292 -1
* 14.177 48269 -1
* 14.813 48199 -1
* 14.888 48154 -1
* 14.892 48152 -1
* 14.934 47985 -1
* 30.153 47337 -1
* 30.316 47306 -1
* 30.319 47277 -1
* 30.387 46968 -1
* 30.388 46728 -1
* 30.39 46591 -1
* 30.401 46551 -1
* 30.404 46545 -1
* 30.406 46429 -1
* 30.408 46399 -1
* 30.423 46222 -1
* 30.425 46206 -1
* 30.43 46138 -1
* 30.437 46061 -1
* 30.439 46041 -1
* 30.441 45964 -1
* 30.443 45943 -1
* 30.688 45853 -1
* 30.693 45847 -1
* 30.696 45834 -1
* 30.701 45707 -1
* 30.777 45576 -1
* 31.533 45551 -1
* 31.537 45521 -1
* 31.539 45480 -1
* 31.681 45474 -1
* 31.724 45443 -1
* 31.806 45437 -1
* 31.913 45436 -1
* 32.08 45376 -1
* 32.123 45301 -1
* 32.246 45207 -1
* 32.259 45192 -1
* 32.32 45112 -1
* 32.34 45081 -1
* 32.436 45075 -1
* 32.511 44976 -1
* 32.562 44922 -1
* 32.611 44852 -1
* 32.655 44829 -1
* 32.725 44779 -1
* 32.872 44716 -1
* 33.046 44706 -1
* 33.049 44664 -1
* 33.094 44631 -1
* 33.252 44615 -1
* 33.295 44607 -1
* 33.389 44587 -1
* 33.465 44510 -1
* 33.768 44488 -1
* 34.785 44270 -1
* 34.833 44233 -1
* 39.264 44167 -1
* 39.314 44146 -1
* 39.394 44135 -1
* 39.415 44129 -1
* 39.469 44117 -1
* 39.921 44070 -1
* 41.765 44025 -1
* 42.285 44018 -1
* 77.06 44009 -1
* 77.371 44002 -1
* 92.322 43978 -1
* 92.328 43926 -1
* 92.374 43921 -1
* 92.377 43910 -1
* 92.38 43903 -1
* 92.449 43841 -1
* 92.458 43834 -1
* 92.608 43787 -1
* 92.652 43782 -1
* 92.782 43747 -1
* 92.833 43735 -1
* 94.777 43725 -1
* 96.929 43715 -1
* 97.021 43711 -1
* 98.127 43689 -1
* 100.613 43597 -1
* 168.745 43413 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 43413
# NUMBER OF BRANCHES: 8965666
# END TIME: 300.031
## Solution with TDTSP times: 
100
63 0
53 251
158 516
187 839
155 1219
189 1527
147 1782
32 2028
126 2424
46 2653
231 3057
58 3520
123 4001
19 4512
92 4969
60 5769
248 6041
125 6490
228 7137
51 7686
227 22773
41 22947
100 23555
98 23921
104 24176
