100 0
14 209 0
23 285 0
199 288 0
210 242 0
241 284 0
146 126 0
112 140 0
157 129 0
84 271 0
67 65 0
99 217 0
236 198 0
212 291 0
86 143 0
60 256 0
26 257 0
35 246 0
181 271 0
52 122 0
192 165 0
133 126 0
234 172 0
247 150 0
55 123 0
132 271 0
11 234 0
147 70 0
114 120 0
208 110 0
54 122 0
139 187 0
224 189 0
15 231 0
43 76 0
2 83 0
194 125 0
138 124 0
56 276 0
38 192 0
29 277 0
187 175 0
159 256 0
62 106 0
119 199 0
214 243 0
223 233 0
69 135 0
230 199 0
72 269 0
65 73 0
51 282 0
238 138 0
116 176 0
12 172 0
113 202 0
10 299 0
109 298 0
93 218 0
249 277 0
71 288 0
3 89 0
124 211 0
164 197 0
188 237 0
142 242 0
37 92 0
95 273 0
36 247 0
85 179 0
225 201 0
50 199 0
135 235 0
154 279 0
111 75 0
231 73 0
25 64 0
205 298 0
9 108 0
0 85 0
207 250 0
118 94 0
169 281 0
163 265 0
215 193 0
64 61 0
47 128 0
103 231 0
94 98 0
226 191 0
239 105 0
105 277 0
102 148 0
57 79 0
89 282 0
251 121 0
197 285 0
182 185 0
155 133 0
19 291 0
123 214 0
