50 0
122 278 0
183 178 0
69 290 0
116 151 0
66 231 0
224 74 0
178 135 0
12 275 0
99 253 0
195 161 0
137 152 0
81 204 0
103 281 0
196 68 0
56 143 0
225 121 0
173 156 0
155 268 0
234 208 0
112 155 0
147 144 0
198 146 0
64 160 0
28 233 0
42 227 0
193 132 0
159 132 0
72 205 0
213 69 0
106 136 0
248 268 0
238 124 0
146 229 0
41 128 0
174 192 0
168 203 0
104 294 0
167 286 0
212 297 0
189 272 0
100 280 0
125 186 0
133 179 0
151 103 0
206 276 0
140 227 0
57 225 0
135 134 0
177 200 0
47 195 0
