100 0
63 122 0
46 171 0
167 106 0
72 104 0
41 239 0
158 293 0
51 190 0
251 225 0
135 97 0
247 199 0
190 278 0
10 149 0
201 292 0
62 146 0
116 298 0
141 138 0
55 229 0
58 110 0
26 213 0
240 92 0
20 129 0
88 73 0
98 124 0
198 65 0
147 83 0
212 270 0
227 109 0
223 79 0
111 268 0
231 297 0
75 164 0
3 76 0
89 168 0
4 186 0
205 116 0
248 198 0
81 126 0
14 120 0
28 132 0
59 85 0
153 296 0
173 249 0
222 231 0
53 142 0
203 261 0
131 207 0
44 209 0
239 89 0
182 283 0
233 181 0
60 87 0
187 277 0
0 224 0
125 218 0
126 134 0
123 282 0
19 155 0
56 237 0
179 166 0
237 159 0
178 103 0
137 282 0
188 272 0
176 61 0
76 152 0
208 227 0
155 238 0
217 164 0
100 128 0
31 115 0
171 99 0
94 61 0
196 228 0
215 271 0
92 187 0
105 95 0
195 299 0
228 158 0
18 163 0
68 86 0
104 247 0
193 267 0
252 188 0
84 225 0
32 135 0
97 120 0
219 140 0
1 250 0
207 187 0
9 276 0
189 134 0
202 252 0
102 266 0
23 256 0
165 299 0
2 240 0
118 273 0
91 223 0
5 289 0
120 88 0
