100 0
108 106 0
101 212 0
26 166 0
136 224 0
58 163 0
79 261 0
201 252 0
37 189 0
20 73 0
34 142 0
151 102 0
226 229 0
38 62 0
7 164 0
121 129 0
84 240 0
77 76 0
253 125 0
191 185 0
146 152 0
246 212 0
153 246 0
171 255 0
29 205 0
17 230 0
208 176 0
175 88 0
73 186 0
217 288 0
45 154 0
220 153 0
135 296 0
32 186 0
158 165 0
248 65 0
234 81 0
54 289 0
4 276 0
129 168 0
155 296 0
203 178 0
3 178 0
70 215 0
114 279 0
139 282 0
227 73 0
96 88 0
99 169 0
189 283 0
243 176 0
67 208 0
83 281 0
210 210 0
27 244 0
250 281 0
157 187 0
78 167 0
239 139 0
196 261 0
127 282 0
245 149 0
162 245 0
132 63 0
161 209 0
59 90 0
181 211 0
123 68 0
170 205 0
48 257 0
9 285 0
241 147 0
206 130 0
89 78 0
112 206 0
160 65 0
193 142 0
231 122 0
237 275 0
251 208 0
102 235 0
13 96 0
49 100 0
224 241 0
11 153 0
109 246 0
69 178 0
46 247 0
236 123 0
209 224 0
163 66 0
50 206 0
25 225 0
225 177 0
76 88 0
16 156 0
134 198 0
95 244 0
199 264 0
182 263 0
140 139 0
