# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.011 51562 -1
* 0.092 51539 -1
* 1.22 51080 -1
* 1.244 50920 -1
* 1.318 50665 -1
* 1.366 50320 -1
* 1.511 49949 -1
* 1.517 49948 -1
* 1.576 49893 -1
* 1.578 49807 -1
* 15.026 49528 -1
* 15.062 49459 -1
* 15.114 49451 -1
* 15.151 49401 -1
* 16.89 48948 -1
* 16.901 48900 -1
* 16.903 48684 -1
* 16.919 48647 -1
* 17.145 48287 -1
* 17.164 48053 -1
* 17.166 48044 -1
* 17.202 47967 -1
* 17.248 47888 -1
* 17.25 47827 -1
* 17.258 47819 -1
* 17.267 47791 -1
* 17.368 47700 -1
* 17.371 47600 -1
* 17.381 47539 -1
* 17.383 47534 -1
* 17.387 47478 -1
* 17.396 47459 -1
* 17.48 47252 -1
* 17.505 47240 -1
* 17.507 47078 -1
* 17.514 47063 -1
* 17.518 46989 -1
* 17.545 46766 -1
* 17.547 46735 -1
* 17.556 46730 -1
* 17.561 46513 -1
* 17.572 45927 -1
* 17.58 45884 -1
* 17.591 45873 -1
* 17.601 45576 -1
* 17.623 45547 -1
* 17.654 45531 -1
* 17.656 45434 -1
* 17.672 45414 -1
* 17.805 45387 -1
* 17.824 44969 -1
* 17.869 44624 -1
* 17.877 44520 -1
* 17.998 44445 -1
* 18.009 44417 -1
* 18.09 44397 -1
* 18.123 44384 -1
* 18.14 44378 -1
* 18.204 44236 -1
* 19.237 44104 -1
* 19.549 44086 -1
* 19.682 44069 -1
* 19.692 44063 -1
* 19.73 43985 -1
* 19.733 43888 -1
* 19.741 43809 -1
* 19.744 43783 -1
* 19.792 43757 -1
* 19.891 43712 -1
* 19.923 43694 -1
* 19.985 43642 -1
* 20.014 43605 -1
* 20.05 43597 -1
* 20.734 43592 -1
* 21.032 43486 -1
* 21.037 43478 -1
* 21.059 43409 -1
* 27.075 43271 -1
* 27.077 43183 -1
* 30.296 43179 -1
* 30.343 43177 -1
* 30.385 43148 -1
* 30.431 43050 -1
* 30.439 43033 -1
* 30.465 43009 -1
* 30.513 42985 -1
* 30.52 42974 -1
* 30.525 42892 -1
* 30.61 42847 -1
* 30.655 42845 -1
* 34.005 42752 -1
* 34.155 42158 -1
* 34.219 42084 -1
* 34.268 41848 -1
* 34.321 41736 -1
* 34.472 41699 -1
* 34.596 41624 -1
* 34.6 41550 -1
* 36.945 41548 -1
* 36.96 41546 -1
* 36.987 41497 -1
* 36.999 41486 -1
* 37.004 41483 -1
* 37.006 41439 -1
* 39.526 41438 -1
* 40.442 41429 -1
* 40.465 41412 -1
* 44.54 41395 -1
* 45.187 41392 -1
* 47.759 41309 -1
* 52.515 41230 -1
* 52.52 41211 -1
* 52.537 41173 -1
* 52.582 41156 -1
* 52.652 41123 -1
* 52.677 41106 -1
* 52.71 41078 -1
* 52.734 41051 -1
* 52.739 41039 -1
* 53.386 41019 -1
* 53.487 40974 -1
* 53.517 40967 -1
* 53.546 40965 -1
* 63.175 40875 -1
* 63.385 40859 -1
* 63.815 40837 -1
* 63.877 40708 -1
* 63.882 40706 -1
* 64.178 40633 -1
* 64.217 40492 -1
* 64.346 40477 -1
* 120.432 40469 -1
* 120.625 40467 -1
* 120.863 40464 -1
* 134.613 40456 -1
* 229.056 40455 -1
* 229.571 40448 -1
* 234.893 40402 -1
* 236.625 40390 -1
* 236.625 40385 -1
* 236.625 40379 -1
* 236.656 40238 -1
* 236.827 40233 -1
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40233
# NUMBER OF BRANCHES: 8027211
# END TIME: 300.029
## Solution with TDTSP times: 
100
231 0
230 267
43 554
126 871
121 1189
46 1355
140 1817
167 2250
141 2632
163 2913
164 3359
165 3633
162 4345
151 4860
32 5350
158 5765
75 6497
81 6783
74 7076
214 7389
77 7578
213 7759
168 7932
183 8290
169 8899
178 9215
172 9507
171 9900
173 10402
195 10728
