50 0
246 206 0
130 136 0
204 170 0
202 162 0
117 198 0
174 179 0
98 78 0
27 149 0
105 219 0
45 149 0
145 264 0
185 252 0
236 120 0
68 188 0
139 187 0
30 188 0
21 297 0
216 83 0
153 70 0
137 267 0
6 96 0
225 134 0
8 102 0
218 191 0
188 119 0
176 261 0
181 76 0
13 230 0
251 263 0
103 183 0
233 96 0
51 72 0
247 72 0
254 161 0
39 214 0
66 153 0
157 282 0
118 136 0
3 160 0
129 275 0
234 164 0
200 259 0
43 276 0
83 180 0
28 138 0
177 212 0
25 287 0
60 244 0
182 100 0
53 217 0
