# INSTANCE: InstancesTDTSP/NewTWinstances/inst_100_4_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 300
* 0.016 42844 -1
* 0.016 42518 -1
* 0.032 42448 -1
* 0.032 42387 -1
* 0.063 42362 -1
* 0.219 42352 -1
* 0.25 42308 -1
* 0.25 42240 -1
* 0.25 42130 -1
* 0.281 42126 -1
* 0.344 42113 -1
* 0.344 42102 -1
* 0.375 42038 -1
* 0.375 41969 -1
* 0.39 41930 -1
* 0.453 41831 -1
* 1.17 41442 -1
* 1.217 41381 -1
* 1.264 41375 -1
* 6.745 41325 -1
* 6.792 41315 -1
* 6.807 41290 -1
* 7.587 41246 -1
* 7.65 41227 -1
* 7.915 41223 -1
* 7.931 41222 -1
* 8.445 41206 -1
* 8.539 41195 -1
* 8.539 41157 -1
* 9.054 41128 -1
* 10.083 41096 -1
* 10.161 41069 -1
