100 0
235 98 0
204 257 0
168 62 0
144 215 0
135 91 0
33 295 0
75 207 0
167 81 0
143 297 0
11 104 0
188 118 0
50 60 0
234 244 0
128 226 0
222 74 0
19 151 0
3 65 0
213 176 0
199 284 0
147 205 0
2 206 0
182 205 0
228 60 0
40 284 0
201 129 0
117 262 0
36 271 0
66 137 0
215 187 0
98 227 0
41 287 0
8 66 0
115 83 0
123 295 0
9 292 0
153 131 0
154 177 0
158 69 0
249 66 0
112 61 0
156 135 0
32 246 0
218 179 0
139 116 0
77 71 0
208 168 0
87 150 0
132 264 0
25 177 0
180 105 0
232 247 0
48 183 0
34 75 0
42 277 0
80 194 0
223 240 0
88 295 0
186 268 0
122 114 0
54 203 0
60 271 0
183 136 0
146 223 0
141 168 0
220 180 0
227 141 0
105 200 0
61 133 0
102 263 0
57 289 0
140 252 0
46 83 0
184 167 0
237 238 0
192 79 0
207 123 0
242 157 0
181 70 0
111 123 0
248 157 0
69 101 0
35 183 0
78 133 0
159 250 0
150 254 0
238 239 0
68 258 0
211 243 0
14 98 0
145 257 0
104 170 0
190 208 0
83 154 0
89 232 0
198 268 0
125 246 0
47 124 0
110 268 0
179 66 0
82 147 0
