50 0
116 285 0
134 241 0
120 92 0
66 118 0
205 234 0
124 214 0
170 74 0
147 293 0
110 118 0
172 298 0
208 165 0
187 239 0
221 111 0
153 293 0
240 147 0
59 199 0
141 179 0
185 157 0
144 165 0
143 186 0
49 180 0
60 278 0
2 137 0
121 201 0
78 65 0
39 60 0
3 259 0
164 189 0
71 196 0
5 223 0
114 92 0
180 150 0
145 214 0
146 158 0
17 139 0
24 228 0
199 73 0
48 120 0
108 84 0
209 234 0
52 247 0
241 110 0
222 286 0
9 272 0
166 215 0
99 237 0
223 154 0
6 120 0
43 193 0
215 203 0
