ILOG_CSV_FORMAT,1,,,


RESOURCE|NAMES,RESOURCE_ID,NAME,CAPACITY,TIME_ORIGIN
RESOURCE|KEYS,1,0,0,0
RESOURCE|TYPES,int,string,int,int
RESOURCE,0,,1,0
RESOURCE,1,,1,0

ACTIVITY|NAMES,ACTIVITY_ID,NAME,SETUP_TYPE,
ACTIVITY|KEYS,1,0,0,
ACTIVITY|TYPES,int,string,int,
ACTIVITY,0,,-1,
ACTIVITY,1,,-1,
ACTIVITY,2,,-1,
ACTIVITY,3,,-1,
ACTIVITY,4,,-1
ACTIVITY,5,,-1
ACTIVITY,6,,-1
ACTIVITY,7,,-1
ACTIVITY,8,,-1
ACTIVITY,9,,-1
ACTIVITY,10,,-1
ACTIVITY,11,,-1
ACTIVITY,12,,-1
ACTIVITY,13,,-1
ACTIVITY,14,,-1
ACTIVITY,15,,-1
ACTIVITY,16,,-1
ACTIVITY,17,,-1
ACTIVITY,18,,-1
ACTIVITY,19,,-1
ACTIVITY,20,,-1,,,,
ACTIVITY,21,,-1,,,,
ACTIVITY,22,,-1,,,,
ACTIVITY,23,,-1,,,,

DUE_DATE|NAMES,ACTIVITY_ID,TYPE,DUE_DATE,EARL_FCOST,EARL_WEIGHT,TARD_FCOST,TARD_WEIGHT
DUE_DATE|TYPES,int,string,int,int,float,int,float
DUE_DATE,0,END,384,0,1,0,48
DUE_DATE,1,END,128,0,1,0,48
DUE_DATE,2,END,256,0,1,0,48
DUE_DATE,3,END,512,0,1,0,48
DUE_DATE,4,END,128,0,1,0,48
DUE_DATE,5,END,384,0,1,0,48
DUE_DATE,6,END,512,0,1,0,48
DUE_DATE,7,END,256,0,1,0,48
DUE_DATE,8,END,512,0,1,0,48
DUE_DATE,9,END,384,0,1,0,48
DUE_DATE,10,END,256,0,1,0,48
DUE_DATE,11,END,128,0,1,0,48
DUE_DATE,12,END,256,0,1,0,48
DUE_DATE,13,END,512,0,1,0,48
DUE_DATE,14,END,128,0,1,0,48
DUE_DATE,15,END,256,0,1,0,48
DUE_DATE,16,END,128,0,1,0,48
DUE_DATE,17,END,384,0,1,0,48
DUE_DATE,18,END,384,0,1,0,48
DUE_DATE,19,END,512,0,1,0,48
DUE_DATE,20,END,512,0,1,0,48
DUE_DATE,21,END,384,0,1,0,48
DUE_DATE,22,END,256,0,1,0,48
DUE_DATE,23,END,128,0,1,0,48

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAP,MODE_COST,PMIN,PMAX,SMIN,SMAX,EMIN,EMAX,UNP_COST,UNP_STIME,UNP_SCOST
MODE|TYPES,int,int,int,int,int,int,int,int,int,int,int,int,int,int
MODE,0,0,0,1,24,31,31,0,1024,0,1024,120,0,0
MODE,0,1,1,1,48,31,31,0,1024,0,1024,120,0,0
MODE,1,0,0,1,48,32,32,0,1024,0,1024,120,0,0
MODE,1,1,1,1,24,32,32,0,1024,0,1024,120,0,0
MODE,2,0,0,1,24,33,33,0,1024,0,1024,120,0,0
MODE,2,1,1,1,48,33,33,0,1024,0,1024,120,0,0
MODE,3,0,0,1,48,34,34,0,1024,0,1024,120,0,0
MODE,3,1,1,1,24,34,34,0,1024,0,1024,120,0,0
MODE,4,0,0,1,24,35,35,0,1024,0,1024,120,0,0
MODE,4,1,1,1,48,35,35,0,1024,0,1024,120,0,0
MODE,5,0,0,1,48,36,36,0,1024,0,1024,120,0,0
MODE,5,1,1,1,24,36,36,0,1024,0,1024,120,0,0
MODE,6,0,0,1,24,37,37,0,1024,0,1024,120,0,0
MODE,6,1,1,1,48,37,37,0,1024,0,1024,120,0,0
MODE,7,0,0,1,48,38,38,0,1024,0,1024,120,0,0
MODE,7,1,1,1,24,38,38,0,1024,0,1024,120,0,0
MODE,8,0,0,1,24,39,39,0,1024,0,1024,120,0,0
MODE,8,1,1,1,48,39,39,0,1024,0,1024,120,0,0
MODE,9,0,0,1,48,40,40,0,1024,0,1024,120,0,0
MODE,9,1,1,1,24,40,40,0,1024,0,1024,120,0,0
MODE,10,0,0,1,24,41,41,0,1024,0,1024,120,0,0
MODE,10,1,1,1,48,41,41,0,1024,0,1024,120,0,0
MODE,11,0,0,1,48,42,42,0,1024,0,1024,120,0,0
MODE,11,1,1,1,24,42,42,0,1024,0,1024,120,0,0
MODE,12,0,0,1,24,43,43,0,1024,0,1024,120,0,0
MODE,12,1,1,1,48,43,43,0,1024,0,1024,120,0,0
MODE,13,0,0,1,48,44,44,0,1024,0,1024,120,0,0
MODE,13,1,1,1,24,44,44,0,1024,0,1024,120,0,0
MODE,14,0,0,1,24,45,45,0,1024,0,1024,120,0,0
MODE,14,1,1,1,48,45,45,0,1024,0,1024,120,0,0
MODE,15,0,0,1,48,46,46,0,1024,0,1024,120,0,0
MODE,15,1,1,1,24,46,46,0,1024,0,1024,120,0,0
MODE,16,0,0,1,24,47,47,0,1024,0,1024,120,0,0
MODE,16,1,1,1,48,47,47,0,1024,0,1024,120,0,0
MODE,17,0,0,1,48,48,48,0,1024,0,1024,120,0,0
MODE,17,1,1,1,24,48,48,0,1024,0,1024,120,0,0
MODE,18,0,0,1,24,49,49,0,1024,0,1024,120,0,0
