ILOG_CSV_FORMAT,1,,,

ILOG_DATA_SCHEMA,,0.9,,

RESOURCE|NAMES,RESOURCE_ID,NAME,CAPACITY,TIME_ORIGIN
RESOURCE|KEYS,1,0,0,0
RESOURCE|TYPES,int,string,int,int
RESOURCE,0,,1,0

ACTIVITY|NAMES,ACTIVITY_ID,NAME,SETUP_TYPE,
ACTIVITY|KEYS,1,0,0,
ACTIVITY|TYPES,int,string,int,
ACTIVITY,0,,-1,
ACTIVITY,1,,-1,
ACTIVITY,2,,-1,
ACTIVITY,3,,-1,
ACTIVITY,4,,-1,,,,
ACTIVITY,5,,-1,,,,
ACTIVITY,6,,-1,,,,
ACTIVITY,7,,-1,,,,
ACTIVITY,8,,-1,,,,
ACTIVITY,9,,-1,,,,

DUE_DATE|NAMES,ACTIVITY_ID,TYPE,DUE_DATE,EARL_FCOST,EARL_WEIGHT,TARD_FCOST,TARD_WEIGHT
DUE_DATE|TYPES,int,string,int,int,float,int,float
DUE_DATE,0,END,700,0,1,0,2
DUE_DATE,1,END,700,0,1,0,2
DUE_DATE,2,END,500,0,1,0,2
DUE_DATE,3,END,450,0,1,0,10
DUE_DATE,4,END,500,0,1,0,5
DUE_DATE,5,END,650,0,1,0,10
DUE_DATE,6,END,600,0,1,0,5
DUE_DATE,7,END,700,0,1,0,5,,,,,,,
DUE_DATE,8,END,700,0,1,0,5,,,,,,,
DUE_DATE,9,END,750,0,1,0,2,,,,,,,

MODE|NAMES,ACTIVITY_ID,MODE_ID,RESOURCE_ID,REQUIRED_CAP,MODE_COST,PMIN,PMAX,SMIN,SMAX,EMIN,EMAX,UNP_COST,UNP_STIME,UNP_SCOST
MODE|TYPES,int,int,int,int,int,int,int,int,int,int,int,int,int,int
MODE,0,0,0,1,20,20,20,0,19980,20,20000,500,0,0
MODE,1,0,0,1,30,30,30,600,19970,630,20000,1000,0,0
MODE,2,0,0,1,30,30,30,400,19970,430,20000,1000,0,0
MODE,3,0,0,1,200,200,200,350,19800,550,20000,5000,0,0
MODE,4,0,0,1,50,50,50,350,19950,400,20000,1500,0,0
MODE,5,0,0,1,140,140,140,500,19860,640,20000,3500,0,0
MODE,6,0,0,1,50,50,50,550,19950,600,20000,1500,0,0
MODE,7,0,0,1,70,70,70,600,19930,670,20000,2000,0,0
MODE,8,0,0,1,50,50,50,600,19950,650,20000,1500,0,0
MODE,9,0,0,1,20,20,20,0,19980,20,20000,500,0,0
