Field|NAMES,ModelName,InstanceName,Parameters,TimeLimit,CostLimit
Field|KEYS,1,1,1,0,0

CumulativeJobShop,la03,2,600,-1
CumulativeJobShop,la03,3,800,-1
CumulativeJobShop,la04,2,600,-1
CumulativeJobShop,la04,3,800,-1

CumulativeJobShop,la16,2,1000,-1
CumulativeJobShop,la16,3,1320,-1
CumulativeJobShop,la17,2,1000,-1
CumulativeJobShop,la17,3,1320,-1
CumulativeJobShop,la18,2,1000,-1
CumulativeJobShop,la18,3,1320,-1
CumulativeJobShop,la19,2,1000,-1
CumulativeJobShop,la19,3,1320,-1
CumulativeJobShop,la20,2,1000,-1
CumulativeJobShop,la20,3,1320,-1

CumulativeJobShop,la21,2,1320,-1
CumulativeJobShop,la21,3,1320,-1
CumulativeJobShop,la22,2,1320,-1
CumulativeJobShop,la22,3,1320,-1
CumulativeJobShop,la24,2,1320,-1
CumulativeJobShop,la24,3,1320,-1
CumulativeJobShop,la25,2,1320,-1
CumulativeJobShop,la25,3,1320,-1
CumulativeJobShop,la29,2,1560,-1
CumulativeJobShop,la29,3,1920,-1

CumulativeJobShop,la36,2,1680,-1
CumulativeJobShop,la36,3,2010,-1
CumulativeJobShop,la37,2,1680,-1
CumulativeJobShop,la37,3,2010,-1
CumulativeJobShop,la38,2,1680,-1
CumulativeJobShop,la38,3,2010,-1
CumulativeJobShop,la39,2,1680,-1
CumulativeJobShop,la39,3,2010,-1
CumulativeJobShop,la40,2,1680,-1
CumulativeJobShop,la40,3,2010,-1

CumulativeJobShop,ft10,2,1000,-1
CumulativeJobShop,ft10,3,1320,-1
CumulativeJobShop,ft20,2,1000,-1
CumulativeJobShop,ft20,3,1320,-1







