ILOG_CSV_FORMAT,1.1

GENERAL|NAMES,date,time,hostName,CPU,MHz,memory,search,comment,timeLimit,commandLine
GENERAL|KEYS,0,0,0,0,0,0,0,0,0,0
GENERAL,,,,,,,SchedulerLNS,,1.#INF,-search SchedulerLNS -result ResultCumulativeJobShop.csv -scenarii c:\ilog\scheduler-papers\mista-2007\scenarii\CumulativeJobShop\scenario.csv

RESULT|NAMES, modeler, instance, modelParams, time, numberOfSolutions, acceptable, lb, ub, completion, objectiveSense, runId
RESULT|KEYS, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
RESULT, CumulativeJobShop, la03, 2, 61.1079, 28, 0, 349, 602, 100, -1, 0
RESULT, CumulativeJobShop, la04, 2, 30.7542, 28, 0, 369, 576, 100, -1, 0
RESULT, CumulativeJobShop, la16, 2, 227.026, 39, 0, 717, 927, 100, -1, 0
RESULT, CumulativeJobShop, la17, 2, 139.16, 28, 0, 646, 755, 100, -1, 0
RESULT, CumulativeJobShop, la18, 2, 913.514, 44, 0, 663, 815, 100, -1, 0
RESULT, CumulativeJobShop, la19, 2, 49.1507, 45, 0, 617, 793, 100, -1, 0
RESULT, CumulativeJobShop, la20, 2, 987.019, 39, 0, 756, 872, 100, -1, 0
RESULT, CumulativeJobShop, la21, 2, 1252.36, 60, 0, 717, 1037, 100, -1, 0
RESULT, CumulativeJobShop, la22, 2, 57.8131, 47, 0, 619, 929, 100, -1, 0
RESULT, CumulativeJobShop, la24, 2, 71.1723, 50, 0, 704, 928, 100, -1, 0
RESULT, CumulativeJobShop, la25, 2, 75.4585, 58, 0, 723, 970, 100, -1, 0
RESULT, CumulativeJobShop, la29, 2, 1480.77, 91, 0, 723, 1133, 100, -1, 0
RESULT, CumulativeJobShop, la36, 2, 338.357, 40, 0, 948, 1256, 100, -1, 0
RESULT, CumulativeJobShop, la37, 2, 579.143, 65, 0, 986, 1407, 100, -1, 0
RESULT, CumulativeJobShop, la38, 2, 1098.05, 86, 0, 943, 1179, 100, -1, 0
RESULT, CumulativeJobShop, la39, 2, 260.184, 64, 0, 922, 1229, 100, -1, 0
RESULT, CumulativeJobShop, la40, 2, 1492.38, 75, 0, 955, 1201, 100, -1, 0
RESULT, CumulativeJobShop, ft10, 2, 564.291, 59, 0, 655, 907, 100, -1, 0
RESULT, CumulativeJobShop, ft20, 2, 213.978, 81, 0, 387, 1179, 100, -1, 0
RESULT, CumulativeJobShop, la03, 3, 132.38, 46, 0, 349, 594, 100, -1, 0
RESULT, CumulativeJobShop, la04, 3, 124.489, 45, 0, 369, 575, 100, -1, 0
RESULT, CumulativeJobShop, la16, 3, 912.552, 51, 0, 717, 919, 100, -1, 0
RESULT, CumulativeJobShop, la17, 3, 52.4955, 25, 0, 646, 764, 100, -1, 0
RESULT, CumulativeJobShop, la18, 3, 180.64, 45, 0, 663, 813, 100, -1, 0
RESULT, CumulativeJobShop, la19, 3, 540.758, 51, 0, 617, 790, 100, -1, 0
RESULT, CumulativeJobShop, la20, 3, 1085.59, 51, 0, 756, 859, 100, -1, 0
RESULT, CumulativeJobShop, la21, 3, 799.91, 69, 0, 717, 1031, 100, -1, 0
RESULT, CumulativeJobShop, la22, 3, 538.614, 40, 0, 619, 933, 100, -1, 0
RESULT, CumulativeJobShop, la24, 3, 955.584, 67, 0, 704, 908, 100, -1, 0
RESULT, CumulativeJobShop, la25, 3, 818.837, 66, 0, 723, 950, 100, -1, 0
RESULT, CumulativeJobShop, la29, 3, 1490.06, 88, 0, 723, 1147, 100, -1, 0
RESULT, CumulativeJobShop, la36, 3, 1933.86, 55, 0, 948, 1255, 100, -1, 0
RESULT, CumulativeJobShop, la37, 3, 418.742, 60, 0, 986, 1419, 100, -1, 0
RESULT, CumulativeJobShop, la38, 3, 1828.05, 81, 0, 943, 1189, 100, -1, 0
RESULT, CumulativeJobShop, la39, 3, 972.418, 82, 0, 922, 1226, 100, -1, 0
RESULT, CumulativeJobShop, la40, 3, 1861.36, 89, 0, 955, 1202, 100, -1, 0
RESULT, CumulativeJobShop, ft10, 3, 259.623, 79, 0, 655, 882, 100, -1, 0
RESULT, CumulativeJobShop, ft20, 3, 687.719, 98, 0, 387, 1174, 100, -1, 0
