0       1       0       0       37      0
1       2       0       0       34      0
2       4       0       0       31      0
3       7       0       0       32      2
4       12      0       0       31      8
5       19      0       0       32      9
6       25      0       0       51      27
7       28      0       0       64      31
8       40      0       0       65      33
9       57      0       0       70      38
10      67      0       0       89      60
11      63      0       0       56      34
12      77      0       0       92      57
13      116     0       0       134     90
14      155     0       0       121     85
15      162     0       0       170     120
16      157     0       0       179     140
17      136     0       0       139     99
18      155     0       0       122     87
19      175     0       0       108     74
20      210     0       0       154     96
21      253     0       0       241     157
22      270     0       0       256     164
23      291     0       0       253     144
24      299     0       0       357     253
25      303     0       0       345     238
26      306     0       0       377     280
27      304     0       0       324     228
28      282     0       0       266     208
29      228     0       0       252     215
30      156     0       0       154     124
31      112     0       0       93      86
32      60      0       0       42      40
33      28      0       0       10      10
34      22      0       0       8       8
35      22      0       0       9       8
36      18      0       0       15      10
37      20      0       0       14      12
38      16      0       0       8       8
39      8       0       0       6       6
40      2       0       0       2       2
