# INSTANCE: InstancesTDTSP/inst_100_6_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 40202 -1
* 0.03 40105 -1
* 0.12 40093 -1
* 0.57 39984 -1
* 0.57 39930 -1
* 0.59 39779 -1
* 0.59 39693 -1
* 0.59 39691 -1
* 0.6 39681 -1
* 0.6 39637 -1
* 22.77 39610 -1
* 22.77 39556 -1
* 22.78 39501 -1
* 22.78 39493 -1
* 24.52 39427 -1
* 24.53 39372 -1
* 24.55 39317 -1
* 24.57 39204 -1
* 24.58 39112 -1
* 24.64 39093 -1
* 24.68 38984 -1
* 24.74 38958 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38958
# NUMBER OF BRANCHES: 217682793
# END TIME: 7200.01
## No TDTSP solution found.
